wrqm/s,aceph01,aceph02,aceph03,aceph04
0,0.2,0.3,0.0,0.2
1,0.1,0.0,0.2,0.2
2,0.0,0.0,0.3,0.2
3,0.1,0.1,0.2,1.6
4,0.0,0.1,1.8,0.2
5,0.6,0.6,1.4,0.4
6,0.5,1.3,1.4,0.1
7,0.1,2.2,1.5,0.3
8,0.4,1.3,0.3,0.4
9,0.6,1.0,0.1,0.7
10,0.9,0.1,0.0,3.8
11,1.0,0.1,2.7,3.6
12,4.2,0.1,6.0,2.8
13,2.9,4.2,5.7,6.6
14,3.0,7.3,7.1,2.2
15,2.5,5.5,5.2,2.2
16,8.6,9.8,2.4,2.1
17,6.7,5.0,3.5,5.1
18,9.9,3.0,3.0,4.2
19,17.2,3.6,2.9,10.3
20,13.1,10.9,13.0,9.7
21,9.1,7.3,8.3,12.0
22,16.1,12.9,6.1,13.6
23,15.9,14.6,9.5,11.2
24,15.2,17.0,9.9,13.7
25,17.1,13.8,7.2,17.2
26,14.8,12.5,5.8,14.1
27,9.8,13.4,15.8,13.9
28,12.0,17.6,10.4,9.0
29,14.0,17.8,9.1,11.3
30,8.0,18.8,7.2,10.8
31,9.7,21.6,10.5,7.5
32,16.0,18.8,12.2,7.8
33,6.3,8.1,6.5,9.8
34,7.0,7.9,14.9,7.3
35,12.4,9.7,12.2,12.8
36,13.9,12.4,14.9,11.0
37,8.0,10.5,13.5,11.1
38,12.8,10.3,30.1,9.8
39,7.2,12.5,10.6,6.2
40,10.4,5.5,9.1,13.4
41,10.1,5.2,10.4,10.9
42,11.0,4.3,12.9,5.3
43,7.6,5.7,9.1,2.8
44,3.5,4.8,8.019,3.3
45,1.9,2.5,7.9,4.3
46,5.2,2.5,5.1,6.2
47,3.2,2.2,2.8,3.9
48,4.5,1.1,4.2,7.6
49,4.4,0.9,3.1,11.5
50,3.5,1.0,3.1,3.9
51,5.9,5.5,3.6,6.5
52,4.5,9.8,4.8,6.4
53,3.3,5.1,4.9,6.7
54,3.7,7.9,3.4,6.7
55,4.2,6.7,2.3,6.3
56,5.5,4.6,2.6,4.6
57,5.9,4.3,6.3,5.6
58,1.9,8.9,4.4,7.7
59,6.3,7.9,5.8,4.2
60,2.4,9.4,7.3,3.8
61,4.9,4.7,3.0,3.1
62,3.8,5.4,3.0,3.4
63,3.7,5.1,4.2,6.4
64,3.6,4.4,10.8,4.0
65,4.5,5.0,8.8,6.4
66,7.2,8.8,9.5,6.3
67,8.8,5.4,6.9,4.8
68,7.0,13.5,8.4,4.2
69,6.4,4.6,8.7,3.8
70,6.1,3.8,7.1,4.4
71,7.2,3.5,5.5,8.4
72,6.7,2.6,7.7,3.2
73,7.0,2.9,10.9,7.2
74,5.0,4.9,9.3,4.5
75,10.8,2.2,10.7,4.4
76,8.4,4.1,5.3,3.6
77,8.8,5.3,5.0,6.7
78,9.3,3.5,5.1,6.4
79,9.6,5.8,2.8,9.5
80,9.5,5.0,6.6,10.6
81,4.5,6.8,3.6,11.0
82,9.6,8.9,2.7,9.0
83,9.1,11.2,6.1,8.1
84,8.1,10.1,3.6,15.2
85,12.6,8.1,4.9,10.1
86,6.2,4.6,5.5,11.8
87,5.2,10.0,7.9,9.5
88,5.5,6.9,7.6,8.7
89,6.8,8.7,5.8,6.9
90,5.1,12.8,11.1,4.4
91,2.2,10.9,7.1,3.6
92,4.9,8.1,5.4,7.8
93,3.5,5.0,5.1,4.9
94,4.4,4.9,8.2,6.5
95,7.2,3.9,11.2,3.7
96,5.6,7.1,12.6,5.9
97,4.1,4.1,9.5,6.2
98,6.7,9.0,6.1,5.0
99,5.6,4.4,5.0,3.9
100,4.2,2.7,2.4,8.3
101,7.9,2.673,6.7,5.6
102,2.5,1.0,6.6,5.1
103,2.8,3.5,7.6,7.0
104,2.8,5.5,10.2,3.9
105,4.3,6.4,16.5,3.5
106,8.1,7.5,7.0,6.1
107,5.3,5.5,3.9,3.3
108,7.0,6.0,4.6,7.1
109,9.8,2.8,3.8,13.0
110,8.9,5.7,5.3,9.5
111,4.0,6.7,6.1,8.3
112,6.0,12.2,4.7,10.4
113,6.5,9.9,6.0,6.5
114,5.0,11.1,8.3,7.1
115,7.5,9.6,3.2,8.6
116,7.4,5.2,2.3,10.2
117,6.7,6.5,10.0,8.5
118,6.9,10.4,7.4,5.2
119,7.7,9.6,5.9,5.5
120,3.3,11.5,7.7,4.6
121,4.9,11.3,6.2,4.6
122,7.7,7.1,5.0,4.3
123,3.9,6.4,3.1,9.2
124,2.9,5.1,9.9,5.0
125,7.0,2.7,9.8,5.5
126,5.6,7.8,8.5,7.9
127,6.7,5.9,11.8,6.4
128,4.7,8.9,7.2,3.6
129,4.9,5.8,5.8,4.2
130,5.1,4.1,5.6,8.9
131,4.5,4.7,2.7,5.7
132,8.1,1.5,2.2,4.0
133,6.2,4.6,6.1,2.2
134,3.7,5.7,3.1,7.0
135,13.7,4.3,7.0,4.8
136,8.3,5.1,5.6,4.2
137,9.4,6.2,4.3,4.2
138,9.0,3.0,2.5,10.0
139,8.3,1.4,3.1,6.2
140,9.4,2.1,0.7,5.3
141,7.3,6.8,7.9,8.5
142,10.4,9.2,4.1,8.4
143,6.6,12.5,6.1,5.3
144,5.7,8.4,7.9,13.4
145,9.1,7.4,3.1,9.9
146,4.9,6.1,3.6,7.9
147,7.6,4.5,10.2,7.0
148,4.3,7.1,6.1,5.4
149,8.4,7.4,7.9,6.5
150,5.5,8.8,7.6,5.8
151,3.9,7.6,8.0,4.5
152,5.8,6.0,4.2,5.0
153,3.1,5.2,3.1,5.4
154,4.1,3.9,8.9,6.5
155,5.0,2.7,11.2,3.3
156,6.4,4.6,12.5,5.9
157,5.3,3.5,16.1,6.1
158,9.3,6.3,6.6,4.4
159,7.2,7.1,6.0,4.3
160,4.2,4.5,4.6,5.1
161,5.3,4.3,5.5,4.6
162,7.0,3.0,5.1,4.1
163,3.4,5.2,4.6,5.2
164,3.9,4.9,8.9,2.3
165,3.6,5.0,9.8,2.3
166,4.9,5.3,5.6,4.2
167,7.3,3.6,6.8,5.5
168,7.2,3.1,5.5,3.4
169,6.5,4.9,2.8,10.0
170,9.7,3.4,3.1,7.9
171,9.2,7.5,9.3,7.6
172,7.0,8.6,7.8,10.8
173,5.4,6.9,10.5,6.9
174,7.1,12.2,8.5,10.7
175,7.9,10.4,4.3,11.7
176,7.4,5.0,3.4,7.0
177,9.1,7.6,3.8,9.2
178,6.138,9.4,4.9,7.3
179,5.3,10.3,5.6,5.9
180,2.9,13.4,3.7,3.6
181,3.4,9.7,6.7,7.9
182,5.9,7.7,6.3,3.9
183,7.4,5.3,5.2,7.9
184,2.7,6.0,7.3,4.9
185,6.2,4.9,7.9,4.1
186,7.6,7.4,13.4,5.1
187,6.5,4.3,10.098,4.6
188,6.4,8.5,5.6,7.1
189,7.0,8.0,3.7,4.9
190,5.4,4.7,3.8,9.0
191,4.0,3.1,1.5,4.2
192,1.9,2.2,5.2,3.7
193,4.0,4.554,6.6,6.0
194,3.6,3.1,11.2,4.6
195,3.4,5.1,7.4,1.9
196,8.2,4.2,4.2,4.7
197,5.3,7.1,5.3,2.1
198,7.8,4.3,3.3,5.8
199,6.6,2.5,2.3,7.5
200,5.5,3.6,2.5,10.9
201,5.3,5.4,4.8,12.3
202,9.2,8.5,4.3,9.1
203,8.6,9.9,4.8,8.6
204,7.4,6.9,6.2,10.8
205,6.3,8.4,6.5,10.0
206,7.4,8.6,2.1,7.8
207,8.8,6.2,6.2,9.6
208,4.0,6.7,6.8,6.8
209,6.8,8.8,7.1,5.7
210,4.5,13.7,7.3,2.7
211,4.5,11.8,8.1,2.7
212,4.5,6.5,3.2,5.1
213,3.1,7.2,3.5,7.1
214,2.7,3.7,6.9,5.4
215,2.9,2.1,12.7,5.2
216,9.8,6.7,10.1,6.7
217,4.9,4.2,12.5,3.1
218,6.3,8.5,6.3,6.6
219,6.8,3.7,5.5,5.2
220,5.1,2.2,6.2,4.3
221,5.0,3.0,4.5,5.0
222,5.9,2.3,4.0,4.0
223,4.7,1.6,7.9,4.8
224,4.3,3.6,9.0,2.4
225,7.7,5.2,13.0,2.3
226,9.0,3.9,5.7,2.8
227,5.1,6.2,4.4,3.96
228,6.3,3.9,4.5,3.1
229,11.6,2.2,4.5,5.9
230,6.4,3.1,1.3,5.2
231,6.9,4.4,3.7,6.2
232,4.1,8.4,4.2,7.5
233,6.7,10.2,6.5,6.6
234,8.8,3.9,5.6,8.2
235,5.7,4.9,3.2,7.0
236,4.4,4.2,2.3,5.9
237,3.8,5.1,5.5,7.5
238,5.2,5.3,6.6,3.2
239,2.3,11.8,6.6,4.8
240,3.1,11.4,8.9,2.9
241,1.7,9.9,4.7,5.0
242,2.0,6.1,2.1,4.3
243,4.6,4.6,2.2,7.5
244,3.7,4.0,4.0,4.0
245,4.0,3.0,8.9,3.6
246,6.5,4.7,11.6,5.2
247,5.5,4.1,10.4,3.7
248,4.2,7.1,5.6,3.9
249,6.9,8.7,6.5,1.5
250,4.6,5.4,3.7,4.3
251,4.5,2.2,3.0,3.2
252,6.3,3.5,4.7,3.0
253,4.6,4.9,9.0,7.6
254,3.8,2.9,7.4,3.6
255,2.8,5.8,13.0,3.5
256,7.8,7.2,5.3,3.5
257,6.4,5.9,5.2,5.0
258,5.8,5.6,4.6,8.1
259,9.2,3.7,2.7,8.6
260,9.4,1.2,3.4,7.8
261,7.3,3.8,8.0,13.8
262,7.1,8.7,4.4,9.2
263,10.1,6.5,6.9,8.7
264,10.8,9.7,8.8,13.5
265,3.9,8.8,3.3,10.7
266,7.2,8.4,3.8,9.8
267,7.9,5.2,5.8,10.4
268,5.8,4.8,7.2,6.2
269,7.1,9.6,5.3,7.4
270,3.9,9.7,6.1,4.1
271,2.6,13.1,5.0,6.2
272,3.4,7.5,5.5,5.1
273,10.8,3.3,2.8,8.3
274,5.6,3.4,4.2,4.0
275,5.9,5.8,14.4,5.1
276,8.8,7.7,10.7,7.8
277,6.4,6.3,14.6,2.3
278,7.6,6.6,8.4,3.5
279,6.1,8.1,5.8,2.9
280,4.0,4.2,4.8,4.3
281,6.0,2.6,1.2,9.7
282,7.5,2.4,5.3,3.9
283,4.8,2.0,7.6,5.6
284,4.9,2.8,8.0,5.8
285,3.4,6.8,9.9,5.2
286,9.7,3.1,6.7,4.2
287,4.5,2.4,5.8,6.1
288,3.2,2.3,3.3,4.9
289,6.7,2.9,2.7,9.6
290,3.5,2.3,1.6,5.9
291,7.1,3.7,6.4,4.3
292,5.9,6.6,4.0,9.3
293,6.8,8.5,6.8,9.0
294,6.3,8.2,6.1,9.9
295,7.0,7.4,4.0,6.8
296,6.4,5.1,4.5,7.1
297,6.3,5.6,5.1,8.4
298,7.2,9.2,7.1,8.2
299,4.752,11.1,4.2,3.8
300,1.4,10.1,7.9,2.8
301,3.9,10.9,9.4,8.3
302,4.7,10.8,4.2,2.7
303,9.0,5.3,4.3,6.0
304,3.7,5.3,3.5,5.0
305,5.8,5.2,11.0,4.2
306,9.7,7.9,8.8,4.8
307,4.9,5.6,15.7,5.9
308,7.3,7.2,6.8,6.3
309,5.3,8.6,4.9,4.5
310,6.4,3.9,3.2,5.4
311,6.7,4.5,2.8,8.6
312,6.3,3.4,4.2,6.3
313,5.8,2.4,10.8,5.7
314,4.0,4.7,9.0,3.3
315,6.1,7.9,11.2,2.1
316,12.5,7.7,10.0,3.0
317,7.1,6.8,5.1,6.3
318,10.2,8.3,3.5,8.2
319,7.4,4.4,7.5,12.9
320,7.9,4.0,3.5,13.6
321,7.1,4.4,5.8,8.0
322,6.3,8.0,3.4,8.0
323,12.4,9.1,5.1,9.5
324,10.4,11.9,9.4,9.1
325,8.2,10.9,4.6,11.8
326,10.5,7.9,5.049,10.8
327,7.4,6.2,3.1,11.0
328,7.4,9.2,11.7,10.7
329,7.7,11.7,6.3,7.3
330,4.1,11.4,5.9,6.3
331,2.6,15.9,5.6,5.5
332,3.7,11.6,4.2,4.9
333,7.1,5.4,3.1,1.7
334,3.4,6.4,5.1,4.7
335,2.5,4.0,12.8,4.6
336,4.1,4.2,9.5,3.0
337,6.5,2.7,15.4,3.5
338,5.9,4.2,9.3,8.4
339,8.2,5.6,6.4,3.8
340,7.4,3.6,6.1,3.9
341,7.4,3.4,3.5,9.3
342,6.1,2.4,6.1,9.2
343,6.4,2.5,8.7,6.7
344,5.9,2.7,10.3,2.8
345,4.7,5.1,9.5,8.5
346,10.9,7.2,11.0,3.4
347,6.2,4.4,7.4,6.1
348,6.5,8.6,4.4,6.6
349,9.7,5.4,4.7,9.6
350,12.4,3.8,1.4,9.6
351,7.5,5.0,4.9,9.3
352,5.9,6.6,5.8,11.4
353,8.6,10.1,5.3,11.3
354,6.5,12.3,6.2,9.5
355,7.5,8.8,3.7,11.0
356,11.4,4.4,3.2,6.0
357,5.3,4.6,2.6,12.2
358,7.9,4.2,8.3,6.5
359,6.1,10.7,6.6,7.0
360,5.9,8.1,4.5,6.0
361,5.7,12.1,4.2,5.1
362,3.3,9.1,6.0,4.4
363,8.7,6.5,7.9,5.9
364,5.0,6.9,4.1,6.2
365,3.3,5.0,9.5,2.7
366,8.7,9.2,10.7,4.3
367,9.3,5.0,12.6,7.1
368,7.9,3.9,10.5,4.9
369,7.4,8.2,6.1,5.9
370,4.1,7.0,5.4,8.4
371,6.3,4.8,3.8,6.1
372,6.2,2.8,2.2,2.2
373,5.4,1.7,4.6,0.8
374,2.9,6.0,4.9,1.7
375,5.5,7.6,6.5,1.3
376,7.4,7.4,8.2,2.3
377,6.0,5.1,4.8,5.0
378,5.4,1.9,4.5,5.7
379,4.5,2.3,5.0,5.3
380,6.4,1.3,5.1,9.5
381,6.0,5.2,3.6,7.2
382,4.5,7.0,5.2,8.6
383,6.1,12.4,4.3,9.9
384,7.8,15.0,6.4,8.1
385,5.6,8.2,4.9,10.3
386,11.3,7.2,3.2,5.2
387,5.6,3.7,4.4,9.4
388,6.0,8.7,9.5,6.6
389,6.9,9.3,4.8,7.6
390,5.1,11.0,6.6,5.4
391,4.4,12.2,4.5,3.1
392,3.2,8.3,3.3,4.0
393,4.8,4.9,4.9,3.5
394,4.2,6.4,3.1,2.3
395,4.1,4.3,11.1,5.7
396,6.3,4.8,11.3,4.1
397,7.5,2.9,16.0,7.6
398,7.3,5.0,15.0,7.8
399,4.9,5.4,8.0,6.6
