apply_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.008,0.025,0.009,0.008,0.009,0.009,0.005,0.008,0.007,0.008,0.006,0.005,0.007,0.01,0.01,0.006,0.008,0.006,0.009,0.003,0.007,0.005,0.006,0.008,0.011,0.011,0.005,0.013,0.007,0.004,0.003,0.004,0.005,0.011,0.005,0.006,0.004,0.005,0.004,0.005
1,0.021,0.026,0.022,0.016,0.012,0.012,0.006,0.011,0.017,0.022,0.007,0.009,0.014,0.007,0.015,0.01,0.008,0.009,0.015,0.012,0.014,0.007,0.008,0.016,0.01,0.006,0.007,0.017,0.011,0.016,0.006,0.005,0.008,0.008,0.009,0.007,0.007,0.008,0.009,0.005
2,0.007,0.012,0.018,0.014,0.008,0.012,0.009,0.008,0.009,0.022,0.005,0.006,0.009,0.007,0.015,0.008,0.004,0.007,0.012,0.007,0.004,0.008,0.009,0.012,0.009,0.006,0.008,0.015,0.006,0.013,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.005,0.003
3,0.011,0.014,0.006,0.014,0.018,0.009,0.004,0.008,0.007,0.013,0.004,0.004,0.007,0.006,0.014,0.004,0.007,0.008,0.01,0.005,0.004,0.004,0.006,0.013,0.007,0.007,0.003,0.008,0.008,0.047,0.003,0.003,0.004,0.007,0.005,0.003,0.004,0.008,0.008,0.003
4,0.04,0.006,0.008,0.014,0.053,0.009,0.002,0.009,0.01,0.01,0.006,0.003,0.003,0.004,0.008,0.003,0.003,0.003,0.004,0.021,0.005,0.003,0.004,0.008,0.067,0.003,0.003,0.007,0.006,0.008,0.002,0.003,0.103,0.007,0.003,0.003,0.003,0.015,0.005,0.002
5,0.006,0.006,0.007,0.004,0.008,0.005,0.003,0.008,0.003,0.007,0.003,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.002,0.001,0.001,0.001,0,0.001,0.002,0.002,0,0.002,0.025,0.002,0.003,0.002,0.002,0.002,0.003,0.021,0.003,0.002
6,0.005,0.006,0.005,0.003,0.004,0.012,0.006,0.007,0.005,0.01,0.001,0.002,0,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0.007,0.004,0.007,0.01,0.231,0.003,0.006,0.007,0.226,0.005,0.002,0.002,0.002,0.003,0.032,0.002,0.002,0.003,0.003,0.002
7,0.007,0.005,0.005,0.008,0.006,0.035,0.002,0.004,0.063,0.048,0.005,0.006,0.209,0.005,0.01,0.008,0.003,0.024,0.004,0.004,0.003,0.002,0.004,0.007,0.016,0.005,0.003,0.007,0.005,0.006,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0,0.003,0.002
8,0.003,0.002,0.002,0.002,0.002,0.002,0.111,0.002,0.004,0.005,0.002,0.002,0.004,0.003,0.004,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.009,0.005,0.002,0.002,0.003,0.003,0.003,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.002,0.001
9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.248,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.001
