journal_wr_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,9011.0,12154.0,9641.0,9448.0,9441.0,10167.0,9557.0,8515.0,8683.0,8192.0,9920.0,9024.0,9011.0,8990.0,8904.0,9542.0,9436.0,9089.0,9293.0,8557.0,9916.0,8718.0,9622.0,9695.0,9432.0,10097.0,8920.0,9228.0,10132.0,10024.0,8758.0,9305.0,9569.0,10303.0,9302.0,9289.0,8432.0,8988.0,8965.0,9074.0
1,8709.0,9572.0,8631.0,9017.0,8972.0,9189.0,9178.0,9228.0,9877.0,9075.0,9148.0,9284.0,9714.0,9621.0,9048.0,9073.0,10009.0,9382.0,9772.0,9091.0,9681.0,9663.0,9246.0,8889.0,9117.0,9711.0,9525.0,9380.0,9392.0,9766.0,9673.0,8923.0,9088.0,9535.0,9459.0,9497.0,9888.0,9467.0,9150.0,9435.0
2,8489.0,9312.0,8982.0,9163.0,8925.0,9067.0,8551.0,9124.0,9759.0,9368.0,8812.0,8846.0,8683.0,8855.0,9134.0,8985.0,8701.0,9276.0,9311.0,9557.0,8954.0,8951.0,9247.0,8747.0,8752.0,9424.0,9007.0,9078.0,9011.0,8943.0,8815.0,8494.0,8521.0,8704.0,9165.0,8892.0,8573.0,8665.0,8720.0,8720.0
3,9201.0,8831.0,8768.0,8355.0,8658.0,8957.0,8652.0,9356.0,8952.0,8823.0,9335.0,8611.0,8891.0,8991.0,9116.0,8843.0,9044.0,9246.0,9827.0,9052.0,8608.0,8540.0,8461.0,8695.0,8993.0,8975.0,8596.0,8890.0,9826.0,9310.0,9288.0,8986.0,9116.0,8981.0,8660.0,8429.0,8693.0,8802.0,8718.0,8499.0
4,8777.0,8610.0,9268.0,9694.0,8623.0,8984.0,8537.0,8661.0,9225.0,8556.0,8697.0,8852.0,8757.0,8903.0,9203.0,8645.0,8567.0,8818.0,8664.0,8681.0,9038.0,8520.0,8728.0,8976.0,8642.0,8710.0,8762.0,8769.0,9065.0,9081.0,8519.0,8729.0,9405.0,8930.0,8644.0,8772.0,8670.0,8787.0,8581.0,8784.0
5,8811.0,8886.0,9333.0,8677.0,8847.0,8840.0,8690.0,9254.0,8411.0,8822.0,8827.0,8771.0,8480.0,8626.0,8625.0,8558.0,8735.0,8501.0,8994.0,8786.0,8499.0,8425.0,8539.0,8362.0,0,8459.0,8436.0,8609.0,0,8771.0,8608.0,8431.0,8655.0,8826.0,8708.0,8689.0,8809.0,8906.0,8629.0,8829.0
6,9231.0,9019.0,8486.0,8540.0,8636.0,8489.0,8581.0,8697.0,8644.0,8958.0,8487.0,8499.0,0,8745.0,8574.0,8538.0,8475.0,8438.0,8726.0,8388.0,8852.0,8940.0,9016.0,8886.0,9526.0,8874.0,8903.0,8472.0,9569.0,8505.0,8664.0,8779.0,8525.0,8648.0,8668.0,8720.0,8443.0,8874.0,8590.0,8562.0
7,8903.0,8928.0,8405.0,9073.0,8798.0,8939.0,8528.0,8896.0,8893.0,9329.0,8727.0,8877.0,9875.0,8967.0,8811.0,9200.0,8686.0,8504.0,8670.0,8478.0,8530.0,8576.0,8680.0,8702.0,8694.0,9003.0,8969.0,9336.0,8586.0,8762.0,8485.0,8629.0,8660.0,8421.0,8564.0,8626.0,8706.0,0,8869.0,8326.0
8,8517.0,8457.0,8353.0,8395.0,8382.0,8622.0,9646.0,8564.0,8669.0,9085.0,8513.0,8282.0,8804.0,8670.0,8487.0,8372.0,8649.0,8508.0,8697.0,8553.0,8478.0,8713.0,8681.0,8585.0,8594.0,8355.0,8678.0,8536.0,8431.0,8495.0,8409.0,8518.0,8514.0,8517.0,8307.0,8358.0,8406.0,0,8672.0,8531.0
9,8333.0,8582.0,8192.0,8192.0,8192.0,8474.0,8519.0,8192.0,0,8426.0,8564.0,8192.0,8349.0,8456.0,8402.0,8192.0,8192.0,8192.0,8283.0,8601.0,8448.0,8333.0,8484.0,9216.0,8192.0,8192.0,8456.0,8192.0,8192.0,8192.0,8192.0,8192.0,8391.0,8407.0,8519.0,8192.0,8387.0,0,8192.0,8192.0
