op_queue_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12851,19278,32129,6426,51408,6426,6426,19277,38556,19278,12852,42130,25701,12851,32130,38555,32130,25702,25704,12852,16427,6426,25704,51408,25704,6426,25703,25704,19277,6426,32130,6425,12851,12851,12851,19278,6426,6425,25704,6426
2,32130,6426,44980,25704,6426,0,0,0,48558,32130,10002,0,19277,0,38556,0,6425,6424,25704,0,6426,51408,0,32129,48558,12852,0,19277,25703,44982,6426,6426,0,0,6426,0,6426,19277,25703,6426
3,19278,44979,32130,6426,0,6426,0,32129,6426,6425,6426,0,6426,32128,0,6426,6426,12852,0,6426,6426,0,0,12852,6426,0,0,6426,0,12852,6424,19278,324865,19278,6426,12851,6426,6426,12852,0
4,6426,19276,32130,0,25704,0,6426,6426,0,51407,0,0,6426,0,12852,0,0,25704,12852,0,25702,6426,0,25704,0,19278,0,12852,0,38555,6426,0,0,6426,32129,0,6426,64986,12852,0
5,12851,0,19278,32130,32128,0,0,6426,25702,6426,0,0,0,12852,0,0,0,0,6426,6426,0,0,0,0,321290,0,12852,0,321292,0,0,6426,6426,32130,0,6425,0,51407,12852,0
6,19278,19277,12852,19278,19277,6425,32130,12852,6426,6426,0,0,321288,6426,6426,6426,6426,0,0,0,0,0,0,0,321290,0,19277,12852,321292,6426,0,0,12851,0,0,6426,0,0,19278,0
7,0,0,25704,0,0,6426,0,0,0,0,6426,0,321288,0,0,0,0,0,6426,0,0,0,0,6426,44981,0,0,12852,25703,12850,0,0,0,32129,0,0,0,324866,6426,0
8,32128,0,6426,0,6426,0,83537,6425,6426,6425,0,0,0,32130,25703,0,0,6425,0,32130,0,0,19278,0,12852,0,0,19278,6426,6426,0,0,0,6426,0,0,0,324866,0,6426
9,0,0,0,0,0,0,0,0,321293,0,0,0,0,6424,0,0,0,0,6426,0,0,0,324868,0,0,0,0,0,0,0,0,0,0,6426,0,6425,0,324866,0,6426
10,0,0,0,0,0,0,0,0,321293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,0,0,0,324866,0,0
11,0,0,0,0,0,0,0,0,321293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,0,0,0,0,0,0,0,205630,0,0,0,324866,0,0
12,0,0,0,0,0,0,0,0,321293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,0,0,0,0,0,0,0,205630,0,0,0,324866,0,0
