object_ctx_cache_total,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,305628,249694,274253,272016,241072,282219,202171,331934,262736,344552,215789,268210,292261,325050,345011,270560,269093,324407,296253,322654,263010,292102,308642,347864,338180,299045,234871,362793,287213,310847,271181,243696,297913,342408,281044,295795,272197,317677,421161,243054
1,305630,249696,274254,272018,241073,282221,202172,331935,262739,344554,215790,268211,292262,325051,345013,270561,269094,324408,296255,322656,263011,292103,308643,347865,338181,299046,234872,362796,287214,310848,271182,243697,297915,342409,281045,295796,272199,317679,421163,243056
2,305630,249696,274254,272019,241073,282223,202173,331935,262739,344556,215791,268212,292265,325054,345013,270562,269094,324409,296255,322656,263011,292104,308643,347865,338183,299046,234873,362796,287215,310848,271182,243698,297915,342410,281045,295797,272200,317680,421164,243056
3,305631,249696,274254,272019,241073,282223,202173,331935,262740,344557,215792,268212,292267,325055,345014,270562,269094,324410,296256,322657,263011,292104,308643,347866,338185,299047,234873,362796,287215,310849,271182,243699,297916,342411,281046,295798,272200,317680,421165,243056
4,305631,249696,274254,272019,241073,282223,202173,331936,262740,344557,215793,268212,292267,325056,345014,270562,269094,324410,296256,322659,263012,292104,308643,347866,338186,299048,234873,362797,287215,310849,271183,243702,297916,342413,281046,295799,272201,317680,421165,243056
5,305633,249696,274254,272019,241073,282224,202173,331939,262742,344557,215793,268212,292268,325056,345015,270562,269095,324410,296256,322659,263013,292106,308643,347866,338187,299048,234874,362802,287217,310849,271186,243704,297917,342413,281046,295799,272201,317680,421168,243056
6,305634,249698,274255,272021,241074,282225,202174,331940,262743,344559,215794,268214,292268,325057,345016,270564,269095,324412,296258,322661,263014,292106,308644,347867,338189,299049,234876,362803,287217,310850,271186,243706,297918,342414,281047,295800,272204,317682,421169,243058
7,305635,249698,274255,272022,241074,282227,202175,331940,262743,344561,215795,268214,292272,325060,345016,270564,269095,324412,296259,322661,263014,292107,308644,347867,338190,299049,234876,362803,287218,310850,271186,243706,297919,342415,281047,295802,272204,317683,421170,243058
8,305635,249698,274255,272022,241164,282227,202175,331941,262744,344562,215796,268214,292273,325062,345017,270564,269095,324413,296259,322662,263014,292107,308644,347868,338191,299051,234876,362803,287218,310851,271186,243710,297919,342416,281048,295802,272205,317683,421171,243058
9,305636,249698,274255,272022,241366,282227,202175,331943,262744,344562,215797,268447,292273,325062,345017,270702,269095,324413,296259,322664,263016,292107,308644,347868,338192,299051,234876,362806,287219,310851,271188,243711,297919,342418,281048,295803,272205,317683,421171,243058
10,305637,249699,274255,272022,241522,282308,202216,331945,262746,344563,215797,268715,292274,325062,345018,270880,269096,324414,296452,322666,263017,292109,308645,347869,338193,299051,234877,362809,287220,310851,271190,243713,297920,342418,281204,295803,272206,317684,421174,243264
11,305638,249847,274256,272243,241643,282497,202332,331945,262942,344565,215799,268893,292275,325065,345019,271001,269315,324415,296616,322666,263017,292110,308645,348109,338195,299052,234879,362810,287220,311069,271190,243714,298098,342419,281451,295985,272208,317685,421175,243399
12,305948,250053,274365,272482,241749,282627,202421,332100,263134,344661,216077,269040,292458,325171,345205,271123,269572,324686,296821,322713,263238,292499,309039,348518,338427,299577,235004,362970,287371,311311,271298,244066,298527,342794,281565,296221,272517,317879,421445,243527
13,306206,250218,274498,272656,241919,282842,202548,332404,263285,344801,216313,269149,292711,325426,345478,271256,269690,325003,296997,322951,263466,292706,309276,348744,338624,299795,235255,363163,287766,311543,271562,244282,298667,343136,281711,296355,272731,318132,421893,243652
14,306496,250412,274665,272824,242018,283019,202667,332591,263512,344959,216403,269249,292974,325589,345705,271368,269857,325190,297144,323077,263581,292892,309415,349003,338819,299941,235371,363416,287959,311691,271665,244391,298810,343280,281862,296489,272847,318288,422083,243774
15,306707,250554,274897,272985,242149,283134,202733,332783,263717,345188,216562,269361,293216,325801,345864,271477,269997,325364,297252,323242,263703,293126,309573,349261,339047,300076,235463,363797,288091,311878,271805,244512,298979,343504,281984,296616,273012,318491,422409,243890
16,306864,250666,275036,273078,242227,283263,202813,332993,263840,345354,216689,269509,293360,325963,346057,271634,270107,325540,297352,323423,263832,293269,309722,349427,339188,300208,235582,364096,288180,312031,271929,244707,299105,343661,282116,296739,273128,318713,422629,243981
17,306982,250754,275172,273176,242237,283420,202878,333133,263926,345522,216765,269600,293443,326082,346195,271732,270207,325657,297502,323583,263951,293366,309849,349601,339188,300319,235682,364259,288180,312172,272057,244803,299211,343786,282246,296869,273247,318868,422801,244103
18,307113,250884,275285,273323,242256,283510,202959,333233,264041,345708,216830,269617,293443,326229,346331,271743,270355,325771,297615,323706,264104,293544,310016,349795,339382,300505,235782,364432,288421,312305,272160,244885,299317,344003,282357,296990,273372,318991,422986,244200
19,307296,250950,275403,273395,242256,283524,202971,333413,264081,345877,216955,269636,293644,326384,346524,271757,270447,325941,297637,323848,264235,293648,310160,349901,339622,300653,235916,364657,288648,312432,272282,244965,299422,344143,282369,297099,273481,318992,423170,244217
20,307390,250957,275475,273404,242256,283535,202982,333510,264081,346081,217035,269636,293848,326520,346645,271757,270465,326083,297650,323990,264310,293730,310229,349914,339745,300744,235982,364755,288749,312451,272375,245060,299445,344305,282387,297123,273568,318992,423358,244232
21,307407,250971,275488,273420,242256,283535,202982,333529,264081,346159,217045,269636,293866,326537,346672,271757,270487,326095,297650,324018,264327,293743,310244,349940,339762,300756,235998,364778,288761,312466,272391,245081,299469,344325,282387,297142,273590,318992,423386,244232
22,307431,250973,275499,273421,242257,283537,202983,333553,264081,346244,217059,269637,293890,326555,346698,271758,270488,326110,297650,324035,264347,293760,310269,349941,339787,300772,236013,364805,288778,312467,272411,245098,299470,344349,282387,297142,273606,318992,423429,244234
23,307431,250973,275500,273423,242303,283539,202984,333553,264081,346246,217061,269638,293892,326559,346698,271759,270488,326111,297652,324035,264347,293761,310269,349941,339789,300772,236015,364805,288779,312467,272411,245099,299471,344350,282388,297144,273607,318992,423430,244234
24,307432,250973,275500,273423,242335,283539,202984,333553,264081,346247,217061,269708,293895,326560,346699,271827,270488,326112,297653,324036,264347,293761,310269,349942,339791,300773,236015,364805,288779,312468,272411,245100,299472,344352,282389,297145,273607,318992,423431,244234
25,307432,250973,275500,273423,242346,283600,203035,333554,264081,346247,217063,269737,293895,326561,346699,271863,270488,326112,297705,324037,264348,293761,310269,349942,339792,300774,236015,364806,288779,312468,272411,245103,299472,344354,282438,297146,273608,318992,423432,244271
26,307433,251038,275500,273479,242379,283631,203054,333557,264081,346247,217063,269745,293895,326561,346699,271874,270550,326112,297735,324038,264349,293763,310269,350008,339793,300774,236016,364811,288781,312524,272414,245105,299534,344354,282438,297209,273608,318992,423434,244293
27,307481,251074,275550,273504,242386,283637,203063,333640,264081,346289,217117,269766,293970,326625,346769,271899,270594,326160,297740,324125,264427,293812,310328,350038,339861,300829,236066,364881,288829,312524,272477,245146,299570,344420,282438,297254,273661,319056,423493,244301
28,307481,251088,275574,273514,242397,283671,203086,333675,264081,346360,217148,269776,293995,326661,346807,271908,270602,326209,297770,324159,264455,293836,310364,350042,339902,300860,236097,364921,288858,312574,272513,245168,299579,344454,282438,297264,273708,319395,423493,244322
29,307481,251119,275587,273536,242416,283677,203091,333687,264297,346374,217156,269786,294004,326661,346819,271921,270625,326216,297777,324174,264466,293846,310378,350063,339916,300871,236103,364930,288868,312574,272519,245175,299608,344471,282438,297294,273718,319401,423493,244330
30,307481,251120,275627,273540,242445,283680,203099,333722,264326,346416,217175,269797,294032,326661,346855,271945,270632,326248,297783,324205,264493,293862,310401,350072,339951,300892,236120,364966,288898,312574,272552,245199,299617,344479,282438,297303,273739,319423,423493,244344
