op_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,164808823152,138435190992,154553585784,148241760600,135638294680,154554361432,112647524560,181553140264,142475780576,189604381176,115294482848,147754754368,157167805008,177118814816,191349489992,151513567456,150450512008,178345365800,164146606392,177548636632,144427020568,159463715128,172266987640,191520588016,183868801632,163532124456,128838861080,198210282168,156728897848,172406710512,148964209024,126973068032,164050919688,185442193928,156615123184,162534764944,148051562928,175773839672,229931123312,134845833440
1,164809097584,138435338448,154553831544,148241916248,135638503576,154554549848,112647647440,181553308200,142475870688,189604483576,115294708128,147755028800,157168050768,177119126112,191349752136,151513739488,150450671752,178345533736,164146860344,177548739032,144427290904,159464030520,172267307128,191520788720,183869117024,163532542248,128839147800,198210601656,156729073976,172406857968,148964446592,126973276928,164051173640,185442435592,156615336176,162534994320,148051698096,175774073144,229931377264,134845952224
2,164809642352,138435940560,154554331256,148242506072,135639171224,154555303512,112648081616,181554094632,142476550624,189604979192,115295179168,147755557184,157168538192,177119830624,191350407496,151514468576,150451343496,178346332456,164147376440,177549631960,144427856152,159464665400,172267925624,191521501424,183869784672,163533095208,128839655704,198211105464,156729700664,172407419120,148964995456,126973895424,164051980552,185443287560,156616044784,162535694736,148052304304,175774695736,229932294768,134846488800
3,164810256752,138436423888,154554884216,148243071320,135639670936,154555819608,112648458448,181554672168,142477144544,189605569016,115295502752,147756093760,157169242704,177120371296,191351021896,151514968288,150451806344,178346909992,164148097336,177550152152,144428302616,159465210168,172268486776,191522021616,183870505568,163533656360,128840114456,198211834552,156730364216,172408176880,148965429632,126974358272,164052549896,185443865096,156616511728,162536223120,148052783536,175775236408,229933093488,134847029472
4,164811088240,138437161168,154555916408,148243652952,135640117400,154556520024,112648974544,181555483176,142477894112,189606330872,115295908256,147756704064,157169828432,177121088096,191351689544,151515480288,150452486280,178347577640,164148777272,177550799320,144428781848,159465865528,172269121656,191522783472,183871197792,163534143784,128840499480,198212764344,156730863928,172408746224,148965982592,126974776064,164053123336,185444639240,156617085168,162536726928,148053418416,175775887672,229934015088,134847533280
5,164811698544,138437656784,154556309624,148244324696,135640535192,154557179480,112649437392,181556339240,142478492128,189606900216,115296346528,147757162816,157170422352,177121722976,191352590664,151516020960,150453067912,178348319016,164149379384,177551524312,144429314328,159466471736,172269744248,191523631344,183871738464,163534733608,128840982808,198213427896,156731265336,172409422064,148966519168,126975320832,164053799176,185445319176,156617679088,162537247120,148053922224,175776633144,229934899824,134848020704
6,164812173680,138438123728,154556887160,148244742488,135641260184,154557630040,112649703632,181556892200,142478848480,189607531000,115296666016,147757580608,157170758224,177122202208,191353119048,151516471520,150453530760,178348802344,164149846328,177552220632,144429818136,159466885432,172270284920,191524323568,183871738464,163535204648,128841404696,198214095544,156731265336,172410077424,148967002496,126975709952,164054331656,185445790216,156618100976,162537763216,148054368688,175777222968,229935694448,134848479456
7,164812677488,138438484176,154557350008,148245156184,135641682072,154558129752,112649998544,181557260840,142479270368,189608260088,115296944544,147758027072,157170758224,177122808416,191353708872,151516930272,150453928072,178349269288,164150247736,177552708056,144430416152,159467557176,172270964856,191524991216,183872459360,163535896872,128841781528,198214779576,156731937080,172410667248,148967436672,126976045824,164054774024,185446461960,156618711280,162538307984,148054888880,175777784120,229936403056,134848860384
8,164813078896,138439028944,154557825144,148245733720,135642226840,154558723672,112650301648,181557994024,142479704544,189608919544,115297419680,147758625088,157171552848,177123426912,191354368328,151517540576,150454538376,178349920552,164150870328,177553236440,144430891288,159468036408,172271509624,191525761264,183873327712,163536458024,128842326296,198215656120,156733108536,172411191536,148967948672,126976377600,164055208200,185447072264,156619301104,162538803600,148055347632,175777784120,229937148528,134849368288
9,164813484400,138439303376,154558120056,148246004056,135642517656,154559075928,112650608848,181558374952,142479847904,189609710072,115297751456,147758981440,157172363856,177123959392,191354970440,151517937888,150454911112,178350481704,164151316792,177553846744,144431231256,159468355896,172271820920,191526179056,183873954400,163536814376,128842608920,198216045240,156733514040,172411691248,148968321408,126976746240,164055654664,185447756296,156619751664,162539229584,148055728560,175777784120,229937967728,134849761504
10,164813541744,138439332048,154558169208,148246036824,135642554520,154559125080,112650666192,181558436392,142479847904,189609849336,115297780128,147759042880,157172429392,177124037216,191355081032,151517974752,150454968456,178350539048,164151398712,177553949144,144431280408,159468409144,172271874168,191526228208,183874019936,163536859432,128842670360,198216110776,156733555000,172411748592,148968378752,126976819968,164055748872,185447825928,156619796720,162539323792,148055810480,175777784120,229938086512,134849822944
11,164813623664,138439389392,154558214264,148246098264,135642628248,154559166040,112650711248,181558530600,142479847904,189610070520,115297825184,147759120704,157172519504,177124102752,191355183432,151518032096,150455062664,178350588200,164151456056,177554014680,144431362328,159468470584,172271972472,191526326512,183874110048,163536916776,128842731800,198216200888,156733608248,172411814128,148968448384,126976885504,164055851272,185447928328,156619866352,162539393424,148055876016,175777784120,229938250352,134849888480
12,164813623664,138439389392,154558214264,148246098264,135642628248,154559166040,112650711248,181558530600,142479847904,189610070520,115297825184,147759120704,157172519504,177124102752,191355183432,151518032096,150455062664,178350588200,164151456056,177554014680,144431362328,159468470584,172271972472,191526326512,183874110048,163536916776,128842731800,198216200888,156733608248,172411814128,148968448384,126976885504,164055851272,185447928328,156619866352,162539393424,148055876016,175777784120,229938250352,134849888480
13,164813623664,138439389392,154558214264,148246098264,135642628248,154559166040,112650711248,181558530600,142479847904,189610070520,115297825184,147759120704,157172519504,177124102752,191355183432,151518032096,150455062664,178350588200,164151456056,177554014680,144431362328,159468470584,172271972472,191526326512,183874110048,163536916776,128842731800,198216200888,156733608248,172411814128,148968448384,126976885504,164055851272,185447928328,156619866352,162539393424,148055876016,175777784120,229938250352,134849888480
14,164813623664,138439389392,154558214264,148246098264,135642628248,154559166040,112650711248,181558530600,142479847904,189610070520,115297825184,147759120704,157172519504,177124102752,191355183432,151518032096,150455062664,178350588200,164151456056,177554014680,144431362328,159468470584,172271972472,191526326512,183874110048,163536916776,128842731800,198216200888,156733608248,172411814128,148968448384,126976885504,164055851272,185447928328,156619866352,162539393424,148055876016,175777784120,229938250352,134849888480
15,164813623664,138439389392,154558214264,148246098264,135642628248,154559166040,112650711248,181558530600,142479847904,189610070520,115297825184,147759120704,157172519504,177124102752,191355183432,151518032096,150455062664,178350588200,164151456056,177554014680,144431362328,159468470584,172271972472,191526326512,183874110048,163536916776,128842731800,198216200888,156733608248,172411814128,148968448384,126976885504,164055851272,185447928328,156619866352,162539393424,148055876016,175777784120,229938250352,134849888480
16,164813824368,138439639248,154558447736,148246405464,135642865816,154559493720,112650940624,181558919720,142479847904,189610303992,115298038176,147759391040,157172818512,177124373088,191355457864,151518318816,150455296136,178350813480,164151681336,177554362840,144431747352,159468650808,172272181368,191526629616,183874433632,163537203496,128842932504,198216549048,156733813048,172412023024,148968694144,126977049344,164056097032,185448161800,156620054768,162539606416,148056068528,175777902904,229938467440,134850031840
17,164813824368,138439741648,154558541944,148246495576,135642992792,154559596120,112651010256,181559071272,142479847904,189610594808,115298120096,147759485248,157172900432,177124491872,191355597128,151518449888,150455451784,178350981416,164151783736,177554485720,144431870232,159468749112,172272300152,191526736112,183874585184,163537371432,128843051288,198216671928,156734001464,172412023024,148968829312,126977127168,164056203528,185448280584,156620054768,162539782544,148056224176,175779201336,229938467440,134850121952
18,164813824368,138439811280,154558595192,148246536536,135643037848,154559612504,112651055312,181559116328,142479847904,189610656248,115298132384,147759538496,157172929104,177124491872,191355666760,151518494944,150455496840,178351005992,164151804216,177554563544,144431907096,159468790072,172272345208,191526752496,183874626144,163537408296,128843071768,198216696504,156734026040,172412199152,148968866176,126977147648,164056260872,185448337928,156620058864,162539815312,148056297904,175779254584,229938483824,134850146528
19,164813824368,138439917776,154558746744,148246610264,135643152536,154559714904,112651137232,181559235112,142480687584,189610799608,115298259360,147759640896,157173072464,177124491872,191355797832,151518609632,150455607432,178351137064,164151898424,177554674136,144431993112,159468880184,172272468088,191526879472,183874794080,163537502504,128843141400,198216790712,156734136632,172412199152,148968997248,126977241856,164056350984,185448342024,156620058864,162539995536,148056379824,175779516728,229938483824,134850265312
20,164813824368,138439921872,154558763128,148246626648,135643177112,154559727192,112651157712,181559251496,142480794080,189610848760,115298296224,147759677760,157173101136,177124536928,191355822408,151518650592,150455627912,178351194408,164151914808,177554739672,144432025880,159468929336,172272504952,191526916336,183874851424,163537535272,128843170072,198216827576,156734157112,172412199152,148969030016,126977250048,164056379656,185448342024,156620058864,162540020112,148056416688,175779537208,229938483824,134850298080
21,164813967728,138439995600,154558795896,148246679896,135643226264,154559727192,112651194576,181559312936,142480835040,189610885624,115298324896,147759714624,157173150288,177124536928,191355883848,151518716128,150455677064,178351235368,164151943480,177554780632,144432066840,159468998968,172272517240,191526990064,183874896480,163537584424,128843202840,198216897208,156734210360,172412199152,148969062784,126977278720,164056391944,185448342024,156620058864,162540061072,148056449456,175779561784,229938717296,134850351328
22,164813967728,138440065232,154558869624,148246770008,135643291800,154559874648,112651243728,181559407144,142480916960,189610955256,115298365856,147759776064,157173219920,177124536928,191356006728,151518810336,150455754888,178351345960,164151976248,177554854360,144432124184,159469052216,172272517240,191527059696,183874962016,163537649960,128843268376,198216950456,156734239032,172412530928,148969124224,126977340160,164056498440,185448591880,156620058864,162540142992,148056506800,175779635512,229938717296,134850388192
23,164814504304,138440159440,154558972024,148246929752,135643402392,154559956568,112651346128,181559509544,142481080800,189611098616,115298443680,147759894848,157173396048,177124536928,191356133704,151518941408,150455902344,178351538472,164151976248,177554985432,144432279832,159469191480,172272693368,191527227632,183875138144,163537760552,128843301144,198217204408,156734357816,172412612848,148969230720,126977430272,164056629512,185448841736,156620083440,162540229008,148056592816,175779803448,229939462768,134850474208
24,164814770544,138440335568,154559230072,148247118168,135643566232,154560022104,112651460816,181559718440,142481252832,189611348472,115298681248,147760103744,157173539408,177125102176,191356133704,151519154400,150456025224,178351714600,164151976248,177555194328,144432476440,159469351224,172272758904,191527469296,183875342944,163537924392,128843305240,198217544376,156734619960,172412854512,148969398656,126977565440,164056781064,185449001480,156620746992,162540229008,148056752560,175780012344,229939667568,134850474208
25,164814827888,138440351952,154559275128,148247159128,135643586712,154560190040,112651460816,181559792168,142481293792,189611409912,115298705824,147760140608,157173580368,177125225056,191356133704,151519195360,150456045704,178351751464,164151976248,177555243480,144432546072,159469408568,172272758904,191527514352,183875416672,163537977640,128843370776,198217667256,156734669112,172412993776,148969480576,126977618688,164056846600,185449075208,156620919024,162540229008,148056793520,175780127032,229939860080,134850482400
26,164814827888,138440351952,154559275128,148247159128,135643586712,154560190040,112651460816,181559792168,142481293792,189611409912,115298705824,147760140608,157173580368,177125225056,191356133704,151519195360,150456045704,178351751464,164151976248,177555243480,144432546072,159469408568,172272758904,191527514352,183875416672,163537977640,128843370776,198217667256,156734669112,172412993776,148969480576,126977618688,164056846600,185449075208,156620919024,162540229008,148056793520,175780127032,229939860080,134850482400
27,164815217008,138440560848,154559496312,148247417176,135643852952,154560398936,112651460816,181560169000,142481543648,189611782648,115298947488,147760288064,157173887568,177125622368,191356133704,151519441120,150456221832,178351907112,164152672568,177555407320,144432730392,159469609272,172272795768,191527772400,183875682912,163538166056,128843743512,198217937592,156734816568,172413276400,148969714048,126977798912,164057125128,185449386504,156621140208,162540229008,148057039280,175780434232,229940200048,134850793696
28,164815217008,138440560848,154559496312,148247425368,135643877528,154560435800,112651460816,181560177192,142481568224,189611823608,115298976160,147760288064,157173916240,177125651040,191356133704,151519461600,150456250504,178351960360,164152709432,177555407320,144432750872,159469625656,172273193080,191527805168,183875723872,163538235688,128843800856,198217999032,156734890296,172413341936,148969746816,126977803008,164057170184,185449415176,156621164784,162540229008,148057072048,175780471096,229940265584,134850810080
29,164815323504,138440650960,154559512696,148247490904,135643934872,154560476760,112651821264,181560259112,142481625568,189611917816,115299062176,147760288064,157173994064,177125782112,191356133704,151519539424,150456340616,178352095528,164152787256,177555407320,144432808216,159469736248,172273295480,191527907568,183875789408,163538297128,128843858200,198218158776,156734976312,172413436144,148969832832,126977889024,164057276680,185449513480,156621258992,162540229008,148057153968,175780553016,229940388464,134850892000
