op_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0
4,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
7,0,0,0,0,0.034,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0
8,0.0,0,0,0,0.13,0,0,0.0,0,0,0.0,0.016,0,0,0,0.022,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
9,0.0,0.0,0,0,0.069,0.031,0.019,0.0,0.0,0.0,0,0.043,0.0,0,0.0,0.103,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.015,0,0.0,0.0,0.0,0.006
10,0.0,0.053,0.0,0.007,0.157,0.163,0.047,0,0.006,0.0,0.0,0.058,0.0,0.0,0.0,0.087,0.012,0.0,0.139,0,0,0.0,0,0.012,0.0,0.0,0.0,0.0,0,0.009,0,0.0,0.019,0.0,0.052,0.017,0.0,0.0,0.0,0.056
11,0.02,0.233,0.05,0.063,0.921,0.23,0.076,0.031,0.129,0.014,0.016,0.125,0.024,0.036,0.029,0.083,0.044,0.009,0.115,0.018,0.026,0.012,0.013,0.107,0.028,0.016,0.04,0.063,0.019,0.106,0.018,0.01,0.047,0.016,0.045,0.059,0.008,0.014,0.01,0.053
12,0.12,0.163,0.168,0.108,0.671,0.189,0.029,0.09,0.322,0.285,0.034,0.101,0.09,0.045,0.105,0.091,0.04,0.058,0.177,0.101,0.089,0.055,0.059,0.279,0.16,0.048,0.038,0.181,0.038,0.142,0.038,0.051,0.06,0.051,0.077,0.055,0.058,0.076,0.061,0.058
13,0.098,0.182,0.594,0.437,0.096,0.338,0.018,0.054,0.16,0.711,0.032,0.048,0.235,0.059,0.298,0.02,0.082,0.044,0.09,0.064,0.057,0.055,0.097,0.282,0.156,0.081,0.067,0.397,0.049,0.145,0.064,0.051,0.061,0.055,0.088,0.086,0.046,0.052,0.086,0.049
14,0.128,0.07,0.518,0.182,0.086,0.127,0.198,0.072,0.156,1.018,0.052,0.045,0.068,0.099,0.235,0.022,0.096,0.089,0.07,0.059,0.083,0.051,0.066,0.236,0.058,0.085,0.046,0.198,0.083,0.167,0.059,0.061,0.229,0.129,0.068,0.101,0.091,0.073,0.096,0.06
15,0.171,0.163,0.075,0.293,0.007,0.226,0.09,0.09,0.119,1.302,0.073,0.053,0.078,0.09,0.152,0.045,0.047,0.08,0.099,0.111,0.087,0.065,0.072,0.031,0.105,0.11,0.071,0.06,0.068,0.161,0.079,0.089,0.082,0.176,0.316,0.084,0.098,0.145,0.137,0.156
16,0.202,0.116,0.19,0.098,0.024,0.07,0.222,0.04,0.247,1.15,0.172,0.053,0.045,0.089,0.057,0.017,0.046,0.036,0.048,0.073,0.097,0.052,0.065,0.108,0,0.068,0.049,0.059,0,0.056,0.072,0.036,0.144,0.109,0.131,0.121,0.086,0.104,0.117,0.082
