op_out_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,28310533272,23312356668,26098547938,25749933206,22856483010,26861733904,19204112052,30588075170,24273094640,31453933322,19478516624,25150529092,26378138284,30292196476,32593788366,25580385324,25397505818,30426301030,28149456758,30505257258,24822066678,27125455598,28987552434,32208634228,31520037444,27635456430,22046016398,33319444110,27194224734,29150199660,25251640136,21306680720,27670476878,31585830018,26434507708,27651076336,25123544704,29789963622,38718384412,23102720100
1,28311493232,23312764548,26098688018,25750654206,22856610730,26861845144,19204140892,30588516010,24273778560,31454184642,19479423024,25151196532,26378599724,30292287116,32594229206,25580743764,25398193858,30427195070,28149955278,30505339658,24822664078,27126716318,28988825514,32209396428,31520638964,27637166230,22046226518,33319736630,27194624374,29150916540,25251842016,21307900240,27670925958,31587066018,26434903228,27651562496,25124669464,29790507462,38719208412,23103428740
2,28311979392,23313032348,26098725098,25751049726,22856792010,26861849264,19204173852,30588936250,24273885680,31454267042,19479925664,25151732132,26379139444,30292637316,32594694766,25580743764,25398618218,30427734790,28150087118,30505393218,24823055478,27126922318,28989183954,32210323428,31520762564,27637491710,22046745638,33320037390,27195617294,29151320300,25252328176,21308130960,27671865318,31587642818,26435216348,27651846776,25124916664,29790915342,38720114812,23103428740
3,28312580912,23313201268,26098729218,25751173326,22856927970,26861861624,19204173852,30589142250,24273898040,31454287642,19479929784,25151929892,26379530844,30292694996,32594896646,25580743764,25398618218,30427907830,28150243678,30505393218,24823055478,27127153038,28989183954,32210587108,31520840844,27637549390,22046745638,33320321670,27195765614,29151546900,25252328176,21308130960,27671865318,31587642818,26435216348,27651846776,25124916664,29791014222,38720114812,23103428740
4,28312585032,23313279548,26098753938,25751214526,22856927970,26861956384,19204173852,30589142250,24274079320,31454320602,19480185224,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32210949668,31521083924,27637553510,22046745638,33320931430,27195765614,29151559260,25252328176,21308192760,27671865318,31587679898,26435216348,27651846776,25124916664,29791170782,38720419692,23103428740
5,28312617992,23313353708,26098968178,25751214526,22856927970,26862100584,19204173852,30589142250,24274272960,31454332962,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151629300,25252328176,21308435840,27671865318,31587692258,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
6,28312622112,23313353708,26098968178,25751214526,22856927970,26862121184,19204173852,30589142250,24274404800,31454349442,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587716978,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
7,28312671552,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454382402,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
8,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454407122,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
9,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454464802,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
10,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454716122,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
11,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454959202,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
12,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
13,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
14,28312885792,23313353708,26098968178,25751214526,22856927970,26862158264,19204173852,30589142250,24274404800,31454963322,19480238784,25151929892,26379918124,30292892756,32594913126,25580743764,25398618218,30427928430,28150247798,30505393218,24823055478,27127420838,28989183954,32211283388,31521083924,27637553510,22046745638,33321499990,27195765614,29151633420,25252328176,21308435840,27671865318,31587955938,26435216348,27651846776,25124916664,29791319102,38720419692,23103428740
