op_r,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,60512,47231,50907,52685,44811,52705,36836,61290,50075,62840,42079,52044,55190,59814,65237,49783,51446,62465,55945,58591,50041,57098,59673,68785,63125,58276,44042,69332,56132,59549,50176,45472,56548,66054,52427,54933,51671,60588,79756,45988
1,60745,47330,50941,52860,44842,52732,36843,61397,50241,62901,42299,52206,55302,59836,65344,49870,51613,62682,56066,58611,50186,57404,59982,68970,63271,58691,44093,69403,56229,59723,50225,45768,56657,66354,52523,55051,51944,60720,79956,46160
2,60863,47395,50950,52956,44886,52733,36851,61499,50267,62921,42421,52336,55433,59921,65457,49870,51716,62813,56098,58624,50281,57454,60069,69195,63301,58770,44219,69476,56470,59821,50343,45824,56885,66494,52599,55120,52004,60819,80176,46160
3,61009,47436,50951,52986,44919,52736,36851,61549,50270,62926,42422,52384,55528,59935,65506,49870,51716,62855,56136,58624,50281,57510,60069,69259,63320,58784,44219,69545,56506,59876,50343,45824,56885,66494,52599,55120,52004,60843,80176,46160
4,61010,47455,50957,52996,44919,52759,36851,61549,50314,62934,42484,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69347,63379,58785,44219,69693,56506,59879,50343,45839,56885,66503,52599,55120,52004,60881,80250,46160
5,61018,47473,51009,52996,44919,52794,36851,61549,50361,62937,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59896,50343,45898,56885,66506,52599,55120,52004,60917,80250,46160
6,61019,47473,51009,52996,44919,52799,36851,61549,50393,62941,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66512,52599,55120,52004,60917,80250,46160
7,61031,47473,51009,52996,44919,52808,36851,61549,50393,62949,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
8,61083,47473,51009,52996,44919,52808,36851,61549,50393,62955,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
9,61083,47473,51009,52996,44919,52808,36851,61549,50393,62969,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
10,61083,47473,51009,52996,44919,52808,36851,61549,50393,63030,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
11,61083,47473,51009,52996,44919,52808,36851,61549,50393,63089,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
12,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
13,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
14,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
15,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
16,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
17,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
18,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
19,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
20,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
21,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
22,61083,47473,51009,52996,44919,52808,36851,61549,50393,63090,42497,52384,55622,59983,65510,49870,51716,62860,56137,58624,50281,57575,60069,69428,63379,58785,44219,69831,56506,59897,50343,45898,56885,66570,52599,55120,52004,60917,80250,46160
