op_rw,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,7794,3892,1958,5860,1965,7927,3899,9732,7825,9721,7763,3923,11681,11623,5818,3887,1953,5820,5798,9750,5853,5866,1947,3883,11653,5831,5852,7344,5880,3895,7793,15560,5827,9692,3895,7800,7795,5090,11693,3905
1,7796,3894,1959,5862,1966,7929,3900,9733,7828,9723,7764,3924,11682,11624,5820,3888,1954,5821,5800,9752,5854,5867,1948,3884,11654,5832,5853,7347,5881,3896,7794,15561,5829,9693,3896,7801,7797,5092,11695,3907
2,7796,3894,1959,5863,1966,7931,3901,9733,7828,9725,7765,3925,11685,11627,5820,3889,1954,5822,5800,9752,5854,5868,1948,3884,11656,5832,5854,7347,5882,3896,7794,15562,5829,9694,3896,7802,7798,5093,11696,3907
3,7797,3894,1959,5863,1966,7931,3901,9733,7829,9726,7766,3925,11687,11628,5821,3889,1954,5823,5801,9753,5854,5868,1948,3885,11658,5833,5854,7347,5882,3897,7794,15563,5830,9695,3897,7803,7798,5093,11697,3907
4,7797,3894,1959,5863,1966,7931,3901,9734,7829,9726,7767,3925,11687,11629,5821,3889,1954,5823,5801,9755,5855,5868,1948,3885,11659,5834,5854,7348,5882,3897,7795,15566,5830,9697,3897,7804,7799,5093,11697,3907
5,7799,3894,1959,5863,1966,7932,3901,9737,7831,9726,7767,3925,11688,11629,5822,3889,1955,5823,5801,9755,5856,5870,1948,3885,11660,5834,5855,7353,5884,3897,7798,15568,5831,9697,3897,7804,7799,5093,11700,3907
6,7800,3896,1960,5865,1967,7933,3902,9738,7832,9728,7768,3927,11688,11630,5823,3891,1955,5825,5803,9757,5857,5870,1949,3886,11662,5835,5857,7354,5884,3898,7798,15570,5832,9698,3898,7805,7802,5095,11701,3909
7,7801,3896,1960,5866,1967,7935,3903,9738,7832,9730,7769,3927,11692,11633,5823,3891,1955,5825,5804,9757,5857,5871,1949,3886,11663,5835,5857,7354,5885,3898,7798,15570,5833,9699,3898,7807,7802,5096,11702,3909
8,7801,3896,1960,5866,1967,7935,3903,9739,7833,9731,7770,3927,11693,11635,5824,3891,1955,5826,5804,9758,5857,5871,1949,3887,11664,5837,5857,7354,5885,3899,7798,15574,5833,9700,3899,7807,7803,5096,11703,3909
9,7802,3896,1960,5866,1967,7935,3903,9741,7833,9731,7771,3927,11693,11635,5824,3891,1955,5826,5804,9760,5859,5871,1949,3887,11665,5837,5857,7357,5886,3899,7800,15575,5833,9702,3899,7808,7803,5096,11703,3909
10,7803,3897,1960,5866,1968,7937,3904,9743,7835,9732,7771,3929,11694,11635,5825,3893,1956,5827,5806,9762,5860,5873,1950,3888,11666,5837,5858,7360,5887,3899,7802,15577,5834,9702,3900,7808,7804,5097,11706,3911
