op_rw_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0
2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0
4,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0
8,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0
9,0.0,0.0,0,0,0.106,0.005,0.002,0.0,0.0,0.0,0,0.012,0.0,0,0.0,0.005,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01,0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.008,0,0.007,0.006,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
11,0.0,0,0,0,0,0,0,0,0.004,0.0,0.001,0,0.003,0.0,0.0,0,0,0.001,0.016,0.0,0,0,0,0.141,0.032,0.004,0,0,0.0,0.134,0,0.0,0.003,0.0,0.0,0.001,0,0.0,0.0,0
12,0.268,0,0,0,0.033,0.208,0,0.017,0,0,0.008,0.001,0,0.0,0,0.001,0,0,0,0.052,0.07,0.005,0,0,0.001,0,0,0.002,0.134,0,0.005,0.004,0,0.0,0,0.001,0.001,0,0.008,0
13,0.002,0.123,0.012,0.172,0,0.029,0.001,0.048,0.087,0,0.006,0.0,0.001,0.025,0.063,0.0,0.001,0.0,0.003,0.015,0.001,0.001,0.089,0.0,0.274,0.0,0.031,0.276,0.009,0.096,0.0,0.0,0.001,0,0.0,0.0,0.004,0.0,0.018,0.001
14,0.04,0,0,0.005,0,0,0,0,0.0,0.536,0.002,0,0.01,0.013,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0.002,0,0.002,0.53,0.117,0,0,0.0,0.022,0.035,0,0.0,0.0,0.001,0.017,0
15,0,0,0,0,0,0,0,0.022,0,0,0.0,0,0.0,0.001,0.002,0,0,0.006,0,0.001,0.001,0,0,0,0.001,0.002,0,0,0,0.0,0,0.001,0,0.001,0.001,0.0,0,0.318,0.0,0
16,0.006,0,0,0,0.0,0.0,0,0.0,0.001,0.417,0.0,0.0,0,0,0,0.0,0,0,0,0.001,0.0,0.0,0,0,0,0,0.001,0.0,0,0,0.0,0.0,0.0,0.024,0,0.003,0.001,0,0.007,0
17,0.007,0.001,0.0,0.003,0,0.0,0.0,0.002,0.001,0.359,0.0,0.0,0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.003,0.001,0.026,0.108,0.684,0.001,0.007,0.012,0.544,0.06,0.001,0.0,0.002,0.0,0.0,0.002,0.001,0.007,0.001,0.0
