op_w,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,199567,167353,186688,179820,163770,187053,136333,219846,172629,229141,139540,178793,189409,213900,230875,182921,181540,215708,197546,214820,174421,192624,207817,231666,221972,197519,155883,239315,189610,208305,179685,153516,198311,224300,189560,196544,179052,211937,277693,162776
1,199634,167389,186748,179858,163821,187099,136363,219887,172651,229166,139595,178860,189469,213976,230939,182963,181579,215749,197608,214845,174487,192701,207895,231715,222049,197621,155953,239393,189653,208341,179743,153567,198373,224359,189612,196600,179085,211994,277755,162805
2,199767,167536,186870,180002,163984,187283,136469,220079,172817,229287,139710,178989,189588,214148,231099,183141,181743,215944,197734,215063,174625,192856,208046,231889,222212,197756,156077,239516,189806,208478,179877,153718,198570,224567,189785,196771,179233,212146,277979,162936
3,199917,167654,187005,180140,164106,187409,136561,220220,172962,229431,139789,179120,189760,214280,231249,183263,181856,216085,197910,215190,174734,192989,208183,232016,222388,197893,156189,239694,189968,208663,179983,153831,198709,224708,189899,196900,179350,212278,278174,163068
4,200120,167834,187257,180282,164215,187580,136687,220418,173145,229617,139888,179269,189903,214455,231412,183388,182022,216248,198076,215348,174851,193149,208338,232202,222557,198012,156283,239921,190090,208802,180118,153933,198849,224897,190039,197023,179505,212437,278399,163191
5,200269,167955,187353,180446,164317,187741,136800,220627,173291,229756,139995,179381,190048,214610,231632,183520,182164,216429,198223,215525,174981,193297,208490,232409,222689,198156,156401,240083,190188,208967,180249,154066,199014,225063,190184,197150,179628,212619,278615,163310
6,200385,168069,187494,180548,164494,187851,136865,220762,173378,229910,140073,179483,190130,214727,231761,183630,182277,216547,198337,215695,175104,193398,208622,232578,222689,198271,156504,240246,190188,209127,180367,154161,199144,225178,190287,197276,179737,212763,278809,163422
7,200508,168157,187607,180649,164597,187973,136937,220852,173481,230088,140141,179592,190130,214875,231905,183742,182374,216661,198435,215814,175250,193562,208788,232741,222865,198440,156596,240413,190352,209271,180473,154243,199252,225342,190436,197409,179864,212900,278982,163515
8,200606,168290,187723,180790,164730,188118,137011,221031,173587,230249,140257,179738,190324,215026,232066,183891,182523,216820,198587,215943,175366,193679,208921,232929,223077,198577,156729,240627,190638,209399,180598,154324,199358,225491,190580,197530,179976,212900,279164,163639
9,200705,168357,187795,180856,164801,188204,137086,221124,173622,230442,140338,179825,190522,215156,232213,183988,182614,216957,198696,216092,175449,193757,208997,233031,223230,198664,156798,240722,190737,209521,180689,154414,199467,225658,190690,197634,180069,212900,279364,163735
10,200719,168364,187807,180864,164810,188216,137100,221139,173622,230476,140345,179840,190538,215175,232240,183997,182628,216971,198716,216117,175461,193770,209010,233043,223246,198675,156813,240738,190747,209535,180703,154432,199490,225675,190701,197657,180089,212900,279393,163750
11,200739,168378,187818,180879,164828,188226,137111,221162,173622,230530,140356,179859,190560,215191,232265,184011,182651,216983,198730,216133,175481,193785,209034,233067,223268,198689,156828,240760,190760,209551,180720,154448,199515,225700,190718,197674,180105,212900,279433,163766
12,200739,168378,187818,180879,164828,188226,137111,221162,173622,230530,140356,179859,190560,215191,232265,184011,182651,216983,198730,216133,175481,193785,209034,233067,223268,198689,156828,240760,190760,209551,180720,154448,199515,225700,190718,197674,180105,212900,279433,163766
13,200739,168378,187818,180879,164828,188226,137111,221162,173622,230530,140356,179859,190560,215191,232265,184011,182651,216983,198730,216133,175481,193785,209034,233067,223268,198689,156828,240760,190760,209551,180720,154448,199515,225700,190718,197674,180105,212900,279433,163766
14,200739,168378,187818,180879,164828,188226,137111,221162,173622,230530,140356,179859,190560,215191,232265,184011,182651,216983,198730,216133,175481,193785,209034,233067,223268,198689,156828,240760,190760,209551,180720,154448,199515,225700,190718,197674,180105,212900,279433,163766
15,200739,168378,187818,180879,164828,188226,137111,221162,173622,230530,140356,179859,190560,215191,232265,184011,182651,216983,198730,216133,175481,193785,209034,233067,223268,198689,156828,240760,190760,209551,180720,154448,199515,225700,190718,197674,180105,212900,279433,163766
16,200788,168439,187875,180954,164886,188306,137167,221257,173622,230587,140408,179925,190633,215257,232332,184081,182708,217038,198785,216218,175575,193829,209085,233141,223347,198759,156877,240845,190810,209602,180780,154488,199575,225757,190764,197726,180152,212929,279486,163801
17,200788,168464,187898,180976,164917,188331,137184,221294,173622,230658,140428,179948,190653,215286,232366,184113,182746,217079,198810,216248,175605,193853,209114,233167,223384,198800,156906,240875,190856,209602,180813,154507,199601,225786,190764,197769,180190,213246,279486,163823
18,200788,168481,187911,180986,164928,188335,137195,221305,173622,230673,140431,179961,190660,215286,232383,184124,182757,217085,198815,216267,175614,193863,209125,233171,223394,198809,156911,240881,190862,209645,180822,154512,199615,225800,190765,197777,180208,213259,279490,163829
19,200788,168507,187948,181004,164956,188360,137215,221334,173827,230708,140462,179986,190695,215286,232415,184152,182784,217117,198838,216294,175635,193885,209155,233202,223435,198832,156928,240904,190889,209645,180854,154535,199637,225801,190765,197821,180228,213323,279490,163858
20,200788,168508,187952,181008,164962,188363,137220,221338,173853,230720,140471,179995,190702,215297,232421,184162,182789,217131,198842,216310,175643,193897,209164,233211,223449,198840,156935,240913,190894,209645,180862,154537,199644,225801,190765,197827,180237,213328,279490,163866
21,200823,168526,187960,181021,164974,188363,137229,221353,173863,230729,140478,180004,190714,215297,232436,184178,182801,217141,198849,216320,175653,193914,209167,233229,223460,198852,156943,240930,190907,209645,180870,154544,199647,225801,190765,197837,180245,213334,279547,163879
22,200823,168543,187978,181043,164990,188399,137241,221376,173883,230746,140488,180019,190731,215297,232466,184201,182820,217168,198857,216338,175667,193927,209167,233246,223476,198868,156959,240943,190914,209726,180885,154559,199673,225862,190765,197857,180259,213352,279547,163888
23,200954,168566,188003,181082,165017,188419,137266,221401,173923,230781,140507,180048,190774,215297,232497,184233,182856,217215,198857,216370,175705,193961,209210,233287,223519,198895,156967,241005,190943,209746,180911,154581,199705,225923,190771,197878,180280,213393,279729,163909
24,201019,168609,188066,181128,165057,188435,137294,221452,173965,230842,140565,180099,190809,215435,232497,184285,182886,217258,198857,216421,175753,194000,209226,233346,223569,198935,156968,241088,191007,209805,180952,154614,199742,225962,190933,197878,180319,213444,279779,163909
25,201033,168613,188077,181138,165062,188476,137294,221470,173975,230857,140571,180108,190819,215465,232497,184295,182891,217267,198857,216433,175770,194014,209226,233357,223587,198948,156984,241118,191019,209839,180972,154627,199758,225980,190975,197878,180329,213472,279826,163911
26,201033,168613,188077,181138,165062,188476,137294,221470,173975,230857,140571,180108,190819,215465,232497,184295,182891,217267,198857,216433,175770,194014,209226,233357,223587,198948,156984,241118,191019,209839,180972,154627,199758,225980,190975,197878,180329,213472,279826,163911
27,201128,168664,188131,181201,165127,188527,137294,221562,174036,230948,140630,180144,190894,215562,232497,184355,182934,217305,199027,216473,175815,194063,209235,233420,223652,198994,157075,241184,191055,209908,181029,154671,199826,226056,191029,197878,180389,213547,279909,163987
28,201128,168664,188131,181203,165133,188536,137294,221564,174042,230958,140637,180144,190901,215569,232497,184360,182941,217318,199036,216473,175820,194067,209332,233428,223662,199011,157089,241199,191073,209924,181037,154672,199837,226063,191035,197878,180397,213556,279925,163991
29,201154,168686,188135,181219,165147,188546,137382,221584,174056,230981,140658,180144,190920,215601,232497,184379,182963,217351,199055,216473,175834,194094,209357,233453,223678,199026,157103,241238,191094,209947,181058,154693,199863,226087,191058,197878,180417,213576,279955,164011
30,201218,168726,188135,181253,165188,188601,137418,221619,174081,231050,140704,180144,190949,215644,232510,184417,183006,217398,199087,216474,175863,194133,209394,233493,223711,199058,157133,241250,191128,209998,181074,154716,199891,226119,191089,198072,180444,213611,279996,164026
