op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,0.074,0.158,0.068,0.033,0.049,0.043,0.023,0.09,0.041,0.034,0.068,0.045,0.055,0.044,0.062,0.063,0.043,0.034,0.059,0.028,0.073,0.047,0.055,0.041,0.069,0.069,0.062,0.095,0.041,0.032,0.032,0.057,0.047,0.072,0.041,0.048,0.058,0.041,0.034,0.033
1,0.195,0.318,0.168,0.098,0.157,0.163,0.05,0.125,0.137,0.304,0.066,0.078,0.164,0.064,0.162,0.104,0.069,0.09,0.157,0.107,0.133,0.066,0.09,0.186,0.178,0.072,0.073,0.24,0.089,0.167,0.068,0.069,0.096,0.081,0.073,0.081,0.079,0.112,0.111,0.056
2,0.175,0.204,0.595,0.129,0.084,0.226,0.076,0.066,0.308,0.712,0.033,0.077,0.333,0.062,0.376,0.087,0.04,0.055,0.13,0.065,0.058,0.074,0.097,0.376,0.167,0.086,0.068,0.509,0.058,0.168,0.065,0.051,0.06,0.055,0.045,0.056,0.046,0.06,0.087,0.053
3,0.126,0.192,0.518,0.465,0.157,0.208,0.029,0.072,0.18,1.044,0.079,0.125,0.109,0.126,0.24,0.083,0.083,0.092,0.178,0.059,0.083,0.072,0.066,0.391,0.078,0.085,0.046,0.29,0.083,0.148,0.059,0.063,0.062,0.133,0.077,0.087,0.092,0.089,0.125,0.058
4,0.17,0.074,0.11,0.183,0.921,0.41,0.018,0.091,0.186,1.314,0.081,0.102,0.078,0.091,0.152,0.092,0.096,0.081,0.092,0.111,0.087,0.065,0.072,0.315,0.106,0.112,0.071,0.098,0.068,0.179,0.079,0.122,0.23,0.174,0.089,0.102,0.098,0.17,0.138,0.05
5,0.197,0.163,0.19,0.293,0.675,0.123,0.198,0.041,0.157,1.169,0.174,0.048,0.045,0.089,0.057,0.02,0.047,0.036,0.071,0.074,0.098,0.052,0.065,0.031,0,0.068,0.049,0.061,0,0.157,0.074,0.037,0.082,0.106,0.068,0.085,0.087,0.104,0.117,0.06
6,0.143,0.116,0.074,0.098,0.096,0.234,0.09,0.046,0.25,0.946,0.177,0.045,0,0.121,0.094,0.022,0.046,0.064,0.099,0.028,0.117,0.061,0.099,0.108,1.328,0.085,0.022,0.084,1.596,0.056,0.127,0.079,0.145,0.19,0.319,0.121,0.186,0.171,0.056,0.156
7,0.049,0.055,0.046,0.061,0.086,0.07,0.222,0.069,0.099,0.852,0.124,0.053,1.046,0.084,0.166,0.045,0.052,0.061,0.048,0.033,0.102,0.116,0.074,0.078,0.983,0.121,0.067,0.112,0.667,0.055,0.096,0.045,0.08,0.079,0.131,0.051,0.109,0,0.113,0.082
8,0.034,0.011,0.011,0.008,0.007,0.024,0.06,0.017,0.057,0.823,0.133,0.054,0.434,0.035,0.178,0.017,0.023,0.026,0.017,0.062,0.104,0.032,0.076,0.068,0.442,0.05,0.011,0.053,0.027,0.045,0.031,0.02,0.049,0.057,0.021,0.052,0.087,0,0.057,0.042
9,0.004,0.005,0.005,0.004,0.027,0.004,0.025,0.004,0,1.049,0.137,0.005,0.014,0.054,0.038,0.005,0.004,0.005,0.006,0.005,0.08,0.076,0.032,0.005,0.062,0.088,0.004,0.004,0.005,0.004,0.017,0.006,0.051,0.004,0.005,0.004,0.052,0,0.05,0.03
10,0.005,0.007,0.006,0.006,0.007,0.005,0.005,0.005,0,0.889,0.007,0.008,0.009,0.006,0.071,0.005,0.163,0.007,0.076,0.081,0.196,0.006,0.148,0.006,0.004,0.12,0.005,0.084,0.005,0.112,0.006,0.004,0.077,0.045,0.005,0.108,0.219,0,0.006,0.217
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.324,0.016,1.259,2.054,1.774,2.104,1.189,1.632,0,3.159,0.744,0.797,0.738,1.442,0.652,0.891,0.261,2.259,0.925,0.757,1.825,0.008,0.013,1.443,2.093,3.075,0.698,2.65,1.379,0.649,0.011,0.011,0.012,0.015,0.011,0.016,0.012,9.543,0.022,0.01
16,0,0.004,0.03,0.008,0.005,0.005,0.006,0.011,0,1.087,0.074,0.03,0.004,0.037,0.029,0.006,0.064,0.04,0.061,0.023,0.094,0.004,0.058,0.004,0.026,1.202,0.004,0.05,3.041,0,0.004,0.004,0.034,0.099,0,0.054,0.036,3.677,0,0.004
17,0,0.435,0.199,0.109,0.215,0.005,0.396,0.004,0,0.215,1.076,0.69,0.336,0,0.56,0.149,0.496,0.219,0.621,0.533,0.007,0.007,0.005,0.005,0.006,0.005,0.428,0.005,0.005,2.225,0.4,0.003,0.772,0.247,2.269,0.211,0.575,3.528,2.34,0.004
18,0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,6.106,0.006,4.006,2.257,2.829,0,0.786,1.679,2.416,0.879,0.004,0.738,0.008,2.471,3.116,3.691,2.157,0.61,1.013,1.249,0.666,0,2.391,1.404,0.005,0.003,0,2.776,1.155,4.973,0,2.392
19,0,0.005,0.541,0.004,0.005,0.003,0.005,0.005,0.789,0.585,0.003,0.006,0.003,6.124,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.364,0.018,0.003,0.004,0.359,0.433,0,0.003,0.003,0.003,0,0,0.003,0.012,0.004,0,0.004
20,10.585,2.083,0.005,0.005,0.98,0,1.161,0.821,1.88,0.762,0.922,0.553,1.499,0,0.004,0.764,0.852,0.004,2.278,0.484,0.501,0.003,2.374,0.384,0.005,1.283,1.652,1.866,0.72,0,0.004,0.004,0.005,0,0,0.996,0.004,2.276,4.878,0.003
21,0,0.142,0.287,0.474,0.202,1.466,0.225,0.534,2.976,0.155,0.004,0.688,0.306,0,0.522,0.04,0.877,0.55,0.675,0.796,0.559,0.005,0,0.053,0.163,0.006,0.209,0.637,0.005,3.489,0.182,0.004,0.557,1.883,0,0.282,0.779,0.053,0,0.004
22,3.474,0.516,0.225,0.049,0.499,0.459,0.133,0.377,1.519,0.293,1.204,1.028,1.031,0,0.846,0.526,1.114,1.682,0,0.581,0.315,0.009,1.782,0.185,0.38,0.438,0.144,2.234,0.885,1.389,0.692,0.005,0.707,1.551,11.042,0.7,0.045,1.86,2.129,0.133
