stat_bytes_avail,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,694901223424,694249910272,702537297920,715881926656,697725526016,672387502080,769117138944,673728688128,704670035968,664923975680,742597812224,709402857472,716823461888,663828832256,645727813632,732049874944,708782944256,736343216128,657498124288,698333192192,714247282688,711996182528,677299728384,669278957568,710216007680,728539537408,702587707392,622192435200,723152842752,682154258432,729978478592,725091680256,698211692544,681436114944,692027949056,705331826688,712486993920,653073625088,657187287040,735385436160
1,694900150272,694261350400,702535241728,715877695488,697724481536,672385376256,769115082752,673726562304,704669057024,664921849856,742591254528,709405298688,716821331968,663824687104,645723840512,732049068032,708793839616,736342212608,657502232576,698331119616,714256728064,711994056704,677298745344,669275254784,710213881856,728538464256,702584532992,622191890432,723150852096,682161020928,729977405440,725089648640,698209701888,681434017792,692026773504,705331281920,712483819520,653072621568,657186238464,735390035968
2,694900150272,694261350400,702535241728,715877695488,697723428864,672385376256,769115082752,673726562304,704669057024,664921878528,742591254528,709405298688,716821331968,663824687104,645723840512,732049068032,708793839616,736342212608,657502232576,698331119616,714256728064,711994056704,677298745344,669275254784,710213881856,728538464256,702584532992,622190837760,723150852096,682161020928,729977405440,725089648640,698209701888,681434017792,692026773504,705331281920,712483819520,653071568896,657184112640,735390035968
3,694896910336,694259277824,702535241728,715878584320,697723428864,672381173760,769115082752,673726562304,704669057024,664921878528,742591254528,709405298688,716821331968,663824687104,645723840512,732049068032,708793839616,736342212608,657494872064,698327883776,714254913536,711994056704,677298745344,669275254784,710213881856,728538464256,702584532992,622190837760,723150852096,682161020928,729977405440,725089648640,698207600640,681434017792,692026773504,705331281920,712483819520,653071568896,657184112640,735390035968
4,694896910336,694259277824,702533169152,715878584320,697721995264,672381173760,769115082752,673732759552,704665939968,664917647360,742591254528,709405298688,716821331968,663824687104,645723840512,732049068032,708791767040,736342212608,657494872064,698327883776,714254913536,711998881792,677298745344,669275254784,710213881856,728538464256,702584532992,622190837760,723150852096,682161020928,729977405440,725089648640,698207600640,681434017792,692026773504,705331281920,712489820160,653071568896,657184112640,735390035968
5,694897209344,694259277824,702533169152,715878584320,697721995264,672381173760,769113010176,673731182592,704665939968,664918028288,742606008320,709403226112,716832849920,663820455936,645723840512,732049068032,708791767040,736339087360,657494872064,698327883776,714252787712,711998881792,677298745344,669275287552,710212337664,728538464256,702584561664,622190837760,723148750848,682166661120,729974091776,725087522816,698207600640,681434017792,692025802752,705328156672,712488767488,653071568896,657179901952,735387934720
6,694897209344,694259277824,702533169152,715878584320,697721995264,672381173760,769113010176,673731182592,704665972736,664918028288,742606008320,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736339087360,657494872064,698327883776,714252787712,711998906368,677295570944,669275287552,710212337664,728536391680,702584561664,622184534016,723148750848,682166661120,729974091776,725087522816,698207600640,681437958144,692032700416,705328156672,712488767488,653075345408,657179901952,735387934720
7,694897209344,694259277824,702533169152,715885555712,697719996416,672381173760,769113010176,673731182592,704665972736,664918028288,742606008320,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736339087360,657494872064,698332708864,714252787712,711998906368,677295599616,669275287552,710212337664,728536391680,702584561664,622184534016,723148750848,682166661120,729980252160,725087522816,698207629312,681437958144,692032700416,705328156672,712488767488,653075345408,657179901952,735387934720
8,694897209344,694259277824,702533169152,715885555712,697719996416,672381173760,769113010176,673731207168,704671690752,664917831680,742606008320,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736339087360,657500438528,698332708864,714252787712,711998906368,677295599616,669275287552,710212337664,728536391680,702584561664,622184534016,723148750848,682166661120,729980252160,725087522816,698207629312,681437958144,692032700416,705328156672,712488767488,653075345408,657179947008,735387934720
9,694897209344,694259277824,702533169152,715885555712,697724772352,672381173760,769113010176,673731207168,704671690752,664917831680,742606008320,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736339087360,657500438528,698332708864,714252787712,711998906368,677295599616,669272211456,710219264000,728536391680,702580367360,622184534016,723148750848,682166661120,729980252160,725087551488,698207629312,681437958144,692032700416,705323925504,712488767488,653075345408,657179947008,735387963392
10,694904958976,694259277824,702528937984,715885576192,697724772352,672393220096,769118982144,673731207168,704671690752,664924741632,742603882496,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736345083904,657500438528,698332708864,714252787712,711996809216,677295599616,669272211456,710219264000,728536391680,702580367360,622184534016,723148750848,682166661120,729980252160,725087551488,698207629312,681437958144,692032700416,705323925504,712488767488,653075345408,657179947008,735387963392
11,694904958976,694259277824,702528937984,715885576192,697724772352,672393220096,769118982144,673731207168,704671690752,664924741632,742603882496,709403226112,716832849920,663820455936,645734006784,732045942784,708791767040,736345083904,657500438528,698332737536,714252787712,711996809216,677295599616,669272211456,710219264000,728536391680,702580367360,622184570880,723148750848,682166693888,729980252160,725087551488,698207629312,681437958144,692032700416,705323925504,712488792064,653075365888,657179947008,735387963392
12,694904991744,694259277824,702528937984,715884503040,697724772352,672393220096,769118982144,673731145728,704671690752,664924741632,742603882496,709403226112,716832849920,663820455936,645729775616,732045942784,708791767040,736345083904,657500438528,698332737536,714252787712,711996809216,677295599616,669279981568,710219264000,728536391680,702580367360,622184570880,723148750848,682166693888,729980252160,725087551488,698203435008,681437958144,692032700416,705323925504,712488792064,653075365888,657179947008,735387963392
13,694904991744,694259277824,702528937984,715884503040,697724772352,672393220096,769119002624,673731145728,704671711232,664924741632,742603882496,709403226112,716832849920,663820455936,645729775616,732045942784,708791767040,736345083904,657500438528,698332737536,714252787712,711996809216,677300740096,669279981568,710218190848,728536391680,702580367360,622184570880,723148750848,682166693888,729985843200,725087551488,698203435008,681437958144,692032700416,705323925504,712488792064,653075365888,657179947008,735387963392
14,694904991744,694259277824,702528937984,715884503040,697724772352,672392192000,769119002624,673731207168,704671711232,664924741632,742603911168,709403226112,716832849920,663820455936,645729775616,732045942784,708791767040,736345083904,657500438528,698332737536,714252816384,711996809216,677300740096,669279174656,710218190848,728536391680,702580367360,622184570880,723148750848,682166693888,729985843200,725087551488,698203435008,681437958144,692032700416,705323925504,712488792064,653075365888,657179947008,735387963392
15,694904991744,694259277824,702528937984,715884503040,697724772352,672392192000,769119002624,673731207168,704671711232,664924741632,742603911168,709403226112,716832849920,663820492800,645729775616,732045942784,708791767040,736344035328,657500438528,698332737536,714252816384,711996809216,677300740096,669279174656,710218190848,728532160512,702580367360,622184570880,723144548352,682166693888,729985843200,725083320320,698203435008,681436930048,692032700416,705323925504,712486666240,653075365888,657179947008,735387963392
16,694904991744,694259277824,702528974848,715884503040,697724801024,672392192000,769119002624,673731207168,704671711232,664924741632,742603911168,709403226112,716832849920,663820492800,645729775616,732045942784,708791767040,736344035328,657500438528,698332737536,714252816384,711996809216,677300740096,669279174656,710218215424,728532160512,702580367360,622184570880,723144548352,682166693888,729985843200,725083320320,698203435008,681436930048,692032700416,705323962368,712486666240,653072187392,657179947008,735387963392
17,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673731207168,704671711232,664924741632,742603911168,709403226112,716832849920,663820492800,645729775616,732041711616,708791767040,736344035328,657500438528,698332737536,714252816384,711996809216,677300740096,669279174656,710218215424,728532160512,702580367360,622184570880,723144548352,682166693888,729985843200,725083320320,698203435008,681436930048,692032700416,705323962368,712486666240,653072187392,657179947008,735387963392
18,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673731207168,704670113792,664924741632,742603911168,709403226112,716832849920,663820492800,645729775616,732041711616,708791767040,736344035328,657500438528,698332737536,714248585216,711996809216,677300740096,669279174656,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983717376,725083320320,698203435008,681436930048,692032700416,705323962368,712486666240,653072187392,657179947008,735387963392
19,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673729081344,704670113792,664924741632,742603911168,709403226112,716832849920,663820492800,645729775616,732041711616,708791767040,736344035328,657500438528,698332737536,714248585216,711996809216,677300740096,669279174656,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983717376,725083320320,698203435008,681436930048,692032700416,705323962368,712486666240,653072187392,657179947008,735387963392
20,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673729081344,704670113792,664924741632,742603911168,709403226112,716828618752,663820492800,645729775616,732041748480,708791767040,736344035328,657500438528,698332737536,714248585216,711996809216,677300215808,669279195136,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983717376,725083357184,698203435008,681436930048,692032700416,705323962368,712486666240,653072187392,657179947008,735387963392
21,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673729081344,704670113792,664922615808,742603911168,709403226112,716828618752,663820492800,645729775616,732041748480,708791767040,736344035328,657500438528,698332737536,714248585216,711996809216,677300215808,669279195136,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983717376,725083357184,698203435008,681436930048,692032700416,705323962368,712486694912,653072220160,657179947008,735387963392
22,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769119002624,673729110016,704670113792,664922615808,742603911168,709403226112,716828618752,663820492800,645729775616,732041748480,708791767040,736344035328,657500438528,698332737536,714248622080,711996809216,677300215808,669278121984,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983717376,725083357184,698203435008,681436930048,692030574592,705323962368,712486694912,653072220160,657179947008,735387963392
23,694904991744,694255083520,702528974848,715884527616,697724801024,672392192000,769117929472,673729110016,704670113792,664922615808,742603911168,709403226112,716828618752,663820492800,645729775616,732041748480,708787535872,736344035328,657500438528,698332737536,714248622080,711996809216,677300215808,669278121984,710218215424,728532197376,702580367360,622184570880,723144548352,682166693888,729983746048,725083357184,698211987456,681434804224,692030574592,705323962368,712486694912,653072220160,657179947008,735387963392
