stat_bytes_used,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,304609116160,305260429312,296973041664,283628412928,301784813568,327122837504,230393200640,325781651456,294840303616,334586363904,256912527360,290107482112,282686877696,335681507328,353782525952,267460464640,290727395328,263167123456,342012215296,301177147392,285263056896,287514157056,322210611200,330231382016,289294331904,270970802176,296922632192,377317904384,276357496832,317356081152,269531860992,274418659328,301298647040,318074224640,307482390528,294178512896,287023345664,346436714496,342323052544,264124903424
1,304610189312,305248989184,296975097856,283632644096,301785858048,327124963328,230395256832,325783777280,294841282560,334588489728,256919085056,290105040896,282689007616,335685652480,353786499072,267461271552,290716499968,263168126976,342008107008,301179219968,285253611520,287516282880,322211594240,330235084800,289296457728,270971875328,296925806592,377318449152,276359487488,317349318656,269532934144,274420690944,301300637696,318076321792,307483566080,294179057664,287026520064,346437718016,342324101120,264120303616
2,304610189312,305248989184,296975097856,283632644096,301786910720,327124963328,230395256832,325783777280,294841282560,334588461056,256919085056,290105040896,282689007616,335685652480,353786499072,267461271552,290716499968,263168126976,342008107008,301179219968,285253611520,287516282880,322211594240,330235084800,289296457728,270971875328,296925806592,377319501824,276359487488,317349318656,269532934144,274420690944,301300637696,318076321792,307483566080,294179057664,287026520064,346438770688,342326226944,264120303616
3,304613429248,305251061760,296975097856,283631755264,301786910720,327129165824,230395256832,325783777280,294841282560,334588461056,256919085056,290105040896,282689007616,335685652480,353786499072,267461271552,290716499968,263168126976,342015467520,301182455808,285255426048,287516282880,322211594240,330235084800,289296457728,270971875328,296925806592,377319501824,276359487488,317349318656,269532934144,274420690944,301302738944,318076321792,307483566080,294179057664,287026520064,346438770688,342326226944,264120303616
4,304613429248,305251061760,296977170432,283631755264,301788344320,327129165824,230395256832,325777580032,294844399616,334592692224,256919085056,290105040896,282689007616,335685652480,353786499072,267461271552,290718572544,263168126976,342015467520,301182455808,285255426048,287511457792,322211594240,330235084800,289296457728,270971875328,296925806592,377319501824,276359487488,317349318656,269532934144,274420690944,301302738944,318076321792,307483566080,294179057664,287020519424,346438770688,342326226944,264120303616
5,304613130240,305251061760,296977170432,283631755264,301788344320,327129165824,230397329408,325779156992,294844399616,334592311296,256904331264,290107113472,282677489664,335689883648,353786499072,267461271552,290718572544,263171252224,342015467520,301182455808,285257551872,287511457792,322211594240,330235052032,289298001920,270971875328,296925777920,377319501824,276361588736,317343678464,269536247808,274422816768,301302738944,318076321792,307484536832,294182182912,287021572096,346438770688,342330437632,264122404864
6,304613130240,305251061760,296977170432,283631755264,301788344320,327129165824,230397329408,325779156992,294844366848,334592311296,256904331264,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263171252224,342015467520,301182455808,285257551872,287511433216,322214768640,330235052032,289298001920,270973947904,296925777920,377325805568,276361588736,317343678464,269536247808,274422816768,301302738944,318072381440,307477639168,294182182912,287021572096,346434994176,342330437632,264122404864
7,304613130240,305251061760,296977170432,283624783872,301790343168,327129165824,230397329408,325779156992,294844366848,334592311296,256904331264,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263171252224,342015467520,301177630720,285257551872,287511433216,322214739968,330235052032,289298001920,270973947904,296925777920,377325805568,276361588736,317343678464,269530087424,274422816768,301302710272,318072381440,307477639168,294182182912,287021572096,346434994176,342330437632,264122404864
8,304613130240,305251061760,296977170432,283624783872,301790343168,327129165824,230397329408,325779132416,294838648832,334592507904,256904331264,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263171252224,342009901056,301177630720,285257551872,287511433216,322214739968,330235052032,289298001920,270973947904,296925777920,377325805568,276361588736,317343678464,269530087424,274422816768,301302710272,318072381440,307477639168,294182182912,287021572096,346434994176,342330392576,264122404864
9,304613130240,305251061760,296977170432,283624783872,301785567232,327129165824,230397329408,325779132416,294838648832,334592507904,256904331264,290107113472,282677489664,335689883648,353776332800,267464396800,290718572544,263171252224,342009901056,301177630720,285257551872,287511433216,322214739968,330238128128,289291075584,270973947904,296929972224,377325805568,276361588736,317343678464,269530087424,274422788096,301302710272,318072381440,307477639168,294186414080,287021572096,346434994176,342330392576,264122376192
