subop,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
0,193834,227153,197173,186648,225782,236469,161659,200429,209156,202560,192794,196212,174838,219856,224841,162448,193507,124241,243343,175709,193684,178505,208311,195383,152106,152591,228469,247328,167671,201577,167985,200844,190405,187738,207909,183778,191972,235145,163572,178159
1,193887,227235,197223,186692,225858,236515,161695,200463,209180,202584,192871,196282,174882,219901,224915,162507,193546,124271,243408,175741,193749,178574,208398,195421,152151,152661,228544,247425,167713,201628,168058,200907,190469,187792,207971,183827,192008,235200,163607,178201
2,194029,227421,197390,186842,226048,236775,161829,200626,209370,202760,193026,196430,174986,220061,225092,162647,193712,124352,243552,175911,193901,178705,208555,195592,152283,152786,228723,247628,167846,201758,168179,201086,190635,187946,208120,183976,192141,235365,163741,178361
3,194182,227562,197504,186979,226207,236918,161953,200771,209531,202909,193172,196592,175132,220223,225217,162765,193827,124436,243797,176030,194040,178824,208707,195684,152386,152898,228883,247828,167981,201930,168286,201202,190766,188074,208251,184096,192273,235542,163855,178526
4,194364,227800,197723,187138,226375,237079,162116,200947,209730,203071,193320,196761,175247,220388,225407,162880,193982,124538,243983,176171,194175,178960,208832,195864,152517,153034,229063,248014,168086,202085,168433,201349,190878,188209,208418,184246,192411,235720,163980,178662
5,194491,227955,197893,187300,226581,237267,162257,201134,209940,203212,193447,196921,175390,220538,225602,163032,194115,124632,244138,176328,194277,179064,208968,196014,152610,153143,229235,248194,168166,202256,168542,201491,191032,188376,208583,184366,192554,235946,164100,178800
6,194592,228097,198035,187395,226717,237376,162349,201235,210018,203341,193559,197045,175457,220645,225712,163122,194229,124705,244302,176441,194420,179165,209110,196142,152610,153236,229377,248363,168166,202421,168663,201589,191147,188470,208686,184496,192683,236095,164193,178942
7,194700,228220,198128,187501,226840,237512,162454,201318,210132,203459,193680,197181,175457,220791,225845,163217,194353,124780,244462,176553,194570,179302,209267,196293,152820,153356,229532,248510,168409,202550,168781,201731,191270,188592,208846,184638,192795,236235,164320,179046
8,194840,228380,198265,187633,227026,237664,162542,201480,210259,203593,193857,197342,175717,220965,226044,163360,194523,124869,244637,176673,194703,179400,209396,196441,152920,153454,229720,248720,168550,202671,168904,201868,191386,188713,209002,184755,192912,236235,164424,179172
9,194935,228472,198344,187705,227125,237786,162660,201579,210287,203774,193935,197436,175813,221078,226165,163423,194616,124943,244791,176781,194789,179493,209470,196542,152999,153514,229823,248843,168624,202765,169022,201996,191505,188877,209143,184874,193021,236235,164523,179302
10,194948,228487,198355,187717,227136,237803,162674,201590,210287,203784,193949,197445,175821,221093,226178,163441,194632,124956,244815,176797,194806,179509,209483,196555,153005,153525,229840,248855,168644,202785,169041,202018,191524,188898,209157,184888,193042,236235,164539,179331
11,194973,228508,198368,187741,227155,237828,162695,201609,210287,203824,193968,197464,175839,221109,226202,163456,194644,124970,244841,176811,194831,179517,209510,196574,153015,153535,229853,248876,168650,202808,169054,202033,191544,188910,209176,184909,193059,236235,164554,179344
12,194973,228508,198368,187741,227155,237828,162695,201609,210287,203824,193968,197464,175839,221109,226202,163456,194644,124970,244841,176811,194831,179517,209510,196574,153015,153535,229853,248876,168650,202808,169054,202033,191544,188910,209176,184909,193059,236235,164554,179344
13,194973,228508,198368,187741,227155,237828,162695,201609,210287,203824,193968,197464,175839,221109,226202,163456,194644,124970,244841,176811,194831,179517,209510,196574,153015,153535,229853,248876,168650,202808,169054,202033,191544,188910,209176,184909,193059,236235,164554,179344
14,194973,228508,198368,187741,227155,237828,162695,201609,210287,203824,193968,197464,175839,221109,226202,163456,194644,124970,244841,176811,194831,179517,209510,196574,153015,153535,229853,248876,168650,202808,169054,202033,191544,188910,209176,184909,193059,236235,164554,179344
15,194973,228508,198368,187741,227155,237828,162695,201609,210287,203824,193968,197464,175839,221109,226202,163456,194644,124970,244841,176811,194831,179517,209510,196574,153015,153535,229853,248876,168650,202808,169054,202033,191544,188910,209176,184909,193059,236235,164554,179344
16,195021,228581,198444,187807,227226,237904,162743,201667,210287,203860,194026,197523,175885,221163,226261,163509,194694,125001,244901,176856,194894,179573,209578,196644,153062,153582,229933,248942,168691,202849,169109,202090,191597,188963,209220,184961,193118,236590,164595,179388
17,195021,228621,198485,187831,227280,237940,162761,201722,210287,203920,194059,197550,175920,221189,226316,163557,194738,125026,244944,176878,194921,179619,209609,196670,153103,153614,229970,248977,168732,202849,169136,202115,191622,188995,209222,184992,193153,236702,164595,179412
18,195021,228632,198496,187839,227287,237951,162769,201727,210287,203933,194071,197556,175928,221189,226325,163569,194749,125031,244957,176885,194930,179628,209617,196679,153110,153620,229979,248990,168737,202921,169139,202129,191633,189004,209222,185001,193164,236712,164600,179419
19,195021,228672,198514,187853,227313,237980,162789,201752,210548,203957,194112,197580,175950,221189,226358,163587,194768,125043,244982,176907,194978,179652,209664,196694,153147,153640,230020,249014,168766,202921,169161,202167,191667,189004,209222,185024,193190,236744,164600,179443
20,195021,228674,198516,187855,227317,237983,162794,201760,210552,203961,194117,197595,175955,221195,226372,163594,194775,125048,244991,176912,194987,179658,209678,196701,153152,153648,230040,249032,168773,202921,169170,202177,191679,189004,209222,185037,193195,236762,164600,179456
21,195034,228687,198531,187869,227331,237983,162804,201775,210568,203974,194125,197605,175962,221195,226388,163602,194789,125057,245006,176924,194997,179670,209679,196710,153156,153654,230052,249045,168779,202921,169182,202191,191688,189004,209222,185046,193205,236772,164668,179463
22,195034,228705,198556,187890,227356,238021,162814,201795,210588,203997,194147,197623,175984,221195,226410,163610,194804,125068,245017,176943,195016,179677,209679,196725,153164,153672,230064,249062,168797,202992,169194,202205,191711,189056,209222,185054,193227,236788,164668,179478
23,195183,228746,198586,187934,227398,238064,162849,201828,210623,204034,194167,197653,176019,221195,226448,163658,194856,125088,245017,176974,195060,179712,209732,196766,153191,153699,230073,249108,168826,203011,169220,202250,191762,189097,209281,185068,193260,236834,164723,179488
24,195214,228818,198635,187988,227459,238065,162887,201879,210662,204081,194222,197711,176061,221399,226448,163692,194904,125117,245017,177007,195098,179744,209748,196810,153235,153734,230077,249164,168878,203094,169255,202292,191805,189146,209425,185068,193299,236889,164755,179488
25,195228,228823,198640,187996,227472,238147,162887,201893,210676,204094,194233,197720,176065,221412,226448,163697,194916,125126,245017,177024,195109,179754,209748,196825,153256,153744,230171,249189,168891,203105,169269,202315,191826,189163,209445,185068,193320,236905,164765,179489
26,195228,228823,198640,187996,227472,238147,162887,201893,210676,204094,194233,197720,176065,221412,226448,163697,194916,125126,245017,177024,195109,179754,209748,196825,153256,153744,230171,249189,168891,203105,169269,202315,191826,189163,209445,185068,193320,236905,164765,179489
27,195297,228874,198705,188053,227554,238229,162887,201971,210747,204158,194301,197762,176130,221479,226448,163734,194977,125160,245227,177054,195150,179805,209835,196877,153292,153785,230251,249250,168928,203154,169321,202366,191880,189222,209497,185068,193373,236984,164824,179639
28,195297,228874,198706,188054,227558,238233,162887,201974,210752,204166,194319,197762,176144,221484,226448,163743,194985,125174,245250,177054,195154,179811,209864,196882,153302,153801,230268,249268,168954,203168,169335,202376,191894,189233,209503,185068,193381,236998,164841,179645
29,195319,228920,198719,188073,227575,238255,162975,201987,210769,204186,194338,197762,176172,221516,226448,163768,195001,125188,245275,177054,195187,179826,209886,196899,153332,153814,230284,249301,168973,203190,169348,202394,191915,189253,209515,185069,193399,237027,164864,179657
30,195372,228972,198719,188117,227629,238296,163002,202033,210825,204241,194377,197762,176208,221554,226465,163799,195038,125216,245325,177054,195228,179876,209919,196926,153359,153833,230308,249332,169007,203223,169380,202431,191946,189276,209538,185262,193438,237055,164897,179680
