%iowait,client01,client02,client03,client04
0,4.62,5.23,5.67,0.0
1,0.0,0.3,50.43,6.94
2,0.0,0.15,38.61,34.58
3,0.0,0.05,0.0,42.24
4,0.13,0.1,0.05,0.08
5,0.78,4.43,0.03,0.0
6,0.0,2.76,0.08,0.13
7,0.0,0.03,0.28,0.0
8,0.0,0.0,0.08,0.08
9,0.13,0.03,26.68,35.99
10,1.16,0.51,52.7,39.43
11,0.0,0.05,13.45,22.62
12,0.0,0.1,0.38,1.45
13,0.13,0.03,0.55,39.82
14,0.4,0.13,0.0,21.24
15,1.88,3.09,0.0,0.03
16,0.0,3.29,0.08,0.0
17,0.0,0.0,0.03,0.03
18,0.0,0.08,0.2,0.0
19,0.43,0.33,0.03,0.1
20,0.58,0.63,21.0,41.16
21,0.0,0.2,54.44,50.0
22,0.0,0.05,8.98,8.45
23,0.03,0.03,0.03,2.38
24,0.13,0.03,0.05,31.66
25,3.14,2.9,0.03,20.97
26,0.0,3.88,0.03,0.0
27,0.0,0.3,0.08,0.03
28,0.2,0.23,1.23,0.95
29,0.3,0.23,0.13,0.03
30,15.82,5.31,0.03,0.05
31,1.43,8.03,0.03,0.0
32,0.0,0.13,0.08,0.05
33,0.0,0.03,0.0,0.0
34,0.0,0.05,0.0,0.0
35,3.16,4.57,47.45,1.08
36,0.0,5.26,39.14,0.03
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.03
39,0.0,0.05,0.0,0.03
40,9.0,4.58,0.13,0.0
41,0.13,7.55,0.0,0.03
42,0.0,0.03,1.38,0.03
43,0.0,0.0,59.59,0.65
44,0.03,0.03,34.67,0.03
45,6.85,3.89,0.0,0.0
46,0.23,5.2,0.0,0.0
47,0.0,0.03,0.0,0.0
48,0.0,0.0,0.05,0.03
49,0.0,0.05,0.0,14.64
50,1.53,1.19,0.05,50.99
51,0.0,0.38,0.03,5.96
52,0.0,0.0,0.03,0.0
53,0.0,0.0,0.0,0.0
54,0.0,0.03,0.0,0.0
55,5.68,2.81,0.3,0.03
56,0.0,3.77,0.18,18.03
57,0.0,0.0,0.38,41.96
58,0.05,0.03,0.03,18.96
59,0.03,0.0,0.03,20.42
60,10.14,3.75,0.0,15.31
61,0.68,5.38,0.1,5.63
62,0.0,0.05,0.15,0.03
63,0.13,0.05,0.0,7.23
64,0.1,0.05,0.03,56.48
65,11.35,4.31,1.23,37.28
66,0.91,8.19,0.03,4.36
67,0.0,0.13,0.05,31.32
68,0.0,0.03,12.84,18.39
69,0.0,0.03,39.44,0.0
70,13.57,4.66,7.24,0.0
