%sys,client01,client02,client03,client04
0,2.85,2.98,3.11,3.21
1,1.5,2.02,4.05,3.78
2,2.94,1.67,3.18,3.4
3,1.48,2.16,2.46,3.0
4,1.21,1.42,2.61,2.16
5,1.18,1.27,2.11,2.08
6,0.83,1.39,2.31,2.08
7,0.88,1.44,2.48,2.08
8,0.93,1.37,2.38,2.08
9,1.11,1.6,3.33,4.63
10,2.26,1.3,3.28,3.48
11,0.68,0.78,2.1,1.55
12,0.9,0.98,1.55,2.08
13,1.56,0.65,1.13,3.03
14,1.06,0.75,0.83,2.78
15,0.53,0.6,0.75,0.8
16,0.5,0.6,1.4,0.85
17,0.5,0.88,1.63,1.25
18,0.78,0.89,1.1,1.6
19,0.5,0.53,0.95,0.93
20,1.08,0.6,2.63,4.13
21,1.09,0.88,3.05,3.03
22,0.65,0.75,1.9,1.25
23,0.75,0.75,1.03,1.4
24,0.45,0.71,1.43,3.1
25,0.8,0.71,1.58,2.65
26,0.58,0.88,1.1,1.43
27,0.53,0.48,0.93,0.95
28,0.8,0.53,3.3,2.08
29,2.16,0.98,1.38,1.3
30,0.78,0.73,0.9,1.28
31,0.4,0.63,1.25,0.85
32,0.53,0.58,1.5,1.2
33,0.58,1.04,0.85,1.68
34,0.58,0.45,0.85,0.8
35,0.93,0.6,3.43,2.3
36,1.36,0.63,2.88,0.78
37,0.83,1.08,0.88,1.58
38,0.58,0.6,1.5,0.93
39,0.5,1.01,0.9,1.53
40,0.45,0.55,0.88,0.93
41,0.55,0.6,1.23,0.88
42,0.58,0.53,2.31,1.13
43,1.31,1.14,3.68,2.45
44,1.69,1.01,2.5,1.96
45,0.83,0.88,1.1,1.23
46,0.5,0.8,1.53,1.1
47,0.48,0.99,0.85,1.6
48,0.53,0.4,1.33,0.83
49,0.6,0.88,1.9,3.28
50,0.7,1.29,1.38,3.1
51,1.36,0.68,0.95,2.58
52,1.08,0.73,0.98,0.78
53,0.4,0.8,1.1,1.0
54,0.55,0.68,1.8,1.0
55,0.65,0.99,2.01,1.78
56,0.55,0.89,1.48,3.36
57,0.63,0.86,2.28,3.38
58,1.54,1.01,1.8,2.43
59,1.73,1.59,1.1,3.0
60,0.68,0.73,0.98,3.05
61,0.68,0.5,1.28,1.43
62,0.4,0.78,1.38,0.9
63,0.45,0.7,1.58,2.3
64,0.6,0.96,1.5,3.15
65,1.33,0.93,1.98,3.2
66,1.74,1.15,0.85,2.15
67,0.7,0.68,1.1,2.95
68,0.53,0.61,1.88,2.03
69,0.63,0.65,3.08,0.9
70,0.65,0.76,2.13,1.23
71,0.63,0.73,3.35,1.33
72,1.41,0.84,3.93,1.78
73,1.13,0.85,2.9,1.35
74,0.85,0.7,1.58,0.93
75,0.53,0.58,1.03,0.78
76,0.63,0.78,1.28,1.35
77,0.58,0.43,1.55,1.25
78,0.73,1.14,1.15,1.73
79,0.63,0.66,1.38,2.35
80,0.8,0.65,1.95,3.68
81,1.26,0.68,2.33,2.85
82,1.58,0.93,1.4,1.03
83,0.38,0.91,1.18,1.33
84,0.63,0.63,3.1,1.1
85,0.58,0.58,2.65,1.03
86,0.6,0.73,0.95,1.75
87,0.58,0.65,2.23,1.63
88,2.14,1.03,1.2,1.45
89,0.98,0.85,1.65,1.2
90,0.65,0.96,0.95,1.55
91,0.55,0.43,1.45,0.8
92,0.43,0.81,1.38,1.43
93,0.65,0.83,1.48,1.4
94,0.83,0.96,3.33,2.13
95,1.99,0.96,3.1,1.5
96,0.93,0.76,0.95,3.3
97,0.53,0.63,1.1,3.05
98,0.55,0.53,1.73,1.38
99,0.68,0.81,1.08,2.03
100,0.6,0.66,1.48,1.08
101,0.6,0.83,1.88,1.6
102,1.28,1.24,3.38,3.91
103,1.68,0.53,2.88,0.98
104,0.53,0.8,1.15,0.85
105,0.7,0.6,1.95,1.0
106,0.91,0.98,1.1,1.93
107,0.6,0.66,3.13,1.1
108,0.48,0.63,2.7,1.0
109,0.68,0.78,1.25,1.6
110,1.26,0.55,1.95,3.08
111,1.56,0.93,0.98,1.0
112,0.53,0.58,1.48,0.83
113,0.58,0.83,1.63,1.5
114,0.65,1.04,1.08,1.68
115,0.43,0.68,1.25,0.95
116,0.6,0.81,1.55,1.73
117,1.16,0.5,3.35,3.95
118,1.01,0.63,3.0,3.08
119,1.08,0.8,0.93,1.5
120,0.75,0.56,0.88,1.08
121,0.58,0.85,1.58,1.08
122,0.5,1.01,1.08,1.68
123,0.5,0.65,1.73,1.23
124,0.5,0.84,1.88,1.5
125,1.44,0.75,1.95,2.85
126,1.61,1.01,1.48,1.25
127,0.58,0.93,1.53,1.38
128,0.68,0.56,2.15,1.48
129,0.53,0.66,3.05,1.35
130,0.65,0.55,3.38,0.9
131,0.65,0.91,2.93,2.61
132,1.16,1.06,2.15,3.45
133,1.41,1.01,1.0,3.18
134,0.9,0.96,1.3,1.25
135,0.65,0.91,1.05,1.33
136,0.55,0.6,1.05,1.13
137,0.58,0.75,1.28,1.05
138,0.6,0.6,0.93,1.25
139,0.58,0.4,2.38,2.35
140,2.09,1.16,1.03,1.78
141,0.6,0.6,1.35,1.03
142,0.48,0.88,1.08,1.48
143,0.55,0.63,1.03,1.18
144,0.6,0.58,1.05,1.0
145,0.7,0.58,1.4,1.03
146,1.16,0.6,3.55,1.85
147,1.56,1.06,2.3,1.8
148,0.75,0.78,1.05,1.25
149,0.65,0.68,1.35,1.2
150,0.73,0.96,1.33,1.35
151,0.68,0.86,1.05,1.58
152,0.68,0.55,1.38,3.13
153,0.6,0.86,1.43,3.28
154,0.83,0.66,2.05,4.83
155,1.51,0.7,0.98,2.93
156,0.78,0.7,1.55,1.58
157,0.58,0.86,1.38,1.73
158,0.8,0.86,1.33,1.45
159,0.68,0.68,1.58,1.4
160,0.53,0.99,1.43,1.68
161,0.93,0.76,2.96,3.48
162,1.64,1.17,3.13,3.48
163,0.98,0.55,2.08,2.75
164,0.68,0.86,1.2,2.8
165,0.58,0.71,1.18,3.03
166,0.48,0.63,1.03,1.43
167,0.53,0.63,1.13,1.03
168,0.38,0.71,1.2,1.1
169,0.6,0.78,2.43,2.13
170,1.81,0.55,3.15,1.3
171,0.83,0.8,1.65,1.08
172,0.7,0.83,1.45,1.2
173,0.6,0.81,1.13,1.33
174,0.6,0.73,1.08,1.08
175,0.53,0.73,1.23,1.08
176,0.53,0.63,1.03,1.1
177,0.78,0.58,3.98,1.73
178,1.58,0.93,2.95,1.55
179,0.88,0.98,1.15,1.2
180,0.83,0.86,1.05,1.53
181,0.5,0.65,1.05,1.1
182,0.48,0.43,1.3,1.05
183,0.55,0.83,1.0,1.53
184,0.55,0.53,1.53,1.03
185,0.83,0.76,2.13,3.18
186,2.22,1.33,0.98,1.78
187,0.68,0.48,1.0,1.03
188,0.33,0.7,1.3,1.0
189,0.55,0.98,1.5,1.53
190,0.73,0.86,1.7,1.38
191,0.83,1.04,2.35,1.6
192,1.25,0.55,2.2,1.63
193,1.28,1.18,1.83,1.28
194,0.73,1.11,1.8,1.73
195,0.53,0.86,0.95,1.45
196,0.48,0.68,1.0,1.0
197,0.43,0.68,1.18,2.88
198,0.6,0.65,2.68,3.23
199,1.28,0.76,1.88,2.4
200,1.54,1.1,1.73,1.28
201,0.4,0.86,3.1,1.28
202,0.53,0.58,1.48,0.98
203,0.48,0.7,2.9,0.88
204,0.63,0.7,2.55,1.0
205,0.58,0.78,1.6,2.93
206,2.62,0.63,1.1,1.5
207,0.86,0.81,1.25,1.4
208,0.4,0.73,1.1,1.05
209,0.43,0.71,0.85,1.18
210,0.55,0.53,1.48,0.85
211,0.63,0.81,1.23,1.6
212,1.13,0.63,1.93,2.98
213,1.56,0.63,0.98,3.03
214,0.93,0.75,1.1,2.1
215,0.55,0.65,1.91,1.15
216,0.6,0.84,1.3,1.98
217,0.65,0.88,1.18,1.25
218,0.48,0.63,0.9,1.08
219,0.53,0.53,2.48,1.33
220,1.99,1.01,1.53,1.58
221,1.08,0.83,1.6,1.63
222,0.63,1.01,1.68,1.6
223,0.63,1.01,0.83,1.65
224,0.5,0.63,1.4,0.9
225,0.55,0.78,1.23,1.43
226,0.83,0.55,3.63,2.68
227,1.66,0.76,2.55,1.38
228,0.73,1.08,0.98,1.38
229,0.65,0.6,1.2,1.0
230,0.5,0.78,1.05,2.83
231,0.5,0.98,1.0,3.18
232,0.5,0.55,1.05,1.35
233,0.43,0.73,1.55,1.08
234,0.98,0.63,3.45,1.93
235,1.56,1.03,3.2,1.88
236,0.68,0.83,1.2,1.1
237,0.75,0.68,1.5,0.9
238,0.55,0.91,1.08,1.85
239,0.5,0.66,1.13,1.15
240,0.63,0.78,1.0,1.23
241,0.63,0.55,1.68,0.98
242,0.86,0.96,1.95,2.43
243,1.76,0.93,1.35,0.83
244,0.65,0.86,1.18,1.4
245,0.7,0.58,1.88,1.08
246,0.78,0.86,1.5,1.98
247,0.73,0.88,0.83,1.38
248,0.58,0.6,1.35,1.15
249,1.18,0.83,3.5,3.45
250,1.33,0.96,2.88,3.1
251,0.78,1.06,1.3,1.5
252,0.8,0.91,0.83,1.35
253,0.53,0.53,1.38,0.88
254,0.65,0.91,1.2,1.35
255,0.63,0.78,0.93,1.43
256,0.63,0.68,1.28,0.95
257,0.96,0.76,2.03,2.45
258,1.86,1.0,1.15,1.2
259,0.63,0.73,0.9,1.15
260,0.4,0.63,1.0,0.93
261,0.48,0.6,1.58,0.95
262,0.55,0.83,0.98,1.45
263,0.5,0.68,1.53,1.45
264,1.21,0.78,3.0,3.5
265,0.9,0.68,3.18,3.03
266,0.76,0.98,1.08,1.35
267,0.88,0.86,1.3,1.18
268,0.65,0.68,1.05,1.55
269,0.48,0.55,1.05,1.23
270,0.63,0.78,1.3,1.13
271,0.58,0.93,1.55,1.35
272,1.08,0.81,1.6,3.43
273,1.81,1.03,1.13,1.25
274,0.63,0.68,3.13,0.98
275,0.5,0.68,2.3,1.1
276,0.78,0.99,1.33,2.95
277,0.6,0.91,1.23,3.15
278,0.58,0.81,1.78,2.18
279,1.53,0.73,3.13,2.08
280,0.93,0.63,1.98,0.88
281,0.83,0.93,1.4,1.38
282,0.7,0.83,1.13,1.53
283,0.53,0.73,1.43,1.2
284,0.63,0.76,1.2,1.55
285,0.48,0.78,0.93,1.13
286,0.55,0.55,2.5,2.26
287,1.83,0.96,1.25,1.83
288,1.01,0.83,3.2,1.25
289,0.53,0.93,2.1,3.05
290,0.6,1.0,1.48,3.13
291,0.65,0.86,1.15,1.8
292,0.45,0.55,1.35,0.93
293,0.73,0.68,3.55,2.05
294,1.69,1.03,2.98,1.3
295,0.85,0.7,1.8,0.83
296,0.55,1.11,1.25,1.73
297,0.48,0.73,1.18,1.53
298,0.5,0.71,1.5,1.3
299,0.53,0.93,1.25,1.7
300,0.63,0.63,1.0,1.13
301,0.78,0.65,1.6,3.88
302,1.38,0.73,0.95,2.97
303,1.03,0.8,1.75,2.2
304,0.6,1.11,1.45,1.78
305,0.61,0.91,1.15,1.48
306,0.63,0.63,1.86,1.1
307,0.63,0.94,1.1,1.7
308,0.68,0.53,2.03,1.78
309,1.94,0.81,2.9,1.27
310,0.95,0.78,2.13,0.8
311,0.58,0.99,2.01,1.45
312,0.53,0.76,1.23,1.95
313,0.5,0.61,1.96,1.25
314,0.55,0.99,1.2,1.9
315,0.65,0.78,1.58,1.1
316,0.6,0.81,2.38,2.3
317,1.74,0.98,0.83,1.05
318,0.75,0.73,1.5,0.83
319,0.5,0.81,1.28,1.43
320,0.6,0.6,1.28,1.4
321,0.5,0.83,1.33,1.23
322,0.48,0.96,1.25,2.91
323,0.7,0.76,2.7,4.25
324,1.38,0.65,3.15,1.88
325,0.85,0.7,1.53,0.83
326,0.85,0.86,1.28,1.35
327,0.63,0.76,1.23,1.3
328,0.58,0.88,1.33,1.23
329,0.58,0.83,1.28,1.28
330,0.65,0.66,1.6,1.2
331,0.88,0.81,3.36,2.75
332,1.92,1.31,0.88,1.78
333,0.75,0.53,1.15,0.83
334,0.52,0.83,2.06,1.2
335,0.81,1.19,1.23,1.98
336,0.5,0.78,1.18,1.3
337,0.6,0.63,1.93,1.1
338,1.03,1.06,3.63,3.08
339,1.61,0.6,2.6,1.0
340,0.8,0.63,1.15,0.95
341,0.4,0.71,1.2,1.28
342,0.65,0.65,1.15,1.1
343,0.6,0.8,2.08,1.25
344,0.73,1.19,1.35,2.18
345,0.48,0.76,1.78,1.28
346,1.41,0.63,1.78,2.93
347,1.26,1.03,0.88,0.88
348,0.48,0.63,0.9,0.88
349,0.48,0.63,1.28,0.88
350,0.58,0.81,1.86,1.25
351,0.65,0.89,1.3,1.98
352,0.65,0.81,1.08,2.23
353,1.31,0.5,1.98,3.2
354,1.3,0.93,1.48,3.13
355,0.81,0.86,2.9,1.28
356,0.6,0.73,2.43,1.15
357,0.4,0.7,0.98,1.08
358,0.6,0.58,0.95,1.08
359,0.55,0.5,1.81,0.85
360,1.06,0.76,3.95,2.25
361,1.69,1.17,2.93,1.68
362,0.65,0.73,0.9,0.83
363,0.73,0.63,0.95,0.95
364,0.43,0.53,1.3,0.93
365,0.58,0.58,0.95,2.33
366,0.68,0.58,1.98,2.98
367,0.73,1.19,1.33,2.48
368,0.98,0.78,3.4,2.1
369,1.48,0.5,2.73,0.83
370,0.83,0.95,1.45,1.43
371,1.01,1.11,1.93,1.5
372,0.81,1.19,1.68,1.93
373,0.6,1.04,0.98,1.53
374,0.45,0.58,1.2,0.93
375,0.6,0.65,1.63,2.75
376,0.96,0.96,2.4,3.85
377,1.51,0.78,3.08,2.08
378,0.75,0.73,2.1,0.85
379,0.73,0.8,1.35,0.9
380,0.65,0.81,1.63,1.43
381,0.6,0.94,0.9,1.48
382,0.53,0.48,1.15,0.85
383,0.5,0.68,0.85,1.08
384,0.65,0.53,2.38,3.08
385,1.48,1.09,3.25,3.4
386,1.16,1.19,1.88,2.75
387,0.78,0.78,1.35,0.88
388,0.65,0.81,0.88,1.28
389,0.68,0.85,2.6,0.93
390,0.43,1.01,3.25,1.4
391,0.78,0.76,1.18,1.38
392,0.55,0.71,1.68,1.33
393,1.58,0.65,1.43,3.31
394,1.59,1.13,1.6,1.15
395,0.7,0.61,0.93,1.48
396,0.53,0.6,1.45,0.88
397,0.45,0.98,1.35,1.43
398,0.55,0.75,0.98,3.25
399,0.43,0.55,1.73,3.85
