kbcached,client01,client02,client03,client04
0,722928.0,1104092.0,1256848.0,1462608.0
1,723164.0,1104144.0,1257004.0,1462740.0
2,723328.0,1104348.0,1257080.0,1462796.0
3,723496.0,1104484.0,1257208.0,1462864.0
4,723660.0,1104596.0,1257400.0,1462944.0
5,723828.0,1104684.0,1257532.0,1463128.0
6,723956.0,1104876.0,1257660.0,1463256.0
7,724096.0,1104964.0,1257792.0,1463388.0
8,724260.0,1105180.0,1257920.0,1463520.0
9,724440.0,1105232.0,1258060.0,1463652.0
10,724644.0,1105376.0,1258076.0,1463840.0
11,724816.0,1105512.0,1258312.0,1463964.0
12,724988.0,1105668.0,1258452.0,1464092.0
13,725136.0,1105788.0,1258524.0,1464160.0
14,725372.0,1105856.0,1258652.0,1464228.0
15,725596.0,1106056.0,1258840.0,1464484.0
16,725708.0,1106196.0,1258952.0,1464600.0
17,725920.0,1106272.0,1259048.0,1464692.0
18,725992.0,1106404.0,1259192.0,1464828.0
19,725892.0,1106724.0,1259320.0,1464980.0
20,726332.0,1106868.0,1259504.0,1465040.0
21,726636.0,1106928.0,1259504.0,1465164.0
22,726744.0,1107024.0,1259640.0,1465452.0
23,726972.0,1107160.0,1259832.0,1465588.0
24,727128.0,1107332.0,1259892.0,1465716.0
25,727296.0,1107492.0,1260092.0,1465848.0
26,727456.0,1107596.0,1260220.0,1465980.0
27,727616.0,1107728.0,1260300.0,1466108.0
28,727780.0,1107872.0,1260492.0,1466200.0
29,727948.0,1107996.0,1260588.0,1466308.0
30,728120.0,1108144.0,1260680.0,1466388.0
31,728232.0,1108300.0,1260812.0,1466452.0
32,728452.0,1108352.0,1261012.0,1466652.0
33,728616.0,1108504.0,1261080.0,1466700.0
34,728772.0,1108624.0,1261272.0,1466920.0
35,728936.0,1108840.0,1261272.0,1467020.0
36,729000.0,1108984.0,1261416.0,1467180.0
37,729168.0,1109044.0,1261616.0,1467364.0
38,729284.0,1109180.0,1261696.0,1467492.0
39,729464.0,1109308.0,1261860.0,1467612.0
40,729656.0,1109464.0,1261988.0,1467748.0
41,729824.0,1109592.0,1262080.0,1467880.0
42,729988.0,1109668.0,1262184.0,1467980.0
43,730100.0,1109860.0,1262384.0,1468144.0
44,730264.0,1109992.0,1262512.0,1468244.0
45,730448.0,1110204.0,1262644.0,1468364.0
46,730652.0,1110372.0,1262780.0,1468536.0
47,730768.0,1110412.0,1262904.0,1468664.0
48,730976.0,1110488.0,1263008.0,1468700.0
49,731040.0,1110676.0,1263128.0,1468796.0
50,731304.0,1110872.0,1263296.0,1468912.0
51,731476.0,1110956.0,1263388.0,1469140.0
52,731644.0,1111096.0,1263560.0,1469236.0
53,731756.0,1111176.0,1263692.0,1469360.0
54,731920.0,1111356.0,1263832.0,1469480.0
55,732036.0,1111508.0,1263896.0,1469644.0
56,732296.0,1111652.0,1264016.0,1469780.0
57,732460.0,1111784.0,1264148.0,1469908.0
58,732456.0,1111868.0,1264288.0,1470032.0
59,732628.0,1112044.0,1264416.0,1470212.0
