kbdirty,client01,client02,client03,client04
0,2312.0,2196.0,2124.0,2140.0
1,2548.0,2276.0,2284.0,2272.0
2,2708.0,2468.0,2360.0,2328.0
3,2876.0,2600.0,2496.0,2396.0
4,3040.0,2716.0,2680.0,2476.0
5,3204.0,2804.0,2812.0,2660.0
6,3332.0,3012.0,2940.0,2788.0
7,3472.0,3072.0,3072.0,2920.0
8,3636.0,3288.0,3148.0,3052.0
9,3744.0,3348.0,3300.0,3132.0
10,3968.0,3484.0,3316.0,3320.0
11,4136.0,3620.0,3552.0,3444.0
12,4304.0,3780.0,3692.0,3572.0
13,4368.0,3896.0,3756.0,3640.0
14,1676.0,3952.0,3884.0,3708.0
15,2080.0,4084.0,4072.0,3960.0
16,2192.0,4224.0,4184.0,4076.0
17,2512.0,4300.0,4280.0,4168.0
18,2616.0,4496.0,252.0,4304.0
19,1280.0,408.0,524.0,304.0
20,988.0,460.0,832.0,500.0
21,1268.0,652.0,884.0,748.0
22,1432.0,872.0,1020.0,1092.0
23,1708.0,1008.0,1216.0,1228.0
24,1872.0,1188.0,1276.0,1364.0
25,2036.0,1356.0,1476.0,1492.0
26,2196.0,1476.0,1604.0,1624.0
27,2356.0,1620.0,1684.0,1752.0
28,2520.0,1756.0,1876.0,1844.0
29,2684.0,1884.0,1972.0,1852.0
30,2852.0,2020.0,2064.0,1928.0
31,2964.0,2168.0,2196.0,1988.0
32,3184.0,2220.0,2396.0,2188.0
33,3344.0,2364.0,2464.0,2236.0
34,3500.0,2492.0,2656.0,2464.0
35,3668.0,2708.0,2656.0,2556.0
36,3728.0,2848.0,2800.0,2716.0
37,3892.0,2908.0,3000.0,2900.0
38,4008.0,3044.0,3080.0,3028.0
39,4184.0,3180.0,3244.0,3144.0
40,4384.0,3340.0,3372.0,3284.0
41,4544.0,3460.0,3464.0,3416.0
42,4708.0,3536.0,3568.0,3516.0
43,4820.0,3728.0,3708.0,3680.0
44,4980.0,3868.0,3852.0,236.0
45,4952.0,4080.0,3980.0,508.0
46,5160.0,4236.0,4116.0,804.0
47,5280.0,4280.0,4240.0,984.0
48,5488.0,4356.0,252.0,1020.0
49,2656.0,4552.0,532.0,1116.0
50,2360.0,4712.0,816.0,1232.0
51,2644.0,4788.0,956.0,1460.0
52,2832.0,4928.0,1128.0,1556.0
53,2944.0,5008.0,1264.0,1680.0
54,936.0,848.0,1404.0,1800.0
55,1016.0,284.0,1468.0,1964.0
56,1336.0,556.0,1588.0,2100.0
57,1552.0,816.0,1720.0,2228.0
58,1608.0,968.0,1860.0,2352.0
59,1772.0,1128.0,1996.0,2540.0
60,1968.0,1204.0,2060.0,2672.0
61,2200.0,1352.0,2252.0,2748.0
62,2304.0,1432.0,2384.0,2876.0
63,2468.0,1624.0,2512.0,3064.0
64,2688.0,1764.0,2644.0,3156.0
65,2856.0,1904.0,2776.0,3328.0
66,3024.0,2168.0,2848.0,3452.0
67,3188.0,2176.0,3036.0,3528.0
68,3352.0,2316.0,3096.0,3660.0
69,3512.0,2456.0,3292.0,48.0
70,3680.0,2588.0,3428.0,348.0
71,3844.0,2740.0,3556.0,632.0
72,3952.0,2888.0,3692.0,884.0
73,4116.0,2996.0,3820.0,1016.0
74,4256.0,3132.0,3896.0,1156.0
75,4340.0,3276.0,4080.0,1196.0
76,4608.0,3332.0,4144.0,1332.0
77,4768.0,3544.0,4280.0,1496.0
78,4928.0,3684.0,548.0,1572.0
79,4992.0,3876.0,476.0,1732.0
80,4936.0,3960.0,736.0,1872.0
81,5112.0,4040.0,996.0,2024.0
82,5276.0,4228.0,1116.0,2152.0
83,5440.0,4292.0,1184.0,2276.0
84,2004.0,4440.0,1320.0,2416.0
85,2312.0,4520.0,1516.0,2544.0
86,2596.0,4656.0,1576.0,2676.0
87,2672.0,4868.0,1708.0,2804.0
88,2980.0,4932.0,1712.0,2988.0
89,3152.0,72.0,1916.0,3116.0
90,1096.0,456.0,2104.0,3252.0
91,1320.0,656.0,2232.0,3376.0
92,1536.0,912.0,2360.0,3452.0
93,1752.0,1056.0,2492.0,3580.0
94,1916.0,1196.0,2552.0,3724.0
95,2088.0,1296.0,2756.0,3864.0
96,2252.0,1440.0,2784.0,3988.0
97,2412.0,1572.0,2996.0,4124.0
98,2576.0,1700.0,3120.0,4248.0
99,2636.0,1896.0,3224.0,4388.0
100,2800.0,1980.0,3412.0,4512.0
101,2968.0,2116.0,3540.0,4688.0
102,3136.0,2176.0,3600.0,4752.0
103,3300.0,2388.0,3736.0,4852.0
104,3456.0,2504.0,3940.0,448.0
105,3564.0,2600.0,4072.0,416.0
106,3792.0,2784.0,4204.0,648.0
107,3948.0,2980.0,4336.0,900.0
108,4112.0,3036.0,4392.0,1056.0
109,4276.0,3124.0,4524.0,1128.0
110,4468.0,3264.0,4728.0,1292.0
111,4532.0,3408.0,4788.0,1420.0
112,4688.0,3544.0,4988.0,1504.0
113,4948.0,3732.0,216.0,1680.0
114,5016.0,3872.0,464.0,1796.0
115,5068.0,3988.0,648.0,1948.0
116,5232.0,4152.0,912.0,2072.0
117,5348.0,4212.0,1044.0,2204.0
118,5512.0,4348.0,1172.0,2332.0
119,5676.0,4504.0,1304.0,2444.0
120,304.0,4556.0,1436.0,2564.0
121,628.0,4644.0,1536.0,2724.0
122,928.0,4836.0,1644.0,2828.0
123,1144.0,4972.0,1784.0,2964.0
124,1308.0,336.0,1920.0,3100.0
125,1308.0,340.0,2044.0,3244.0
126,1532.0,616.0,2140.0,3336.0
127,1700.0,876.0,2352.0,3480.0
128,1860.0,1032.0,2440.0,3684.0
129,2008.0,1156.0,2596.0,3792.0
130,2184.0,1360.0,2624.0,3844.0
131,2332.0,1460.0,2876.0,3948.0
132,2452.0,1496.0,2988.0,4104.0
133,2676.0,1676.0,3136.0,4212.0
134,2784.0,1804.0,3280.0,4352.0
135,3000.0,1912.0,3368.0,4476.0
136,3108.0,2164.0,3472.0,4608.0
137,3188.0,2184.0,3580.0,4736.0
138,3424.0,2312.0,3720.0,4928.0
139,3492.0,2496.0,3864.0,204.0
140,3660.0,2596.0,4064.0,484.0
141,3840.0,2720.0,4120.0,672.0
142,3992.0,2884.0,4248.0,976.0
143,4152.0,2936.0,4376.0,1092.0
144,4356.0,3148.0,4500.0,1216.0
145,4472.0,3348.0,4652.0,1352.0
146,4648.0,3400.0,4712.0,1444.0
147,4800.0,3632.0,4840.0,1596.0
148,4964.0,3672.0,80.0,1736.0
149,5188.0,3808.0,304.0,1748.0
150,5116.0,3960.0,660.0,1872.0
151,5284.0,4080.0,904.0,2008.0
152,5456.0,4160.0,1004.0,2136.0
153,5648.0,4352.0,1164.0,2264.0
154,5772.0,4520.0,1248.0,2404.0
155,396.0,4612.0,1360.0,2552.0
156,744.0,4708.0,1428.0,2664.0
157,948.0,4864.0,1596.0,2816.0
158,1184.0,4980.0,1828.0,2960.0
159,1248.0,0.0,1956.0,3028.0
160,1408.0,224.0,2084.0,3128.0
161,1472.0,492.0,2176.0,3280.0
162,1640.0,736.0,2264.0,3424.0
163,1796.0,984.0,2476.0,3548.0
164,1960.0,1068.0,2604.0,3672.0
165,2128.0,1252.0,2732.0,3800.0
166,2344.0,1348.0,2800.0,3936.0
167,2448.0,1560.0,3004.0,4060.0
168,2604.0,1620.0,3052.0,4168.0
169,2768.0,1756.0,3180.0,4284.0
170,2992.0,1844.0,3252.0,4420.0
171,3156.0,2032.0,3444.0,4560.0
172,3324.0,2248.0,3524.0,4700.0
173,3484.0,2440.0,3724.0,4828.0
174,3644.0,2520.0,3856.0,48.0
175,3752.0,2584.0,3920.0,240.0
176,3964.0,2592.0,3924.0,612.0
177,4072.0,2856.0,4252.0,768.0
178,4252.0,2996.0,4380.0,912.0
179,4412.0,3188.0,4512.0,1084.0
180,4580.0,3264.0,4592.0,1232.0
181,4728.0,3404.0,4716.0,1364.0
182,4888.0,3540.0,4904.0,1540.0
183,5048.0,3616.0,108.0,1672.0
184,5108.0,3808.0,308.0,1740.0
185,5104.0,3832.0,500.0,1928.0
186,5332.0,3964.0,764.0,2068.0
187,5504.0,4100.0,908.0,2216.0
188,5664.0,4236.0,1096.0,2256.0
189,5828.0,4372.0,1224.0,2384.0
190,240.0,4436.0,1356.0,2520.0
191,572.0,4700.0,1484.0,2648.0
192,828.0,4844.0,1612.0,2772.0
193,1076.0,4848.0,1744.0,2908.0
194,1240.0,260.0,1880.0,3036.0
195,1292.0,368.0,1940.0,3176.0
196,1456.0,692.0,2156.0,3300.0
197,1664.0,948.0,2272.0,3444.0
198,1808.0,956.0,2384.0,3516.0
199,1948.0,1148.0,2540.0,3740.0
200,2008.0,1240.0,2668.0,3896.0
201,2280.0,1420.0,2800.0,3996.0
202,2440.0,1552.0,2928.0,4140.0
203,2628.0,1688.0,3060.0,4256.0
204,2692.0,1792.0,3200.0,24.0
205,2828.0,1972.0,3332.0,172.0
206,3048.0,2128.0,3464.0,436.0
207,3376.0,2248.0,3588.0,836.0
208,3540.0,2388.0,3720.0,956.0
209,3696.0,2528.0,3820.0,1176.0
210,3868.0,2636.0,3984.0,1280.0
211,4028.0,2724.0,4116.0,1440.0
212,4192.0,2860.0,4204.0,1528.0
213,4352.0,2992.0,4288.0,1604.0
214,4516.0,3136.0,4456.0,1796.0
215,4684.0,3284.0,4612.0,1920.0
216,4844.0,3408.0,4736.0,2056.0
217,5008.0,3548.0,4868.0,2112.0
218,5168.0,3760.0,264.0,2244.0
219,5168.0,3816.0,336.0,2396.0
220,5168.0,3892.0,644.0,2504.0
221,5244.0,4032.0,908.0,2636.0
222,5612.0,4168.0,1036.0,2760.0
223,5768.0,4324.0,1176.0,2896.0
224,5852.0,4512.0,1232.0,3032.0
225,352.0,4660.0,1424.0,3152.0
226,780.0,4696.0,1548.0,3276.0
227,1100.0,4832.0,1676.0,3396.0
228,1244.0,4964.0,1744.0,3536.0
229,1428.0,788.0,1912.0,3652.0
230,1464.0,344.0,1968.0,3780.0
231,1632.0,644.0,2160.0,3836.0
232,1744.0,900.0,2360.0,4072.0
233,1952.0,1036.0,2492.0,4252.0
234,2116.0,1176.0,2620.0,4368.0
235,2284.0,1316.0,2748.0,4516.0
236,2348.0,1440.0,2824.0,4640.0
237,2612.0,1504.0,2956.0,4716.0
238,2772.0,1692.0,3008.0,4848.0
239,2936.0,1772.0,3204.0,0.0
240,2940.0,1920.0,3328.0,136.0
241,3104.0,2040.0,3456.0,512.0
242,3272.0,2172.0,3580.0,816.0
243,3448.0,2312.0,3736.0,856.0
244,3520.0,2388.0,3868.0,1056.0
245,3816.0,2592.0,4028.0,1176.0
246,3980.0,2724.0,4124.0,1320.0
247,4084.0,2860.0,4248.0,1452.0
248,4224.0,2996.0,4324.0,1612.0
249,4304.0,3132.0,4476.0,1756.0
250,4468.0,3300.0,4616.0,1956.0
251,4632.0,3416.0,4688.0,2012.0
252,4816.0,3548.0,4868.0,2160.0
253,5000.0,3684.0,128.0,2224.0
254,5140.0,3816.0,408.0,2368.0
255,5156.0,3900.0,660.0,2484.0
256,5324.0,4036.0,832.0,2620.0
257,5492.0,4180.0,928.0,2764.0
258,5556.0,4256.0,984.0,2940.0
259,5712.0,4388.0,1208.0,3004.0
260,76.0,4504.0,1280.0,3196.0
261,392.0,4688.0,1500.0,3332.0
262,912.0,4692.0,1700.0,3472.0
263,1156.0,4884.0,1840.0,3588.0
264,1272.0,740.0,1896.0,3760.0
265,1428.0,208.0,2032.0,3832.0
266,1496.0,492.0,2088.0,3856.0
267,1796.0,832.0,2296.0,4112.0
268,1928.0,964.0,2428.0,4240.0
269,1988.0,1100.0,2556.0,0.0
270,2184.0,1232.0,2684.0,332.0
271,2312.0,1372.0,2800.0,572.0
272,2476.0,1504.0,2896.0,768.0
273,2640.0,1716.0,3028.0,984.0
274,2864.0,1824.0,3172.0,1112.0
275,3024.0,1912.0,3216.0,1236.0
276,3152.0,2044.0,3472.0,1292.0
277,3344.0,2176.0,3532.0,1468.0
278,3500.0,2328.0,3732.0,1572.0
279,3604.0,2440.0,3864.0,1720.0
280,3768.0,2588.0,3996.0,1848.0
281,3936.0,2704.0,4124.0,1952.0
282,4108.0,2852.0,4260.0,2012.0
283,4268.0,2988.0,4352.0,2208.0
284,4428.0,3064.0,4436.0,2356.0
285,4620.0,3256.0,4564.0,2500.0
286,4800.0,3392.0,4752.0,2612.0
287,4928.0,3508.0,4876.0,2680.0
288,5032.0,3584.0,0.0,2884.0
289,5292.0,3712.0,312.0,2996.0
290,5164.0,3872.0,656.0,3052.0
291,5340.0,3928.0,900.0,3128.0
292,5500.0,4080.0,976.0,3324.0
293,5612.0,4196.0,1108.0,3380.0
294,5828.0,4368.0,1248.0,3588.0
295,96.0,4492.0,1312.0,3668.0
296,500.0,4612.0,1448.0,3924.0
297,720.0,4768.0,1572.0,4048.0
298,1056.0,4848.0,1704.0,4256.0
299,1216.0,720.0,1832.0,4364.0
300,1376.0,392.0,1964.0,4368.0
301,1540.0,704.0,2160.0,4396.0
