kbinact,client01,client02,client03,client04
0,845008.0,1070068.0,1348420.0,1435940.0
1,845036.0,1070080.0,1348424.0,1435944.0
2,845036.0,1070112.0,1348428.0,1435944.0
3,845040.0,1070124.0,1348436.0,1435944.0
4,845036.0,1070132.0,1348444.0,1435952.0
5,845048.0,1070156.0,1348440.0,1435952.0
6,845056.0,1070152.0,1348444.0,1435956.0
7,845060.0,1070164.0,1348444.0,1435956.0
8,845060.0,1070168.0,1348444.0,1435952.0
9,845060.0,1070180.0,1348464.0,1435968.0
10,845072.0,1070188.0,1348464.0,1435968.0
11,845068.0,1070188.0,1348456.0,1435968.0
12,845068.0,1070192.0,1348460.0,1435968.0
13,845132.0,1070192.0,1348452.0,1435968.0
14,845124.0,1070192.0,1348464.0,1435976.0
15,845120.0,1070200.0,1348468.0,1435988.0
16,845024.0,1070200.0,1348468.0,1435988.0
17,845024.0,1070200.0,1348472.0,1435992.0
18,845016.0,1070200.0,1348468.0,1435996.0
19,845076.0,1070444.0,1348468.0,1435992.0
20,845364.0,1070452.0,1348468.0,1436008.0
21,845436.0,1070452.0,1348476.0,1436008.0
22,845440.0,1070452.0,1348476.0,1436012.0
23,845432.0,1070448.0,1348476.0,1436008.0
24,845432.0,1070448.0,1348480.0,1436020.0
25,845436.0,1070452.0,1348488.0,1436024.0
26,845444.0,1070468.0,1348492.0,1436028.0
27,845444.0,1070488.0,1348504.0,1436048.0
28,845444.0,1070496.0,1348508.0,1436048.0
29,845452.0,1070512.0,1348532.0,1436052.0
30,845464.0,1070528.0,1348528.0,1436060.0
31,845464.0,1070536.0,1348528.0,1436060.0
32,845468.0,1070528.0,1348528.0,1436064.0
33,845472.0,1070516.0,1348528.0,1436060.0
34,845468.0,1070524.0,1348536.0,1436064.0
35,845476.0,1070524.0,1348536.0,1436080.0
36,845484.0,1070528.0,1348544.0,1436084.0
37,845480.0,1070528.0,1348540.0,1436088.0
38,845472.0,1070520.0,1348540.0,1436084.0
39,845464.0,1070504.0,1348548.0,1436084.0
40,845472.0,1070512.0,1348556.0,1436096.0
41,845460.0,1070516.0,1348556.0,1436100.0
42,845484.0,1070520.0,1348556.0,1436100.0
43,845508.0,1070520.0,1348568.0,1436096.0
44,845504.0,1070516.0,1348580.0,1436096.0
45,845496.0,1070520.0,1348580.0,1436108.0
46,845500.0,1070528.0,1348580.0,1436104.0
47,845488.0,1070524.0,1348576.0,1436104.0
48,845472.0,1070528.0,1348576.0,1436108.0
49,845496.0,1070484.0,1348576.0,1436108.0
50,845528.0,1070488.0,1348584.0,1436112.0
51,845540.0,1070504.0,1348592.0,1436124.0
52,845536.0,1070500.0,1348592.0,1436136.0
53,845516.0,1070500.0,1348596.0,1436140.0
54,845520.0,1070500.0,1348604.0,1436120.0
55,845524.0,1070512.0,1348608.0,1436124.0
56,845524.0,1070524.0,1348608.0,1436128.0
57,845528.0,1070520.0,1348608.0,1436124.0
58,845536.0,1070516.0,1348600.0,1436128.0
59,845528.0,1070520.0,1348600.0,1436124.0
60,845552.0,1070524.0,1348608.0,1436136.0
61,845516.0,1070536.0,1348600.0,1436136.0
62,845512.0,1070532.0,1348604.0,1436140.0
63,845520.0,1070528.0,1348612.0,1436152.0
64,845520.0,1070520.0,1348628.0,1436156.0
65,845556.0,1070520.0,1348644.0,1436152.0
66,845552.0,1070532.0,1348644.0,1436156.0
67,845548.0,1070532.0,1348644.0,1436152.0
68,845548.0,1070532.0,1348644.0,1436156.0
69,845556.0,1070540.0,1348644.0,1436156.0
70,845556.0,1070544.0,1348652.0,1436160.0
71,845564.0,1070552.0,1348656.0,1436160.0
72,845572.0,1070564.0,1348648.0,1436180.0
73,845572.0,1070564.0,1348656.0,1436192.0
74,845572.0,1070556.0,1348664.0,1436204.0
75,845588.0,1070564.0,1348676.0,1436208.0
76,845584.0,1070564.0,1348676.0,1436208.0
77,845588.0,1070572.0,1348680.0,1436208.0
78,845584.0,1070568.0,1348680.0,1436208.0
79,845588.0,1070572.0,1348684.0,1436216.0
80,845596.0,1070584.0,1348688.0,1436220.0
81,845612.0,1070580.0,1348700.0,1436224.0
82,845608.0,1070588.0,1348700.0,1436228.0
83,845608.0,1070596.0,1348700.0,1436228.0
84,845608.0,1070600.0,1348700.0,1436224.0
85,845604.0,1070604.0,1348704.0,1436228.0
86,845608.0,1070612.0,1348704.0,1436236.0
87,845608.0,1070616.0,1348708.0,1436240.0
88,845616.0,1070608.0,1348708.0,1436272.0
89,845620.0,1070612.0,1348716.0,1436272.0
90,845624.0,1070624.0,1348724.0,1436280.0
91,845624.0,1070632.0,1348728.0,1436284.0
92,845628.0,1070636.0,1348728.0,1436284.0
93,845632.0,1070640.0,1348740.0,1436280.0
94,845636.0,1070640.0,1348740.0,1436308.0
95,845652.0,1070640.0,1348768.0,1436316.0
96,845660.0,1070648.0,1348772.0,1436316.0
97,845660.0,1070652.0,1348776.0,1436324.0
98,845660.0,1070652.0,1348780.0,1436324.0
99,845660.0,1070656.0,1348788.0,1436324.0
100,845660.0,1070656.0,1348792.0,1436324.0
101,845660.0,1070664.0,1348788.0,1436340.0
102,845668.0,1070680.0,1348796.0,1436340.0
103,845672.0,1070676.0,1348792.0,1436340.0
104,845672.0,1070672.0,1348788.0,1436340.0
105,845684.0,1070672.0,1348788.0,1436340.0
106,845680.0,1070684.0,1348788.0,1436356.0
107,845680.0,1070684.0,1348796.0,1436356.0
108,845684.0,1070684.0,1348800.0,1436356.0
109,845684.0,1070688.0,1348800.0,1436356.0
110,845700.0,1070688.0,1348800.0,1436372.0
111,845696.0,1070704.0,1348808.0,1436372.0
112,845696.0,1070700.0,1348812.0,1436372.0
113,845700.0,1070700.0,1348808.0,1436372.0
114,845696.0,1070708.0,1348816.0,1436372.0
115,845708.0,1070720.0,1348816.0,1436380.0
116,845716.0,1070740.0,1348824.0,1436380.0
117,845716.0,1070740.0,1348828.0,1436380.0
118,845712.0,1070740.0,1348828.0,1436380.0
119,845716.0,1070744.0,1348828.0,1436392.0
120,845716.0,1070756.0,1348832.0,1436392.0
121,845720.0,1070760.0,1348832.0,1436400.0
122,845720.0,1070752.0,1348832.0,1436400.0
123,845728.0,1070756.0,1348832.0,1436408.0
124,845732.0,1070756.0,1348836.0,1436408.0
125,845752.0,1070772.0,1348836.0,1436416.0
126,845744.0,1070780.0,1348840.0,1436420.0
127,845744.0,1070788.0,1348844.0,1436424.0
128,845744.0,1070784.0,1348860.0,1436424.0
129,845748.0,1070704.0,1348860.0,1436424.0
130,845756.0,1070712.0,1348864.0,1436428.0
131,845764.0,1070792.0,1348868.0,1436436.0
132,845772.0,1070796.0,1348876.0,1436440.0
133,845772.0,1070796.0,1348876.0,1436436.0
134,845768.0,1070800.0,1348884.0,1436436.0
135,845768.0,1070804.0,1348888.0,1436448.0
136,845784.0,1070812.0,1348892.0,1436456.0
137,845784.0,1070820.0,1348896.0,1436488.0
138,845788.0,1070828.0,1348896.0,1436488.0
139,845788.0,1070828.0,1348892.0,1436492.0
140,845800.0,1070836.0,1348892.0,1436496.0
141,845792.0,1070844.0,1348904.0,1436500.0
142,845796.0,1070844.0,1348908.0,1436500.0
143,845796.0,1070860.0,1348908.0,1436512.0
144,845796.0,1070860.0,1348908.0,1436512.0
145,845800.0,1070880.0,1348908.0,1436520.0
146,845820.0,1070888.0,1348940.0,1436528.0
147,845824.0,1070896.0,1348948.0,1436528.0
148,845828.0,1070904.0,1348952.0,1436528.0
149,845820.0,1070908.0,1348964.0,1436528.0
150,845820.0,1070916.0,1348972.0,1436536.0
151,845824.0,1070924.0,1348972.0,1436540.0
152,845836.0,1070932.0,1348972.0,1436544.0
153,845844.0,1070936.0,1348972.0,1436544.0
154,845840.0,1070936.0,1348976.0,1436572.0
155,845860.0,1070936.0,1348972.0,1436568.0
156,845860.0,1070940.0,1348972.0,1436568.0
157,845860.0,1070940.0,1348980.0,1436580.0
158,845860.0,1070944.0,1348984.0,1436580.0
159,845860.0,1070932.0,1348988.0,1436592.0
160,845824.0,1070932.0,1348988.0,1436592.0
161,845832.0,1070948.0,1348996.0,1436604.0
162,845868.0,1070952.0,1348996.0,1436604.0
163,845876.0,1070956.0,1349004.0,1436600.0
164,845880.0,1070956.0,1349004.0,1436600.0
165,845884.0,1070956.0,1349008.0,1436600.0
166,845884.0,1070976.0,1349008.0,1436612.0
167,845880.0,1070980.0,1349008.0,1436612.0
168,845880.0,1070976.0,1349036.0,1436616.0
169,845884.0,1070980.0,1349056.0,1436620.0
170,845900.0,1070992.0,1349056.0,1436624.0
171,845912.0,1070984.0,1349056.0,1436640.0
172,845904.0,1070996.0,1349060.0,1436636.0
173,845904.0,1071008.0,1349064.0,1436636.0
174,845904.0,1071016.0,1349064.0,1436636.0
175,845904.0,1071024.0,1349056.0,1436636.0
176,845908.0,1071024.0,1349056.0,1436644.0
177,845912.0,1071024.0,1349064.0,1436656.0
178,845932.0,1071032.0,1349064.0,1436656.0
179,845940.0,1071040.0,1349088.0,1436656.0
180,845940.0,1071048.0,1349084.0,1436660.0
181,845936.0,1071064.0,1349092.0,1436664.0
182,845940.0,1071068.0,1349088.0,1436668.0
183,845936.0,1071064.0,1349096.0,1436668.0
184,845936.0,1071068.0,1349092.0,1436660.0
185,845956.0,1071080.0,1349092.0,1436668.0
186,845956.0,1071088.0,1349096.0,1436668.0
187,845956.0,1071100.0,1349096.0,1436672.0
188,845956.0,1071096.0,1349096.0,1436680.0
189,845956.0,1071096.0,1349112.0,1436676.0
190,845968.0,1071104.0,1349112.0,1436680.0
191,845976.0,1071112.0,1349112.0,1436684.0
192,845980.0,1071116.0,1349104.0,1436688.0
193,845980.0,1071120.0,1349124.0,1436688.0
194,845980.0,1071128.0,1349124.0,1436688.0
195,845980.0,1071136.0,1349124.0,1436692.0
196,845984.0,1071148.0,1349132.0,1436692.0
197,845984.0,1071144.0,1349144.0,1436692.0
