kbmemused,client01,client02,client03,client04
0,31660952.0,29355572.0,38776012.0,29935760.0
1,31728000.0,29382092.0,38795204.0,29966128.0
2,31767124.0,29401192.0,38812044.0,29974308.0
3,31772972.0,29433256.0,38823960.0,29945312.0
4,31743860.0,29438416.0,38827652.0,29950344.0
5,31743160.0,29441868.0,38829948.0,29952976.0
6,31742472.0,29446708.0,38831936.0,29954568.0
7,31740792.0,29448908.0,38832396.0,29957168.0
8,31738352.0,29448708.0,38833060.0,29959788.0
9,31770424.0,29453592.0,38833300.0,29970552.0
10,31774664.0,29449048.0,38836192.0,29973028.0
11,31776748.0,29448668.0,38843080.0,29976680.0
12,31762716.0,29449720.0,38844536.0,29978008.0
13,31777508.0,29448896.0,38844140.0,29987236.0
14,31756400.0,29450924.0,38843404.0,29987932.0
15,31745032.0,29447068.0,38843332.0,29988500.0
16,31742796.0,29448720.0,38841768.0,29987828.0
17,31741024.0,29447952.0,38841440.0,29988660.0
18,31738732.0,29448464.0,38841196.0,29988992.0
19,31735944.0,29444804.0,38841412.0,29988372.0
20,31764468.0,29444708.0,38841936.0,29988200.0
21,31769932.0,29444284.0,38840400.0,29988816.0
22,31772276.0,29443876.0,38841544.0,29989364.0
23,31737296.0,29443972.0,38841864.0,29978112.0
24,31734168.0,29443456.0,38841716.0,29978020.0
25,31734592.0,29443556.0,38843124.0,29980040.0
26,31734136.0,29445772.0,38842740.0,29981668.0
27,31733824.0,29452968.0,38853992.0,29994396.0
28,31768880.0,29453228.0,38861892.0,29999736.0
29,31788860.0,29458576.0,38863044.0,29996844.0
30,31752272.0,29458388.0,38862544.0,29998720.0
31,31751640.0,29457972.0,38862480.0,30000040.0
32,31751512.0,29458132.0,38864272.0,30000620.0
33,31748672.0,29457372.0,38864148.0,30003116.0
34,31748124.0,29457720.0,38863636.0,30006116.0
35,31778400.0,29457676.0,38862612.0,30011044.0
36,31787924.0,29457108.0,38863348.0,30012196.0
37,31779780.0,29456828.0,38863380.0,30012908.0
38,31756060.0,29457100.0,38862048.0,30014088.0
39,31753932.0,29457232.0,38859508.0,30014168.0
40,31748268.0,29457668.0,38857416.0,30011552.0
41,31746584.0,29457400.0,38857976.0,30010380.0
42,31745512.0,29457528.0,38856012.0,30010804.0
43,31778444.0,29458436.0,38854624.0,30023300.0
44,31780508.0,29458292.0,38854144.0,30023912.0
45,31773104.0,29458276.0,38853504.0,30024120.0
46,31745664.0,29458980.0,38853284.0,30024076.0
47,31745128.0,29459156.0,38853628.0,30023828.0
48,31745620.0,29459464.0,38853048.0,30023448.0
49,31744184.0,29460000.0,38852336.0,30023840.0
50,31744180.0,29460144.0,38851960.0,30024016.0
51,31778932.0,29460624.0,38852260.0,30026004.0
52,31753576.0,29460616.0,38852772.0,30025808.0
53,31744252.0,29460524.0,38852220.0,30016880.0
54,31742300.0,29460328.0,38851516.0,30016800.0
55,31741808.0,29460640.0,38847628.0,30018444.0
56,31740244.0,29450828.0,38848180.0,30021264.0
57,31739820.0,29450452.0,38850332.0,30021628.0
58,31775844.0,29450336.0,38850812.0,30023824.0
59,31757300.0,29450736.0,38851440.0,30025260.0
60,31747352.0,29450492.0,38851092.0,30025112.0
61,31748668.0,29450072.0,38827844.0,30025784.0
62,31748100.0,29449932.0,38825200.0,30027136.0
63,31747352.0,29450056.0,38827984.0,30027936.0
64,31745704.0,29449608.0,38829396.0,30028720.0
65,31778676.0,29450372.0,38831868.0,30028956.0
66,31785452.0,29450560.0,38832772.0,30029208.0
67,31746904.0,29450392.0,38833308.0,30029020.0
68,31747284.0,29450108.0,38833116.0,30028728.0
69,31746868.0,29449580.0,38833448.0,30029012.0
70,31745136.0,29449936.0,38833996.0,30029856.0
71,31745608.0,29450392.0,38836052.0,30029908.0
72,31782924.0,29450716.0,38838832.0,30031996.0
73,31783236.0,29451036.0,38839392.0,30032472.0
74,31765324.0,29451216.0,38839556.0,30033032.0
75,31752220.0,29452056.0,38839204.0,30033440.0
76,31748152.0,29452300.0,38839528.0,30032696.0
77,31747024.0,29451980.0,38837732.0,30033188.0
78,31746336.0,29452904.0,38837636.0,30033616.0
79,31745440.0,29452340.0,38838216.0,30034572.0
80,31768896.0,29452228.0,38839892.0,30037280.0
81,31776868.0,29452592.0,38822400.0,30037464.0
82,31763636.0,29453968.0,38822852.0,30038912.0
83,31752976.0,29452924.0,38824464.0,30020004.0
84,31750828.0,29452824.0,38824868.0,30023228.0
85,31750948.0,29453400.0,38826412.0,30023860.0
86,31748624.0,29453524.0,38825556.0,30025780.0
87,31747700.0,29453920.0,38828048.0,30028604.0
88,31790300.0,29453680.0,38828728.0,30029180.0
89,31752636.0,29454036.0,38829060.0,30030496.0
90,31751216.0,29454356.0,38830264.0,30030676.0
91,31750428.0,29454024.0,38833840.0,30031532.0
92,31749492.0,29453868.0,38834180.0,30029736.0
93,31747992.0,29454864.0,38834248.0,30030812.0
94,31771928.0,29454412.0,38835048.0,30031912.0
95,31789092.0,29455116.0,38837608.0,30033672.0
96,31776280.0,29455108.0,38837468.0,30033820.0
97,31754108.0,29454928.0,38838052.0,30033720.0
98,31753132.0,29453804.0,38823616.0,30034696.0
99,31751824.0,29454916.0,38824220.0,30034196.0
100,31752420.0,29454308.0,38826392.0,30033972.0
101,31751608.0,29455132.0,38832344.0,30034404.0
102,31781976.0,29454748.0,38833116.0,30038804.0
103,31786912.0,29455344.0,38837208.0,30018692.0
104,31789668.0,29454696.0,38838916.0,30020172.0
105,31758312.0,29454060.0,38840284.0,30021124.0
106,31752540.0,29453380.0,38840868.0,30022964.0
107,31752716.0,29454440.0,38841904.0,30025180.0
108,31751500.0,29453756.0,38842380.0,30025268.0
109,31750868.0,29461136.0,38843488.0,30027020.0
110,31786520.0,29459688.0,38847412.0,30031112.0
111,31781348.0,29458496.0,38857208.0,30031872.0
112,31758084.0,29457756.0,38856952.0,30032680.0
113,31756808.0,29456488.0,38858244.0,30026916.0
114,31756716.0,29456024.0,38858644.0,30028728.0
115,31754408.0,29455288.0,38859412.0,30029140.0
116,31754444.0,29454748.0,38859856.0,30030164.0
117,31786960.0,29453792.0,38860324.0,30033112.0
118,31784960.0,29453460.0,38862160.0,30033280.0
119,31789316.0,29456208.0,38862284.0,30035420.0
120,31755144.0,29454672.0,38860592.0,30036248.0
121,31754224.0,29454780.0,38875112.0,30037932.0
122,31754384.0,29454676.0,38874840.0,30037452.0
123,31753564.0,29454260.0,38875796.0,30043960.0
124,31752192.0,29453768.0,38878264.0,30045588.0
125,31789360.0,29453616.0,38879644.0,30049360.0
126,31775856.0,29453192.0,38879812.0,30050436.0
127,31755316.0,29453476.0,38880472.0,30051960.0
128,31755132.0,29453220.0,38880328.0,30052432.0
129,31755392.0,29431876.0,38880164.0,30053076.0
130,31754352.0,29425000.0,38880188.0,30052932.0
131,31753484.0,29426208.0,38865432.0,30054424.0
132,31788644.0,29427232.0,38869132.0,30056024.0
133,31794344.0,29428300.0,38871040.0,30065648.0
134,31765560.0,29429076.0,38872472.0,30065300.0
135,31759360.0,29429504.0,38873636.0,30065576.0
136,31758668.0,29431272.0,38873032.0,30066712.0
137,31756392.0,29431728.0,38873500.0,30066744.0
138,31755456.0,29432348.0,38872940.0,30065988.0
139,31777892.0,29440800.0,38875288.0,30067616.0
140,31790428.0,29441640.0,38876152.0,30068556.0
141,31758372.0,29442104.0,38870948.0,30068504.0
142,31756504.0,29442900.0,38872588.0,30068804.0
143,31755620.0,29442040.0,38873912.0,30063180.0
144,31753472.0,29443064.0,38874616.0,30063220.0
145,31752188.0,29442976.0,38876208.0,30066420.0
146,31785680.0,29442964.0,38877740.0,30067908.0
147,31785836.0,29443408.0,38879488.0,30069048.0
148,31787428.0,29444240.0,38880092.0,30069416.0
149,31752664.0,29454592.0,38880512.0,30069496.0
150,31752740.0,29454176.0,38881036.0,30070420.0
151,31752636.0,29454564.0,38882672.0,30071064.0
152,31750880.0,29455472.0,38882608.0,30071696.0
153,31750204.0,29454916.0,38883228.0,30078556.0
154,31778492.0,29454720.0,38886524.0,30083056.0
155,31786620.0,29454856.0,38887700.0,30084560.0
156,31751936.0,29454812.0,38887364.0,30085484.0
157,31750384.0,29454804.0,38887668.0,30085644.0
158,31750436.0,29455200.0,38887892.0,30087044.0
159,31748344.0,29465088.0,38887892.0,30086724.0
160,31748568.0,29465400.0,38888148.0,30086868.0
161,31767228.0,29465184.0,38889556.0,30088688.0
162,31779012.0,29464556.0,38890772.0,30089296.0
163,31782352.0,29463788.0,38892852.0,30087560.0
