%memused,client01,client02,client03,client04
0,24.0,50.95,58.87,45.45
1,24.05,51.0,58.89,45.49
2,24.08,51.03,58.92,45.5
3,24.08,51.09,58.94,45.46
4,24.06,51.09,58.94,45.47
5,24.06,51.1,58.95,45.47
6,24.06,51.11,58.95,45.47
7,24.06,51.11,58.95,45.48
8,24.06,51.11,58.95,45.48
9,24.08,51.12,58.95,45.5
10,24.08,51.11,58.96,45.5
11,24.09,51.11,58.97,45.51
12,24.07,51.11,58.97,45.51
13,24.09,51.11,58.97,45.52
14,24.07,51.12,58.97,45.52
15,24.06,51.11,58.97,45.53
16,24.06,51.11,58.97,45.52
17,24.06,51.11,58.97,45.53
18,24.06,51.11,58.96,45.53
19,24.05,51.11,58.97,45.53
20,24.08,51.11,58.97,45.53
21,24.08,51.11,58.96,45.53
22,24.08,51.1,58.97,45.53
23,24.06,51.1,58.97,45.51
24,24.05,51.1,58.97,45.51
25,24.05,51.1,58.97,45.51
26,24.05,51.11,58.97,45.52
27,24.05,51.12,58.98,45.53
28,24.08,51.12,59.0,45.54
29,24.09,51.13,59.0,45.54
30,24.07,51.13,59.0,45.54
31,24.07,51.13,59.0,45.54
32,24.07,51.13,59.0,45.54
33,24.06,51.13,59.0,45.55
34,24.06,51.13,59.0,45.55
35,24.09,51.13,59.0,45.56
36,24.09,51.13,59.0,45.56
37,24.09,51.13,59.0,45.56
38,24.07,51.13,59.0,45.56
39,24.07,51.13,58.99,45.56
40,24.06,51.13,58.99,45.56
41,24.06,51.13,58.99,45.56
42,24.06,51.13,58.99,45.56
43,24.09,51.13,58.99,45.58
44,24.09,51.13,58.98,45.58
45,24.08,51.13,58.98,45.58
46,24.06,51.13,58.98,45.58
47,24.06,51.13,58.98,45.58
48,24.06,51.13,58.98,45.58
49,24.06,51.13,58.98,45.58
50,24.06,51.13,58.98,45.58
51,24.09,51.13,58.98,45.58
52,24.07,51.13,58.98,45.58
53,24.06,51.13,58.98,45.57
54,24.06,51.13,58.98,45.57
55,24.06,51.13,58.97,45.57
56,24.06,51.12,58.98,45.58
57,24.06,51.12,58.98,45.58
58,24.08,51.12,58.98,45.58
59,24.07,51.12,58.98,45.58
60,24.06,51.12,58.98,45.58
61,24.06,51.12,58.94,45.58
62,24.06,51.11,58.94,45.58
63,24.06,51.12,58.94,45.59
64,24.06,51.11,58.95,45.59
65,24.09,51.12,58.95,45.59
66,24.09,51.12,58.95,45.59
67,24.06,51.12,58.95,45.59
68,24.06,51.12,58.95,45.59
69,24.06,51.11,58.95,45.59
70,24.06,51.11,58.95,45.59
71,24.06,51.12,58.96,45.59
72,24.09,51.12,58.96,45.59
73,24.09,51.12,58.96,45.59
74,24.08,51.12,58.96,45.59
75,24.07,51.12,58.96,45.59
76,24.06,51.12,58.96,45.59
77,24.06,51.12,58.96,45.59
78,24.06,51.12,58.96,45.59
79,24.06,51.12,58.96,45.6
80,24.08,51.12,58.96,45.6
81,24.09,51.12,58.94,45.6
82,24.08,51.12,58.94,45.6
83,24.07,51.12,58.94,45.57
84,24.07,51.12,58.94,45.58
85,24.07,51.12,58.94,45.58
86,24.06,51.12,58.94,45.58
87,24.06,51.12,58.94,45.59
88,24.1,51.12,58.95,45.59
89,24.07,51.12,58.95,45.59
90,24.07,51.12,58.95,45.59
91,24.07,51.12,58.95,45.59
92,24.06,51.12,58.95,45.59
93,24.06,51.12,58.95,45.59
94,24.08,51.12,58.96,45.59
95,24.09,51.12,58.96,45.59
96,24.09,51.12,58.96,45.59
97,24.07,51.12,58.96,45.59
98,24.07,51.12,58.94,45.6
99,24.07,51.12,58.94,45.59
100,24.07,51.12,58.94,45.59
101,24.07,51.12,58.95,45.6
102,24.09,51.12,58.95,45.6
103,24.09,51.12,58.96,45.57
104,24.1,51.12,58.96,45.57
