rxkB/s,client01,client02,client03,client04
0,23195.7,18592.3,10770.2,3599.53
1,4534.14,5967.18,2726.7,2499.13
2,3868.02,4972.5,4567.77,1636.88
3,3572.4,4557.37,4768.94,1333.46
4,3153.55,2374.81,3837.08,1717.44
5,2135.87,2424.57,1786.03,1721.89
6,1782.6,1908.04,2295.7,1666.21
7,1759.41,1913.93,2408.24,1733.1
8,1649.81,1767.99,1944.93,1583.25
9,2011.98,1875.93,1537.97,1596.42
10,1735.57,1557.55,155.65,1090.5
11,689.24,402.92,538.28,687.66
12,498.6,974.82,273.34,464.38
13,503.57,58.12,32.67,33.91
14,415.76,257.04,9.59,16.55
15,16.57,10.04,10.42,9.32
16,8.15,9.09,838.72,8.99
17,15.19,671.5,964.15,753.15
18,1199.79,934.34,217.5,900.38
19,114.02,128.09,46.95,129.79
20,384.72,59.3,865.96,282.14
21,929.73,587.74,147.82,454.01
22,201.52,255.59,438.17,137.84
23,389.35,338.36,218.58,248.93
24,259.97,219.53,623.85,256.55
25,566.08,558.76,893.76,504.51
26,697.65,801.32,278.58,853.63
27,305.22,207.42,7.61,150.24
28,171.49,7.79,1050.34,292.51
29,875.12,1042.51,498.54,775.64
30,910.6,424.05,145.75,433.19
31,81.1,122.21,551.49,120.98
32,306.82,421.2,788.74,580.1
33,862.18,979.87,12.03,1021.19
34,213.19,19.98,56.35,18.29
35,249.2,20.96,326.46,294.9
36,494.37,263.57,928.82,166.45
37,778.2,1046.81,134.56,1028.09
38,352.97,237.92,955.01,141.08
39,630.47,952.22,97.15,962.0
40,347.28,104.15,87.86,102.15
41,150.08,53.87,522.84,120.67
42,222.37,319.38,1441.56,410.61
43,1188.57,1145.05,829.08,1537.54
44,1395.97,1294.52,435.03,1558.78
45,974.2,660.75,551.32,523.38
46,296.52,489.14,930.35,485.63
47,715.48,979.38,8.89,1161.79
48,189.95,10.57,707.44,11.06
49,306.96,773.36,1384.53,723.27
50,1325.81,1505.35,623.52,766.26
51,1311.03,453.29,101.21,991.34
52,553.05,295.88,255.16,7.91
53,14.47,130.37,332.27,236.95
54,290.97,335.13,1291.13,305.23
55,985.28,1114.14,1245.61,1170.84
56,1108.91,1062.03,540.39,1013.71
57,1085.33,657.86,1424.79,562.43
