txkB/s,client01,client02,client03,client04
0,15101.3,12842.7,9191.92,12827.9
1,13258.1,11253.6,6452.89,10274.5
2,12714.8,11814.3,7601.26,7420.67
3,13803.0,15119.6,9636.22,6461.09
4,10718.5,10630.1,10185.5,7819.44
5,10116.6,10811.7,7953.23,8678.54
6,9454.49,9685.53,8583.53,8616.49
7,9878.19,10599.1,10190.5,8737.33
8,8982.6,9864.01,9450.4,8008.12
9,10520.4,10501.6,7323.56,6678.41
10,8438.5,8940.51,358.32,5692.77
11,1984.95,1423.77,2635.06,1908.3
12,1294.42,2226.73,277.44,1256.46
13,1112.66,53.33,81.71,39.14
14,587.37,305.96,51.83,65.1
15,17.79,53.02,35.23,51.42
16,10.26,33.5,4560.5,34.03
17,55.15,4045.48,4862.25,4069.14
18,6787.18,5196.99,1158.72,4655.6
19,537.71,775.8,168.27,679.22
20,1177.69,283.2,3665.54,292.29
21,3879.61,3329.66,402.05,2155.07
22,350.19,438.71,2246.16,720.11
23,1313.48,1688.63,1082.53,1404.3
24,1445.19,1288.14,3129.54,1318.88
25,3358.71,3179.56,4725.39,2609.67
26,3985.56,4642.15,1327.49,4520.82
27,1619.45,1073.8,9.21,716.25
28,279.66,9.61,4256.51,294.82
29,2609.21,4913.71,2533.64,4158.65
30,4332.21,2165.73,744.02,2233.47
31,473.47,672.64,2991.96,621.58
32,1796.27,2427.3,4019.86,3170.48
33,4996.97,5700.3,23.91,5298.28
34,1059.04,33.35,88.31,30.88
35,505.25,91.06,862.27,296.19
36,1043.14,1020.99,4533.66,863.43
37,3318.59,5154.35,607.25,5451.42
38,1691.62,1336.43,4929.49,639.96
39,3626.65,5426.27,402.5,4988.27
40,1897.71,481.34,440.0,469.51
41,828.71,291.52,2809.83,640.59
42,1211.78,1860.74,7030.34,2208.86
43,5298.32,6725.7,3236.41,6840.98
44,6791.93,7145.75,2195.3,8248.44
45,4648.8,2756.71,2868.96,2640.85
46,1280.35,2795.79,4983.3,2544.3
47,4093.39,5623.7,20.48,6127.15
48,1039.26,11.0,3761.94,21.81
49,1693.75,4524.09,7292.29,3723.4
50,7720.71,8757.11,2404.58,3160.43
