%iowait,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,66.34,98.0,97.98,98.99,98.0,98.0,99.0,98.02,98.99,97.06,97.98,98.99,97.98,100.0,100.0,97.0,99.0,98.41,97.37,96.55,98.99,97.06,98.44,98.02,100.0,100.0,98.04,98.02,98.02,74.0,99.0,98.99,98.0,100.0,98.02,97.3,97.22,97.22,98.99,99.0,58.82,98.0,98.99,98.02,98.65,96.77,61.0,100.0,97.83,98.99,98.0,98.99,98.0,99.0,82.35,98.99,98.02,99.0,99.0,98.02,98.99,98.99,100.0,98.99,98.02,98.02,99.0,96.12,97.03,92.0,100.0,100.0,98.02,73.0,99.0,99.0,70.71,98.99,97.03,97.03,100.0,98.99,96.04,97.03,97.03,97.03,98.0,98.0,98.0,98.99,91.09,92.93,82.83,85.86,87.88,90.82,78.0,79.0,98.99,80.61,77.0,76.0,77.78,79.0,78.79,78.0,80.81,76.24,83.0,85.86,83.0,97.03,96.81,95.0,98.86,96.12,75.51,98.98,98.99,97.3,95.0,98.99,98.99,100.0,98.94,98.0,98.0,100.0,98.02,98.99,97.06,24.32,96.67,48.89,72.84,96.84,90.1,97.73,98.99,97.96
1,97.03,99.0,97.06,99.0,97.06,99.01,99.0,99.0,100.0,100.0,98.0,98.0,98.0,97.06,98.99,100.0,97.85,94.74,97.73,94.9,100.0,94.44,99.0,98.02,99.0,99.0,100.0,98.0,100.0,97.22,100.0,99.01,98.02,98.02,100.0,100.0,100.0,98.0,96.94,97.37,97.94,99.0,99.0,97.22,99.0,100.0,99.0,97.94,98.41,94.44,97.14,98.99,98.99,98.99,98.02,99.01,99.0,100.0,98.99,100.0,98.0,100.0,99.0,99.0,100.0,100.0,100.0,98.99,100.0,99.0,99.0,99.0,99.0,99.0,99.0,97.06,100.0,100.0,97.03,98.0,98.0,98.99,97.03,98.99,97.98,98.99,97.98,98.99,98.98,98.0,98.99,98.99,98.99,98.99,98.0,98.02,97.98,100.0,98.99,98.99,98.0,97.0,98.99,98.0,98.99,98.99,97.98,97.03,98.99,98.0,96.04,97.98,96.81,98.85,98.99,98.0,96.04,97.03,98.0,96.74,97.03,98.0,98.0,98.0,98.02,98.0,98.99,98.0,98.99,98.99,100.0,98.0,97.98,98.92,100.0,97.03,97.03,97.0,97.98,97.0
2,99.0,98.02,100.0,97.06,98.99,98.0,99.0,99.0,100.0,98.0,97.03,98.99,99.0,100.0,98.99,98.99,98.98,98.02,98.98,98.99,98.0,98.0,98.0,100.0,97.06,98.0,98.0,98.99,99.0,97.98,99.0,100.0,98.99,100.0,100.0,99.0,98.02,100.0,100.0,98.0,100.0,98.99,99.0,98.02,96.04,98.0,98.99,98.99,98.0,98.0,98.0,98.99,98.99,100.0,99.0,100.0,100.0,99.0,100.0,99.0,100.0,98.99,99.0,99.0,98.99,99.0,98.99,97.06,100.0,100.0,99.0,99.0,100.0,98.02,99.0,100.0,96.08,98.02,99.0,97.03,99.0,98.99,100.0,98.0,98.0,98.0,98.99,97.0,97.03,98.0,97.98,99.0,99.0,98.99,98.02,98.99,98.0,98.99,98.02,98.02,100.0,100.0,98.0,97.03,98.0,99.0,98.99,98.99,96.08,98.99,99.0,97.98,96.04,98.98,96.97,100.0,96.04,99.0,96.0,97.0,98.0,97.03,98.0,98.0,97.98,96.0,98.0,98.99,98.0,98.0,97.96,96.0,98.99,98.99,98.0,98.0,98.99,98.99,98.99,98.99
3,99.0,98.02,98.04,99.0,99.01,97.09,100.0,100.0,99.0,98.99,98.99,97.98,98.98,97.0,98.0,98.0,98.0,98.02,97.03,98.02,99.01,99.0,98.0,98.99,98.99,100.0,98.0,98.0,98.99,98.99,97.98,99.01,98.99,100.0,98.0,99.0,98.99,98.99,97.98,98.0,98.0,61.76,99.0,98.98,98.99,99.0,98.99,100.0,99.0,100.0,98.99,87.91,86.02,97.03,98.99,99.01,100.0,99.0,99.0,98.99,99.0,98.02,100.0,98.02,99.0,100.0,99.01,97.06,100.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.99,98.0,95.15,100.0,98.0,100.0,98.0,99.0,98.02,97.98,98.0,97.03,97.0,100.0,97.0,98.98,98.99,97.03,100.0,97.03,98.0,97.03,100.0,98.99,97.03,98.99,97.03,98.0,98.0,98.99,98.99,98.0,97.98,98.99,98.98,96.0,97.0,98.0,97.03,98.0,98.99,97.98,98.0,98.99,97.03,98.98,97.98,97.98,97.0,98.0,96.94,98.02,98.99,98.0,97.03,97.0,97.03,98.0,98.99,97.03,97.98,97.03,98.0,97.03
4,97.03,99.0,96.08,100.0,99.0,98.99,100.0,100.0,99.0,98.02,97.0,96.04,97.96,98.0,98.98,97.0,98.0,98.99,100.0,97.03,100.0,98.0,97.03,99.0,98.0,98.0,98.99,98.0,98.99,97.03,97.03,99.0,98.02,97.06,99.0,98.0,98.0,98.02,98.99,98.99,98.02,94.06,100.0,97.03,98.0,98.99,98.0,98.99,99.0,98.0,97.03,65.0,0.0,100.0,98.0,98.99,98.02,100.0,98.02,99.0,99.0,98.02,99.0,99.0,99.0,98.04,98.99,98.02,98.02,99.0,98.02,99.0,98.99,100.0,99.0,99.0,100.0,97.0,97.0,97.03,97.0,96.08,98.0,98.0,97.98,98.99,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.02,97.03,97.98,97.0,97.03,97.03,98.99,98.99,98.99,100.0,98.0,98.0,98.99,99.0,98.0,97.03,76.92,98.0,97.03,96.12,96.08,95.1,98.0,98.0,98.0,97.98,95.51,97.7,98.0,97.03,97.62,96.55,98.0,98.0,96.74,97.85,97.98,98.99,98.99,98.0,98.99,97.98,97.03,97.0,97.0
5,99.0,97.03,99.0,100.0,99.0,98.04,98.02,98.02,98.02,100.0,98.99,86.96,98.0,89.06,98.99,97.98,96.97,98.99,97.03,98.0,99.01,99.0,97.03,71.43,98.0,98.0,98.99,56.94,64.06,100.0,98.99,99.0,100.0,98.99,99.0,100.0,100.0,98.0,98.0,98.02,98.99,100.0,99.01,100.0,99.0,96.08,98.02,100.0,98.0,98.99,98.0,99.0,98.0,98.02,97.03,100.0,99.0,100.0,100.0,99.01,100.0,99.0,99.0,99.0,100.0,100.0,99.0,98.02,100.0,99.0,100.0,100.0,100.0,98.99,99.0,100.0,98.0,97.0,98.99,97.98,98.0,97.98,98.99,97.03,98.99,98.99,98.0,97.0,98.98,97.03,100.0,100.0,98.0,97.03,98.0,98.99,97.03,98.0,98.0,97.0,97.0,97.98,98.0,97.03,98.0,98.0,98.99,98.0,97.0,98.99,100.0,86.02,97.98,98.99,97.0,79.8,98.0,94.32,92.31,98.99,98.0,74.12,72.94,98.0,97.98,63.38,75.51,96.55,97.8,73.12,9.52,97.98,97.03,98.0,97.0,98.99,97.03,98.99,98.99,98.0
6,98.02,100.0,100.0,99.0,98.02,98.99,99.0,97.06,98.02,100.0,97.98,71.72,74.24,77.23,98.0,33.33,97.03,97.03,98.99,98.0,99.0,97.06,98.02,69.33,98.0,98.99,48.98,0.0,0.0,99.0,98.0,100.0,69.89,73.03,61.19,63.64,73.33,72.53,97.98,98.99,97.98,73.0,100.0,98.99,90.48,63.24,98.99,98.02,97.03,97.03,100.0,97.98,73.49,99.0,87.78,99.0,99.0,98.99,99.0,100.0,100.0,100.0,98.0,99.0,99.0,100.0,100.0,97.03,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,96.97,96.08,98.0,98.99,98.99,97.06,98.0,97.98,97.0,98.0,98.0,98.0,97.0,97.98,97.03,98.0,98.0,98.0,98.0,98.0,97.98,98.0,99.0,98.99,96.04,98.02,97.03,98.98,98.99,98.99,98.0,98.99,98.99,98.0,98.0,97.83,98.0,98.99,95.96,90.67,93.83,0.0,0.0,98.0,97.03,98.02,99.0,98.98,97.98,99.0,74.51,72.73,71.43,85.86,93.94,97.0,97.03,98.0,98.99,97.0,97.0,97.98,40.0,97.03
7,98.99,75.0,75.0,85.0,85.71,74.26,75.76,72.45,74.49,78.22,52.17,74.0,88.0,74.0,82.14,78.0,55.17,75.93,61.19,82.35,78.0,67.24,59.15,98.0,78.18,80.0,77.27,98.99,93.94,74.55,62.12,79.0,98.99,99.0,98.98,97.0,98.02,98.0,56.32,69.35,98.0,86.67,85.0,75.0,78.35,87.64,98.99,64.18,70.0,61.76,67.21,37.84,95.05,98.99,0.0,98.0,99.0,99.01,99.0,98.02,97.03,96.04,97.03,100.0,98.0,99.0,97.03,98.0,95.1,99.0,98.0,100.0,99.0,100.0,98.02,98.02,96.08,73.47,71.72,74.75,74.0,89.9,89.9,90.91,90.0,97.0,96.0,97.0,97.03,75.0,98.99,96.08,98.0,97.03,99.0,98.0,100.0,97.06,75.76,97.03,100.0,98.99,98.99,98.0,98.0,98.99,98.99,100.0,98.99,98.99,98.99,84.0,80.2,94.95,64.29,100.0,76.53,85.0,68.69,97.98,94.74,84.85,84.0,87.23,87.8,85.86,98.99,74.26,78.79,90.91,77.0,94.0,16.67,96.7,97.03,35.9,15.91,95.83,65.66,92.31
8,71.15,97.06,94.12,86.0,86.0,98.02,98.0,99.0,100.0,93.0,90.1,98.99,73.0,98.0,67.35,73.0,94.44,21.43,54.84,60.38,96.0,74.47,86.84,56.9,51.92,66.22,99.0,53.23,53.97,0.0,93.94,96.94,98.02,99.0,99.0,99.0,99.0,100.0,96.74,86.36,70.49,97.87,89.9,75.56,63.37,98.99,63.24,86.08,61.63,93.18,66.67,98.91,99.0,76.0,89.11,76.77,76.77,75.76,76.77,73.74,74.0,74.0,71.72,74.0,72.28,75.51,76.0,72.73,75.76,73.0,76.77,76.0,75.76,97.03,74.26,75.51,73.47,99.0,99.0,99.0,100.0,85.0,85.86,84.85,82.0,74.26,76.24,74.75,74.75,98.99,72.73,73.74,75.25,76.0,76.77,76.77,72.73,75.76,100.0,73.74,74.49,76.0,76.0,74.26,76.77,75.76,74.26,75.0,75.0,75.76,76.77,89.9,86.81,0.0,98.7,87.13,75.0,74.26,74.75,58.33,70.24,90.82,77.78,65.85,65.31,88.89,99.0,98.99,76.0,98.0,98.99,0.0,92.31,73.47,50.0,94.94,98.99,12.9,72.0,73.74
9,98.99,99.0,100.0,100.0,100.0,98.02,99.01,100.0,97.09,98.02,72.73,99.0,97.0,100.0,73.0,90.0,99.0,98.0,97.96,93.0,100.0,93.0,98.75,85.71,95.83,100.0,51.56,96.0,95.92,92.08,97.92,99.0,74.75,73.68,75.76,76.53,74.75,75.76,97.92,99.0,70.37,98.02,99.0,98.99,98.99,64.0,86.67,97.92,97.92,98.02,98.92,99.0,98.0,99.0,75.31,99.0,100.0,99.0,99.0,98.02,99.0,100.0,99.0,99.0,100.0,98.02,99.0,99.0,98.02,99.01,98.02,98.0,99.0,74.75,100.0,99.01,99.0,97.03,98.0,98.02,98.0,98.99,98.0,98.02,98.0,97.98,98.0,97.98,97.03,75.0,98.99,97.03,97.98,98.99,97.03,98.02,98.0,98.0,74.75,98.0,98.0,98.0,98.98,98.99,98.0,98.99,100.0,98.99,98.0,98.0,98.0,99.0,98.02,85.0,98.0,87.76,100.0,98.02,99.0,98.7,97.44,97.03,97.03,98.95,74.26,98.02,98.99,99.0,98.99,99.0,98.02,91.84,98.02,76.0,70.13,98.0,97.03,91.18,98.0,72.73
10,99.0,93.94,93.0,94.95,95.96,85.0,85.0,86.73,86.87,94.85,98.99,98.0,99.0,97.98,97.98,99.0,63.64,39.39,84.69,0.0,92.93,0.0,86.0,97.03,85.0,85.86,96.0,99.0,98.99,76.53,84.16,92.93,97.8,96.74,98.89,98.89,97.8,97.8,85.0,59.57,96.0,98.0,98.02,62.38,100.0,98.89,97.96,85.15,84.16,64.29,74.0,99.0,98.99,98.0,95.96,98.99,98.0,98.99,99.0,100.0,99.0,97.06,100.0,99.0,100.0,99.0,100.0,100.0,99.0,98.0,98.99,99.0,98.02,99.0,98.02,98.0,97.06,74.26,75.76,74.75,73.27,74.75,75.0,74.75,73.74,72.73,72.73,74.75,75.51,97.0,74.26,75.0,75.0,75.76,75.76,75.76,75.0,75.76,97.06,75.76,75.76,75.0,75.0,73.0,74.0,73.74,73.74,74.0,74.0,75.51,75.76,97.03,88.89,75.76,76.24,99.0,98.0,98.99,98.02,97.03,75.0,99.0,100.0,74.75,98.99,98.99,98.99,98.0,99.0,98.99,99.0,74.75,76.0,99.0,91.0,74.0,76.0,73.74,100.0,99.0
11,93.94,79.41,81.19,79.21,77.45,87.25,89.0,88.12,88.0,82.0,99.0,98.0,98.0,97.03,99.0,98.0,99.0,98.02,0.0,98.0,81.19,98.0,0.0,99.0,0.0,0.0,99.0,97.03,98.0,98.99,89.0,82.0,97.83,97.83,98.9,98.91,97.85,97.83,51.92,100.0,85.71,99.0,76.0,98.91,98.99,97.85,85.86,77.0,0.0,97.8,69.7,98.99,99.0,77.0,98.0,76.0,77.0,75.25,76.0,76.0,76.0,75.76,74.75,75.76,75.0,73.27,74.0,74.75,75.0,75.76,75.0,76.0,75.0,100.0,77.55,76.77,73.27,98.0,98.99,98.0,98.99,98.0,97.98,98.99,98.0,98.99,98.0,98.99,97.0,99.0,98.0,97.03,96.08,98.0,98.0,98.99,97.0,98.0,98.0,98.02,97.03,98.99,98.99,98.99,98.99,98.99,98.0,98.99,97.03,97.03,98.0,100.0,84.16,99.0,98.0,98.0,99.0,99.0,98.0,73.74,100.0,100.0,98.02,100.0,99.0,99.0,99.0,98.02,98.99,96.08,100.0,98.02,98.0,100.0,83.17,98.99,98.0,98.0,98.0,100.0
12,81.0,100.0,99.0,99.0,99.0,99.0,98.99,99.0,100.0,100.0,98.99,99.0,98.98,98.99,98.0,97.03,100.0,97.03,98.02,99.0,99.01,97.09,97.98,98.0,96.04,96.0,99.0,99.0,98.0,97.03,97.78,98.04,99.0,100.0,98.0,98.02,99.0,100.0,97.73,99.0,0.0,97.98,99.0,99.0,98.99,100.0,77.0,98.89,100.0,98.91,98.99,98.99,87.14,99.0,99.0,98.02,99.0,100.0,99.0,99.0,100.0,98.02,99.0,99.0,99.0,100.0,98.02,100.0,100.0,99.0,99.0,99.0,100.0,76.0,99.0,99.0,97.03,100.0,97.03,98.99,98.02,99.0,99.0,99.0,98.0,98.02,99.0,98.99,100.0,98.0,98.99,97.03,98.0,98.0,100.0,98.99,99.0,98.02,97.03,98.99,100.0,99.0,99.0,100.0,98.99,98.02,98.99,98.99,98.99,98.99,100.0,97.03,99.0,99.0,100.0,99.0,99.0,98.0,98.0,100.0,98.99,97.0,98.0,99.0,98.0,98.98,98.99,100.0,98.0,99.0,98.02,99.0,98.02,98.99,98.02,99.0,98.0,97.03,95.15,98.02
13,99.0,98.02,100.0,99.0,100.0,99.0,100.0,99.01,100.0,99.0,99.0,98.0,98.0,98.99,98.99,98.99,100.0,98.02,97.03,98.99,100.0,98.0,98.02,98.0,99.0,99.0,98.99,98.0,100.0,98.02,100.0,100.0,98.99,98.0,98.02,98.99,98.99,98.0,99.0,98.0,97.06,100.0,99.01,99.0,97.06,97.03,97.8,100.0,99.0,98.99,99.0,98.02,62.79,98.02,98.99,99.0,99.0,99.0,99.0,100.0,99.0,100.0,98.02,100.0,99.0,99.0,100.0,99.0,99.0,100.0,100.0,100.0,99.0,100.0,99.0,100.0,100.0,97.06,100.0,98.0,98.02,99.0,100.0,98.99,99.0,98.99,98.99,97.03,98.99,98.0,98.02,99.0,99.0,99.0,98.99,98.0,98.0,98.0,98.0,97.03,98.99,98.0,98.99,98.02,99.0,98.99,98.99,99.0,99.0,98.02,98.99,98.0,97.06,98.0,100.0,98.99,98.0,98.0,98.99,98.0,98.99,99.0,98.99,98.0,98.0,98.02,98.0,97.06,99.0,98.99,98.99,98.99,97.03,99.0,98.99,98.0,99.0,98.0,98.99,98.99
14,100.0,99.0,100.0,99.0,98.02,98.02,99.0,99.0,99.0,100.0,98.0,98.0,98.99,99.0,98.99,97.98,97.06,97.06,98.99,98.02,99.0,98.02,98.0,40.0,98.99,98.02,99.0,98.99,82.61,98.0,99.0,100.0,97.03,98.99,98.99,99.0,99.0,98.0,98.99,99.0,97.98,28.99,100.0,98.0,100.0,98.99,98.9,98.99,98.0,98.0,98.99,96.61,100.0,100.0,98.99,99.01,100.0,99.0,100.0,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,98.04,99.0,99.0,99.0,100.0,99.01,99.0,100.0,98.02,97.03,97.03,97.03,98.99,100.0,98.0,98.99,98.0,98.0,98.0,98.99,99.0,98.0,98.02,100.0,98.99,98.0,98.99,100.0,99.0,100.0,98.0,98.02,98.99,98.0,98.0,98.0,98.99,98.99,98.99,98.99,97.0,100.0,97.98,100.0,98.99,98.99,98.99,98.0,98.99,98.99,97.0,96.08,99.0,100.0,97.96,98.99,100.0,98.99,98.99,89.66,100.0,96.0,96.61,98.99,99.0,97.03,98.99,99.0,98.99,98.99,98.0,96.04,98.0
15,99.01,100.0,100.0,100.0,98.02,99.0,99.0,99.0,99.0,99.0,98.0,97.85,97.03,98.0,98.0,99.0,98.99,98.0,96.97,98.99,100.0,98.0,99.0,97.14,99.0,100.0,98.99,83.33,76.24,99.0,98.0,99.0,100.0,99.0,100.0,98.0,98.0,99.0,98.99,98.0,99.0,98.04,99.0,98.0,80.85,98.02,100.0,99.0,100.0,100.0,98.0,69.0,95.77,99.0,93.75,99.0,99.0,98.04,100.0,99.01,100.0,100.0,99.01,100.0,100.0,99.0,99.0,100.0,100.0,99.0,99.0,99.0,100.0,99.0,99.01,100.0,96.08,98.99,98.99,99.0,98.0,98.0,98.0,98.99,98.0,99.0,97.98,100.0,98.99,98.99,98.0,98.02,98.0,98.0,98.0,98.99,98.02,98.0,98.99,98.99,98.02,97.03,98.99,98.0,98.0,98.0,99.0,98.99,98.0,99.0,98.99,74.75,97.03,98.99,100.0,98.02,98.0,98.99,98.99,98.99,98.99,78.38,70.73,97.03,97.03,72.29,76.77,93.33,98.99,0.0,88.24,100.0,97.03,98.0,98.0,97.03,98.02,98.0,98.0,98.99
16,99.0,98.02,100.0,100.0,100.0,98.02,99.0,99.0,100.0,98.02,98.99,75.76,98.88,26.32,98.0,98.99,98.0,87.5,98.99,97.03,98.02,95.19,98.99,99.0,98.02,100.0,82.61,79.8,98.98,98.99,98.0,99.0,83.7,82.8,81.91,100.0,98.99,82.61,98.0,97.03,97.98,100.0,99.0,99.0,78.89,81.72,98.99,98.0,98.99,98.0,99.0,96.05,98.99,100.0,47.62,99.0,99.01,99.0,99.0,98.99,100.0,98.0,99.0,99.0,98.02,100.0,100.0,100.0,99.01,99.0,100.0,100.0,99.0,98.04,99.0,99.01,98.0,99.0,98.02,98.0,99.0,98.0,98.99,99.01,99.0,98.0,98.99,97.03,97.06,98.99,99.0,100.0,99.0,99.0,99.0,98.02,100.0,100.0,98.99,98.02,98.99,97.03,98.02,98.02,98.99,98.0,98.0,99.0,99.0,98.0,98.99,96.88,97.03,97.03,97.06,75.76,30.0,53.12,69.57,98.0,97.03,86.81,98.99,99.0,98.99,95.56,100.0,74.39,90.0,95.0,76.77,98.02,100.0,100.0,97.0,98.02,98.99,97.0,92.68,98.99
17,100.0,99.0,99.0,99.0,99.0,98.04,99.0,100.0,98.99,99.0,97.83,98.02,0.0,82.0,97.03,42.86,76.53,0.0,78.95,31.15,99.0,46.34,99.0,100.0,100.0,100.0,0.0,98.99,98.99,96.25,98.99,99.01,88.24,89.0,42.11,50.0,70.65,89.0,98.99,87.21,98.99,98.0,99.0,79.38,100.0,78.65,95.15,99.0,45.61,82.29,46.51,98.02,100.0,99.01,100.0,100.0,99.0,99.0,98.02,99.01,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,98.99,99.0,100.0,99.0,99.01,100.0,99.0,100.0,99.0,98.0,98.0,98.0,98.99,98.02,99.0,98.99,98.99,98.0,98.99,99.0,98.99,89.9,100.0,98.99,98.02,98.0,98.0,98.99,97.03,98.0,98.0,98.0,98.99,98.0,97.98,97.03,98.0,98.02,98.0,97.03,100.0,98.99,98.99,98.99,97.06,99.0,82.83,97.92,96.04,83.76,74.75,98.99,98.99,97.4,100.0,98.99,57.14,98.02,99.0,98.7,75.0,98.99,97.06,98.0,95.79,96.55,97.06,98.99,97.73,100.0,25.64,95.4
18,99.0,76.0,75.25,72.28,73.74,74.75,76.77,74.26,74.51,72.82,26.32,98.98,79.21,98.99,27.78,78.79,84.0,77.53,77.0,97.0,75.0,87.36,34.43,98.0,47.5,46.34,99.0,98.0,98.0,69.0,68.67,73.27,98.0,99.0,99.0,100.0,99.0,99.0,35.94,0.0,63.16,97.85,75.76,40.0,99.0,97.92,100.0,50.0,99.0,88.0,90.1,100.0,99.0,75.76,98.99,76.77,76.53,76.0,75.0,76.53,74.51,75.76,75.76,76.77,81.0,81.0,85.15,85.0,86.73,85.71,79.41,81.82,82.0,99.0,80.81,89.0,98.99,75.0,75.0,76.53,75.0,75.76,73.0,74.75,77.0,78.0,85.0,88.0,90.82,84.16,96.04,97.98,97.98,98.0,98.99,97.03,97.96,97.98,76.0,96.04,98.99,97.03,98.0,98.99,99.0,98.0,99.0,100.0,98.02,98.02,98.99,98.02,76.53,75.76,86.02,98.99,98.99,98.99,98.99,97.03,65.08,99.0,98.0,69.05,84.0,98.99,98.0,98.0,98.99,97.03,98.99,100.0,33.33,26.32,96.1,26.92,23.81,95.59,97.0,0.0
19,75.0,98.99,98.99,98.99,97.06,98.0,97.03,98.02,100.0,99.0,83.0,99.0,98.0,98.0,80.61,98.0,98.02,96.08,99.0,100.0,98.0,98.02,98.59,98.99,76.92,55.56,98.0,99.0,98.99,98.99,97.65,99.0,99.0,99.0,98.65,96.1,99.0,99.0,100.0,81.82,98.0,98.95,99.0,100.0,99.0,99.0,48.39,95.05,99.0,100.0,98.0,98.02,77.78,99.0,98.0,98.02,98.02,98.99,99.0,99.0,98.99,98.02,98.02,95.0,92.93,93.0,87.0,87.13,85.15,89.0,93.88,92.93,92.0,78.22,95.0,85.15,74.75,97.03,100.0,98.0,98.99,98.0,98.99,97.06,96.04,95.96,87.0,85.0,84.85,98.0,76.53,77.78,76.24,77.0,76.0,77.55,76.24,76.0,98.99,74.75,76.0,74.49,73.74,76.77,75.76,75.25,76.77,73.27,76.77,77.55,74.75,98.99,99.0,98.99,96.91,96.12,98.99,98.99,98.0,24.24,94.74,99.0,98.0,98.02,98.0,98.02,98.02,98.99,100.0,97.06,97.98,23.53,80.2,84.0,28.57,91.86,81.82,0.0,99.0,98.0
20,98.02,99.0,98.02,99.0,99.0,100.0,100.0,99.0,100.0,99.0,98.99,98.0,98.02,98.0,99.0,97.06,99.0,100.0,99.0,98.92,98.04,98.02,99.0,74.75,100.0,97.06,99.0,98.0,99.0,98.0,98.99,99.0,97.89,98.94,99.01,100.0,98.99,97.92,98.0,98.02,99.0,98.99,99.0,99.0,100.0,95.56,96.97,98.99,96.0,98.0,97.98,79.59,98.0,98.02,98.02,100.0,99.0,99.01,99.0,99.0,100.0,100.0,100.0,100.0,99.01,100.0,100.0,100.0,99.0,98.02,99.01,99.01,99.01,95.96,100.0,100.0,98.02,98.0,99.0,98.99,98.99,97.03,98.99,98.99,98.99,98.02,98.99,98.99,99.0,98.0,97.0,98.99,98.99,100.0,96.08,98.0,98.99,98.99,98.0,98.99,100.0,98.0,98.0,98.99,98.99,98.99,98.0,98.0,97.98,98.98,98.99,96.08,99.0,99.0,98.02,98.99,97.06,98.99,97.03,94.44,98.92,98.0,98.02,98.02,98.98,98.0,100.0,99.0,98.02,97.03,99.0,84.16,98.0,100.0,98.92,98.0,98.99,96.94,98.99,98.99
