%sys,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,13.86,1.0,1.01,0.0,1.0,1.0,0.0,0.99,1.01,0.98,1.01,0.0,1.01,0.0,0.0,1.0,0.0,1.59,1.32,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.98,0.0,0.99,13.0,0.0,0.0,1.0,0.0,0.99,0.0,0.0,0.0,1.01,0.0,17.65,1.0,0.0,0.99,0.0,1.08,21.0,0.0,1.09,0.0,1.0,1.01,1.0,1.0,8.82,0.0,0.99,1.0,0.0,0.99,0.0,1.01,0.0,0.0,0.0,0.99,1.0,1.94,0.99,6.0,0.0,0.0,0.99,14.0,1.0,0.0,15.15,0.0,0.99,0.0,0.0,0.0,1.98,0.99,0.99,1.98,1.0,1.0,0.0,1.01,5.94,5.05,11.11,7.07,8.08,6.12,10.0,9.0,1.01,8.16,10.0,14.0,12.12,10.0,8.08,9.0,9.09,9.9,7.0,6.06,9.0,0.99,1.06,4.0,1.14,0.97,11.22,1.02,0.0,2.7,2.0,1.01,1.01,0.0,1.06,2.0,2.0,0.0,0.99,1.01,1.96,29.73,1.11,17.78,8.64,1.05,4.95,2.27,1.01,1.02
1,0.99,0.0,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.96,1.01,0.0,1.08,2.63,0.0,2.04,0.0,2.78,1.0,1.98,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.99,0.99,0.99,0.0,0.0,0.0,1.0,2.04,1.32,1.03,1.0,1.0,2.78,1.0,0.0,1.0,1.03,0.0,2.78,0.0,0.0,1.01,1.01,0.99,0.99,1.0,0.0,1.01,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.96,0.0,0.0,0.99,1.0,1.0,1.01,0.99,1.01,1.01,0.0,2.02,0.0,1.02,1.0,1.01,1.01,0.0,1.01,1.0,0.99,2.02,0.0,1.01,0.0,2.0,2.0,1.01,1.0,1.01,1.01,2.02,1.98,1.01,1.0,2.97,1.01,1.06,0.0,1.01,1.0,1.98,0.99,2.0,1.09,2.97,1.0,1.0,1.0,0.99,1.0,1.01,1.0,1.01,1.01,0.0,2.0,1.01,0.0,0.0,1.98,0.99,1.0,2.02,1.0
2,0.0,0.99,0.0,1.96,0.0,0.0,1.0,1.0,0.0,1.0,1.98,1.01,1.0,0.0,1.01,1.01,1.02,0.99,1.02,0.0,0.0,0.0,0.0,0.0,0.98,1.0,1.0,0.0,0.0,2.02,1.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0,0.0,1.01,1.0,0.99,1.98,1.0,1.01,1.01,2.0,1.0,2.0,1.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.0,1.0,1.01,0.0,0.0,0.98,0.0,0.0,0.0,1.0,0.0,1.98,1.0,0.0,1.96,0.99,1.0,0.99,0.0,0.0,0.0,1.0,1.0,1.0,1.01,1.0,1.98,2.0,1.01,1.0,1.0,1.01,0.99,1.01,0.0,1.01,1.98,0.99,0.0,0.0,1.0,1.98,1.0,0.0,1.01,1.01,0.98,1.01,1.0,2.02,1.98,1.02,1.01,0.0,1.98,1.0,1.0,1.0,0.0,1.98,2.0,1.0,0.0,3.0,1.0,1.01,1.0,2.0,2.04,0.0,1.01,1.01,1.0,1.0,1.01,1.01,1.01,1.01
3,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.01,0.0,2.02,1.02,3.0,1.0,1.0,1.0,0.99,0.99,0.0,0.99,0.0,1.0,1.01,1.01,0.0,1.0,2.0,1.01,1.01,1.01,0.99,1.01,0.0,1.0,1.0,1.01,1.01,1.01,1.0,1.0,14.71,0.0,1.02,0.0,0.0,1.01,0.0,1.0,0.0,0.0,3.3,6.45,1.98,0.0,0.99,0.0,0.0,1.0,1.01,1.0,0.0,0.0,0.99,1.0,0.0,0.99,0.98,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.97,0.0,1.0,0.0,2.0,1.0,0.99,1.01,1.0,0.99,2.0,0.0,2.0,1.02,1.01,0.99,0.0,0.99,1.0,1.98,0.0,1.01,0.99,1.01,1.98,2.0,1.0,1.01,1.01,1.0,1.01,0.0,1.02,3.0,2.0,1.0,0.99,1.0,1.01,0.0,2.0,1.01,1.98,1.02,1.01,1.01,2.0,1.0,2.04,1.98,0.0,2.0,1.98,2.0,0.99,1.0,1.01,1.98,1.01,0.99,2.0,0.99
4,0.99,1.0,1.96,0.0,1.0,1.01,0.0,0.0,0.0,0.0,2.0,2.97,2.04,1.0,1.02,1.0,1.0,1.01,0.0,0.99,0.0,1.0,0.99,1.0,2.0,1.0,1.01,1.0,0.0,0.99,0.99,0.0,0.99,0.98,0.0,1.0,1.0,0.99,1.01,1.01,0.99,2.97,0.0,1.98,1.0,1.01,2.0,0.0,1.0,1.0,1.98,17.5,50.0,0.0,2.0,1.01,0.99,0.0,0.99,1.0,1.0,1.98,1.0,1.0,0.0,0.98,1.01,0.99,0.99,1.0,0.99,1.0,1.01,0.0,0.0,1.0,0.0,1.0,1.0,1.98,0.0,0.98,1.0,1.0,1.01,1.01,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.98,0.0,1.01,2.0,1.98,0.99,1.01,1.01,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.98,7.69,0.0,1.98,0.97,1.96,1.96,1.0,1.0,1.0,2.02,3.37,2.3,1.0,1.98,1.19,1.15,2.0,1.0,2.17,1.08,2.02,1.01,1.01,0.0,1.01,2.02,0.99,3.0,3.0
5,0.0,0.99,0.0,0.0,0.0,0.0,0.99,1.98,0.99,0.0,1.01,8.7,1.0,6.25,1.01,2.02,3.03,0.0,1.98,1.0,0.99,1.0,0.0,12.5,0.0,1.0,1.01,18.06,14.06,0.0,1.01,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.99,1.01,0.0,0.99,0.0,0.0,0.98,0.99,0.0,1.0,1.01,2.0,1.0,1.0,0.99,1.98,0.0,0.0,0.0,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.02,2.0,0.0,0.0,0.99,1.01,1.01,1.0,0.0,1.02,1.98,0.0,0.0,1.0,2.97,1.0,0.0,0.99,2.0,1.0,2.0,1.0,2.02,2.0,1.98,2.0,1.0,1.01,1.0,2.0,1.01,0.0,6.45,1.01,0.0,1.0,7.07,2.0,1.14,3.85,1.01,1.0,11.76,12.94,2.0,2.02,18.31,12.24,1.15,1.1,11.83,38.1,2.02,0.99,1.0,2.0,0.0,2.97,1.01,1.01,1.0
6,0.99,0.0,0.0,1.0,0.99,1.01,0.0,0.0,0.99,0.0,1.01,15.15,7.58,11.88,1.0,40.0,1.98,1.98,1.01,2.0,0.0,0.98,0.99,13.33,2.0,1.01,16.33,66.67,50.0,0.0,1.0,0.0,12.9,10.11,16.42,13.64,8.89,12.09,2.02,1.01,2.02,11.0,0.0,0.0,2.38,17.65,1.01,0.99,1.98,1.98,0.0,2.02,9.64,1.0,3.33,1.0,1.0,1.01,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.99,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.01,1.96,1.0,1.01,0.0,1.96,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.01,2.97,2.0,1.0,1.0,1.0,2.0,2.02,1.0,0.0,1.01,1.98,0.99,0.99,1.02,1.01,1.01,1.0,1.01,1.01,1.0,1.0,2.17,1.0,0.0,2.02,6.67,2.47,35.71,66.67,1.0,0.99,0.99,0.0,0.0,1.01,0.0,9.8,11.36,14.29,4.04,4.04,3.0,0.99,2.0,0.0,2.0,1.0,1.01,40.0,1.98
7,0.0,10.0,11.0,5.0,5.1,10.89,11.11,13.27,13.27,6.93,17.39,10.0,9.0,11.0,7.14,8.0,21.84,7.41,17.91,7.84,9.0,6.9,15.49,1.0,7.27,5.45,13.64,1.01,4.04,7.27,13.64,9.0,0.0,1.0,0.0,2.0,0.99,1.0,20.69,8.06,0.0,8.89,5.0,7.14,9.28,8.99,0.0,10.45,6.67,14.71,6.56,27.03,3.96,1.01,22.22,1.0,1.0,0.99,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.0,1.98,1.0,2.94,1.0,1.0,0.0,0.0,0.0,0.99,0.99,1.96,10.2,13.13,9.09,14.0,1.01,3.03,2.02,3.0,1.0,2.0,1.0,0.99,11.0,1.01,0.98,1.0,1.98,1.0,2.0,0.0,1.96,11.11,1.98,0.0,0.0,1.01,1.0,1.0,1.01,0.0,0.0,1.01,0.0,1.01,6.0,6.93,1.01,12.86,0.0,12.24,8.0,14.14,1.01,1.75,6.06,3.0,8.51,7.32,5.05,1.01,13.86,7.07,5.05,9.0,2.0,29.17,1.1,0.99,30.77,36.36,1.39,15.15,3.85
8,11.54,0.0,0.98,8.0,8.0,0.0,0.0,0.0,0.0,4.0,5.94,1.01,10.0,0.0,16.33,9.0,2.78,32.14,25.81,15.09,3.0,14.89,7.89,13.79,21.15,10.81,0.0,20.97,17.46,41.18,4.04,2.04,0.99,0.0,0.0,1.0,1.0,0.0,2.17,7.95,9.84,1.06,6.06,11.11,12.87,1.01,13.24,8.86,15.12,2.27,17.95,0.0,1.0,10.0,6.93,9.09,11.11,8.08,11.11,14.14,13.0,13.0,14.14,13.0,10.89,13.27,10.0,14.14,14.14,12.0,9.09,11.0,11.11,0.99,9.9,9.18,14.29,0.0,0.0,1.0,0.0,8.0,8.08,8.08,10.0,12.87,12.87,11.11,14.14,0.0,13.13,11.11,6.93,10.0,9.09,10.1,11.11,8.08,0.0,11.11,9.18,11.0,10.0,11.88,10.1,11.11,11.88,12.0,10.0,12.12,9.09,5.05,8.79,25.0,0.0,2.97,10.0,12.87,9.09,15.0,10.71,4.08,15.15,17.07,17.35,7.07,0.0,0.0,7.0,2.0,0.0,36.0,2.56,15.31,35.71,1.27,1.01,29.03,9.0,11.11
9,0.0,0.0,0.0,0.0,0.0,0.99,0.99,0.0,0.97,0.99,12.12,0.0,2.0,0.0,10.0,5.0,0.0,1.0,0.0,5.0,0.0,3.0,1.25,7.14,2.08,0.0,20.31,2.0,2.04,4.95,0.0,1.0,14.14,10.53,10.1,7.14,11.11,12.12,0.0,0.0,9.88,0.0,0.0,1.01,0.0,16.0,8.89,2.08,2.08,0.99,0.0,1.0,1.0,0.0,11.11,1.0,0.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.99,1.0,1.0,0.99,0.99,0.99,0.0,0.0,14.14,0.0,0.99,0.0,1.98,2.0,0.99,1.0,0.0,1.0,0.99,2.0,1.01,2.0,1.01,1.98,13.0,1.01,0.99,1.01,0.0,0.0,1.98,1.0,1.0,12.12,1.0,1.0,0.0,1.02,1.01,1.0,0.0,0.0,1.01,1.0,2.0,1.0,0.0,0.0,10.0,1.0,5.1,0.0,0.0,0.0,1.3,0.0,1.98,1.98,0.0,11.88,0.99,1.01,1.0,0.0,1.0,0.99,6.12,0.99,11.0,15.58,1.0,0.99,6.86,1.0,13.13
