kbcommit,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,147004.0,146432.0,146460.0,146980.0,146788.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,146504.0,146452.0,146824.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,146592.0,147372.0,146624.0,146976.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146568.0,146628.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146968.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,147244.0,146640.0,146796.0,147016.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,147276.0,146960.0,146996.0,146532.0,146540.0,146488.0,147164.0,146760.0,146632.0,147000.0,147356.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,147184.0,146808.0,146864.0,146976.0,146864.0,146596.0,146468.0,146712.0,146712.0,146916.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146552.0,146592.0,146804.0,146804.0,146612.0,147372.0,147040.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
1,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,147004.0,146432.0,146460.0,146980.0,146788.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,146504.0,146452.0,146824.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,146592.0,147372.0,146624.0,146976.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146568.0,146628.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146968.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,147016.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,147164.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,146808.0,146864.0,146976.0,146864.0,146596.0,146468.0,146712.0,146712.0,146916.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146552.0,146592.0,146804.0,146804.0,146612.0,146988.0,146656.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
2,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,147004.0,146432.0,146460.0,146980.0,146788.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,146504.0,146452.0,146824.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,146592.0,147372.0,146624.0,146976.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146568.0,146628.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146584.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,147016.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,146780.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,146808.0,146480.0,146976.0,146864.0,146596.0,146468.0,146712.0,146328.0,146532.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146552.0,146592.0,146804.0,146804.0,146612.0,146988.0,146656.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
3,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146620.0,146432.0,146460.0,146980.0,146788.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,146504.0,146452.0,146824.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,151888.0,147372.0,146624.0,146592.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,153840.0,154576.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146584.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,147016.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,146780.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,146808.0,146480.0,146592.0,146864.0,146596.0,146468.0,146328.0,146328.0,146532.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146552.0,146592.0,146804.0,146804.0,146612.0,146988.0,146656.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
4,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146620.0,146432.0,146460.0,146592.0,146788.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,146504.0,146452.0,146824.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,146592.0,147372.0,146624.0,146592.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146564.0,147024.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146584.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,146632.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,146780.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,151732.0,146480.0,146592.0,146864.0,146596.0,146468.0,146328.0,146328.0,146532.0,146500.0,150804.0,159036.0,146440.0,146784.0,147248.0,147304.0,146592.0,146804.0,147548.0,149964.0,146988.0,146656.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
5,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146620.0,146432.0,147444.0,146592.0,155296.0,146992.0,146636.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,157308.0,146448.0,146424.0,146504.0,151512.0,163176.0,146596.0,146596.0,146656.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146548.0,146452.0,146592.0,147372.0,146624.0,146592.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146564.0,146624.0,146756.0,146976.0,146672.0,146636.0,146996.0,147180.0,146720.0,146584.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,146632.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,146780.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,146812.0,146480.0,146592.0,146864.0,151656.0,146468.0,150440.0,150576.0,146532.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,147344.0,147548.0,146800.0,151896.0,146988.0,146656.0,146592.0,146544.0,146556.0,146336.0,146324.0,146476.0,146504.0
6,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146620.0,146432.0,146468.0,153564.0,146792.0,146992.0,151568.0,146544.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,146592.0,146448.0,146424.0,162856.0,150568.0,151748.0,146596.0,146596.0,146656.0,146444.0,146572.0,150344.0,152264.0,146772.0,146760.0,146596.0,146548.0,146452.0,151652.0,147372.0,146624.0,147576.0,151628.0,146448.0,146592.0,146748.0,146640.0,146596.0,149920.0,151684.0,146756.0,156272.0,146672.0,146636.0,146996.0,147180.0,146720.0,146584.0,146556.0,146572.0,146688.0,146892.0,146864.0,146448.0,146616.0,146844.0,146860.0,146640.0,146796.0,146632.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146684.0,146868.0,146892.0,146960.0,146996.0,146532.0,146540.0,146488.0,146780.0,150116.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,146812.0,146480.0,146592.0,150220.0,146592.0,147448.0,168492.0,151988.0,146532.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146596.0,151044.0,163016.0,146608.0,146988.0,147640.0,146592.0,146544.0,146556.0,146336.0,146324.0,147224.0,146504.0
7,148564.0,146824.0,152000.0,162824.0,162192.0,146876.0,146644.0,146632.0,147160.0,151912.0,151496.0,146464.0,146596.0,146792.0,155496.0,146640.0,146540.0,155036.0,151776.0,152660.0,151936.0,162700.0,151816.0,146592.0,155744.0,155588.0,146504.0,146452.0,146828.0,155892.0,151656.0,151720.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,162900.0,146452.0,146592.0,163588.0,155128.0,146596.0,146568.0,146448.0,151880.0,155912.0,151700.0,156588.0,146568.0,146628.0,150112.0,163328.0,150028.0,149992.0,146996.0,147180.0,146720.0,146584.0,149912.0,149928.0,146688.0,146892.0,146864.0,149804.0,149972.0,150204.0,146860.0,149996.0,146796.0,146632.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146688.0,161036.0,161064.0,160584.0,158792.0,149888.0,171812.0,149844.0,150140.0,146760.0,146632.0,147000.0,146972.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146800.0,163024.0,162836.0,152252.0,146864.0,146592.0,146468.0,146332.0,146332.0,146532.0,150604.0,162776.0,157584.0,150684.0,147532.0,162724.0,146556.0,146596.0,146800.0,146800.0,146608.0,152280.0,151720.0,147340.0,146544.0,151616.0,146336.0,146324.0,146476.0,150612.0
8,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146624.0,146436.0,146464.0,151520.0,146792.0,146992.0,152004.0,146540.0,146532.0,146716.0,146444.0,146876.0,146348.0,146528.0,158388.0,146448.0,146428.0,146504.0,151748.0,152120.0,151520.0,146596.0,146660.0,146444.0,146572.0,146504.0,146776.0,146772.0,146760.0,146596.0,146544.0,157168.0,146592.0,147372.0,146624.0,146596.0,146568.0,151744.0,146592.0,146748.0,146640.0,146596.0,146568.0,146628.0,146756.0,146980.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146556.0,146572.0,146688.0,146896.0,146864.0,146448.0,146616.0,146848.0,146864.0,146640.0,146796.0,146636.0,150220.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146688.0,146868.0,146896.0,146960.0,146996.0,146532.0,146540.0,146488.0,146784.0,146760.0,146632.0,147000.0,146976.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,147028.0,146804.0,146808.0,146484.0,162948.0,146864.0,161728.0,146468.0,146332.0,146332.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146596.0,146804.0,146800.0,146608.0,152052.0,146660.0,146596.0,152604.0,146556.0,146336.0,151384.0,146476.0,146508.0
9,148564.0,146824.0,146764.0,146600.0,146532.0,146876.0,146644.0,146632.0,147160.0,146624.0,146436.0,146464.0,146596.0,146792.0,151532.0,146644.0,146540.0,146532.0,146716.0,153720.0,146876.0,153624.0,146528.0,146596.0,146448.0,146428.0,151564.0,146456.0,146828.0,146596.0,146596.0,146660.0,146444.0,146572.0,146508.0,146776.0,146772.0,146760.0,146596.0,146544.0,146452.0,146592.0,146988.0,146624.0,146596.0,146568.0,146448.0,146592.0,146748.0,146640.0,146596.0,146568.0,146628.0,146756.0,151656.0,146672.0,146636.0,146996.0,147180.0,146720.0,146588.0,146556.0,146572.0,146688.0,146896.0,146864.0,146448.0,146616.0,146848.0,146864.0,146640.0,146796.0,146636.0,146864.0,146524.0,146420.0,146572.0,146992.0,146596.0,147000.0,146688.0,146868.0,146896.0,146960.0,146996.0,146532.0,146540.0,146488.0,146784.0,146760.0,146632.0,147000.0,146976.0,146760.0,146356.0,146680.0,146996.0,146976.0,147116.0,146996.0,146436.0,146576.0,146444.0,147036.0,146676.0,146696.0,146640.0,146616.0,146652.0,146644.0,146804.0,146808.0,146484.0,146596.0,146864.0,146596.0,146468.0,146332.0,146332.0,146536.0,146500.0,146560.0,146596.0,146440.0,146784.0,146500.0,146556.0,146596.0,146804.0,146800.0,146608.0,146992.0,146660.0,146592.0,146548.0,146556.0,149692.0,146324.0,146476.0,146512.0
