w_await,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,169.92,229.12,310.4,210.11,175.52,279.43,172.73,101.95,133.13,190.9,288.71,145.37,489.75,0.0,187.0,290.86,257.33,321.79,347.54,187.63,224.0,320.67,138.87,238.8,555.43,469.14,768.0,1049.45,730.18,632.63,369.14,208.74,510.97,291.5,585.71,336.0,578.0,560.49,222.48,249.44,129.5,857.0,189.56,146.08,722.1,558.29,124.31,321.05,191.0,339.36,311.11,204.84,216.89,189.73,833.56,323.87,234.67,305.0,192.88,250.96,224.62,162.23,168.0,154.1,157.19,192.25,186.73,153.19,240.0,133.06,389.41,288.17,149.38,131.53,302.14,182.67,158.14,175.83,224.84,168.95,168.74,223.0,249.89,214.67,215.41,169.68,141.69,241.57,202.42,248.53,244.89,272.0,177.88,182.17,223.89,396.57,196.84,419.6,229.33,189.76,140.55,172.24,227.8,244.97,269.85,175.27,179.65,345.04,181.11,171.78,209.19,125.91,210.44,427.27,251.89,319.33,247.11,107.02,238.67,224.16,193.67,305.52,339.85,189.85,347.54,253.82,169.49,353.82,744.0,267.6,271.76,188.88,305.39,429.5,297.09,288.33,972.53,163.18,128.53,229.6
1,154.1,295.75,159.62,182.1,200.36,299.45,229.9,238.17,229.41,163.91,92.53,189.71,350.25,620.89,114.0,509.09,258.1,317.77,253.68,359.83,171.88,452.0,143.12,119.81,249.45,1422.0,291.69,305.09,228.52,209.0,272.52,204.17,221.07,586.57,0.0,0.0,0.0,324.2,156.0,243.57,124.45,519.76,214.1,413.03,344.8,251.64,151.0,220.78,154.55,0.0,429.07,599.6,558.5,233.4,322.26,133.52,156.0,339.48,217.54,389.64,139.05,178.81,204.36,187.91,173.21,115.23,210.35,159.8,205.43,189.19,280.93,320.77,188.39,268.0,257.78,196.0,214.15,197.33,152.62,405.04,204.21,246.67,168.35,330.67,118.64,239.0,117.04,344.0,233.14,170.4,210.04,467.45,351.8,222.35,497.09,1028.0,167.0,598.29,186.7,198.4,133.4,180.59,206.45,291.08,153.83,173.79,155.89,218.8,152.88,153.18,283.43,953.33,314.43,211.44,192.48,464.36,178.84,78.51,371.52,137.46,173.86,246.67,239.47,190.42,239.68,748.0,700.57,293.54,0.0,237.75,170.32,201.73,177.67,167.66,509.33,290.25,144.4,94.73,220.67,153.31
2,291.38,358.0,154.37,233.58,195.38,244.75,313.54,175.61,193.33,171.29,465.09,530.83,425.17,830.67,337.27,333.29,194.96,494.67,191.38,216.65,211.15,278.4,216.42,155.0,230.0,385.73,267.62,322.0,289.82,154.44,346.61,317.62,144.0,452.0,0.0,927.2,0.0,176.32,185.77,162.22,206.58,559.2,349.48,162.0,321.52,204.88,166.71,305.2,266.56,371.82,168.0,382.24,976.0,323.64,351.43,203.26,586.36,178.62,326.86,423.76,389.93,229.52,228.92,186.67,215.52,194.93,266.97,207.67,105.45,168.3,351.4,272.4,366.67,179.83,322.86,168.0,152.4,266.25,172.5,190.44,126.67,478.0,264.87,205.51,99.78,205.44,187.87,334.0,196.34,204.91,145.03,135.76,94.71,150.4,359.17,349.6,272.0,180.65,306.0,239.48,264.86,424.0,535.56,310.43,171.5,190.15,176.0,370.12,228.77,460.0,398.44,282.45,185.37,217.33,334.31,371.0,252.12,1465.71,274.53,173.21,149.26,345.94,358.0,174.91,240.52,371.57,227.77,649.64,1060.57,319.35,315.14,157.18,164.67,553.5,155.46,270.33,248.78,249.4,459.83,318.78
3,208.69,374.11,135.04,249.0,242.48,211.17,261.52,259.23,203.11,138.48,255.18,223.78,297.33,241.75,284.92,344.71,247.83,265.45,234.63,404.67,177.55,113.71,182.9,257.87,321.56,332.0,241.02,256.0,199.14,397.11,215.03,318.4,640.57,552.0,501.2,150.31,2304.0,141.15,188.24,406.48,351.2,127.36,325.25,148.54,164.73,157.54,216.22,236.63,400.32,384.92,194.86,252.12,345.43,394.46,532.0,237.14,328.0,437.83,931.11,488.67,185.94,202.51,176.41,250.0,212.48,137.29,171.7,249.03,210.05,174.06,261.29,151.23,141.94,148.62,143.0,207.25,158.4,331.24,265.66,133.27,206.09,228.1,288.97,433.88,320.48,200.9,455.58,245.74,231.29,285.81,221.55,180.36,734.46,507.71,336.63,547.5,306.53,162.39,305.76,309.14,260.59,204.44,503.33,424.38,231.56,227.5,211.2,151.04,275.79,261.68,209.46,204.93,204.57,331.5,523.33,611.64,320.42,606.57,307.85,124.09,311.45,251.05,387.33,319.14,175.29,190.17,468.0,119.2,172.67,191.78,323.2,97.88,245.14,332.83,129.16,145.41,176.73,365.38,224.59,138.7
4,117.36,361.25,226.12,250.0,498.5,490.1,212.31,282.19,130.87,115.87,223.52,137.82,151.54,133.29,155.33,139.86,126.57,281.04,49.96,44.44,251.76,620.92,213.14,410.11,647.2,741.78,284.8,270.49,420.0,299.23,156.2,290.86,748.4,366.55,578.86,1103.11,921.33,200.34,117.24,148.12,243.47,118.96,816.36,172.0,139.88,545.78,141.83,148.13,284.0,273.75,183.45,334.37,751.38,186.0,577.0,302.0,357.71,246.31,566.57,536.5,280.22,183.68,257.68,405.91,219.78,129.82,258.22,102.47,329.29,252.11,206.88,312.91,154.52,208.44,430.82,353.38,157.85,247.69,201.0,332.0,115.25,393.22,214.38,390.24,161.65,181.6,261.94,226.38,329.45,207.27,304.44,137.24,395.75,273.79,513.14,742.5,279.38,259.2,184.68,268.0,190.96,190.1,214.23,304.89,331.7,449.09,182.0,355.79,253.54,302.13,211.47,360.83,300.97,502.4,619.2,413.83,248.13,569.6,212.63,321.24,114.64,466.67,501.11,365.49,281.03,185.45,250.0,477.6,241.33,233.0,258.4,242.27,155.67,908.73,318.96,368.13,174.84,227.22,323.36,496.0
5,156.27,224.95,178.22,283.73,148.0,168.39,760.73,121.26,236.0,420.93,173.5,56.67,0.0,424.5,175.73,420.0,229.6,353.14,373.26,665.45,225.38,341.79,366.06,339.75,171.86,326.95,223.35,295.26,619.27,383.06,784.0,478.8,373.33,502.29,828.0,558.13,478.0,341.5,300.77,331.83,384.53,0.0,328.76,185.02,796.73,190.79,268.36,213.29,693.2,759.16,244.7,980.0,4.76,337.29,193.3,503.13,528.0,596.67,418.11,282.8,171.0,194.33,248.5,304.22,341.66,364.0,299.74,129.18,98.53,158.33,229.95,266.42,780.75,306.86,233.0,354.22,175.0,405.5,276.0,190.72,332.0,189.18,241.25,155.31,280.57,210.78,279.68,217.21,298.86,84.22,222.97,267.79,286.8,137.58,347.33,287.82,160.32,94.1,74.92,153.82,258.35,136.0,157.74,253.2,115.62,256.52,229.44,158.2,317.49,202.42,120.14,130.42,551.25,546.2,322.93,145.52,217.58,329.8,71.28,377.6,765.71,12.0,185.54,191.0,143.88,12.0,614.67,902.0,1662.93,342.89,170.93,153.29,236.68,152.06,247.43,207.2,185.37,191.47,83.1,230.59
6,257.25,359.17,179.4,275.53,270.13,418.67,274.67,348.57,91.84,249.52,0.0,4.0,0.0,90.42,0.0,252.25,288.0,240.59,233.3,342.0,218.06,620.31,509.45,87.93,484.91,980.0,280.77,142.86,470.43,489.91,405.9,203.75,288.62,264.6,639.81,215.43,1221.0,363.62,193.07,369.66,164.19,0.0,432.0,219.33,1045.33,361.86,350.29,423.13,332.33,233.82,177.26,0.0,105.33,272.0,192.95,312.74,263.92,199.8,534.22,511.8,485.07,297.19,230.62,279.4,350.32,348.71,241.7,166.62,280.94,225.46,293.04,283.56,271.29,262.4,749.14,324.35,174.7,173.21,326.67,121.68,181.44,399.16,280.47,151.4,162.86,113.45,150.5,101.71,79.67,75.33,84.8,108.52,23.68,197.14,268.0,97.25,117.66,190.8,7.0,0.0,242.67,0.0,0.0,97.92,54.73,195.89,177.6,207.69,129.14,164.0,312.0,284.0,430.67,215.76,165.04,20.71,4.0,2.0,5.33,154.91,186.77,132.57,198.67,151.15,277.91,0.0,0.0,0.0,0.0,0.0,0.0,534.15,78.86,205.58,250.46,236.29,0.0,137.6,4.0,187.29
7,210.89,253.18,279.77,511.2,153.26,231.67,432.94,276.5,308.55,205.14,160.33,204.5,0.0,0.0,0.0,0.0,303.09,694.29,167.27,536.89,325.48,685.82,1169.6,510.67,1167.11,277.67,236.0,841.33,252.0,117.85,265.26,281.09,67.81,615.0,514.0,44.8,219.08,106.67,756.0,297.11,608.36,0.0,155.69,324.22,5.75,78.29,200.23,168.0,336.0,140.89,185.37,0.0,0.0,112.71,1082.67,138.22,294.0,214.53,212.0,454.67,311.36,161.37,92.0,107.53,216.17,291.27,62.96,113.24,114.58,82.12,315.31,194.17,194.5,369.85,388.57,192.0,101.14,80.18,0.0,162.48,87.16,66.55,0.0,72.0,59.53,152.95,306.29,0.0,0.0,0.0,0.0,332.0,0.0,407.2,0.0,228.0,269.78,123.5,0.0,0.0,258.4,592.8,0.0,109.41,0.0,150.29,0.0,0.0,145.33,0.0,138.57,0.0,227.33,203.43,45.38,0.0,0.0,536.0,802.0,198.0,201.0,0.0,0.0,99.0,1208.0,0.0,0.0,0.0,413.0,0.0,0.0,429.14,123.64,3.6,0.0,47.68,0.0,0.0,276.67,4.0
8,81.25,148.88,137.54,0.0,0.0,216.0,12.0,156.0,252.53,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57,0.0,0.0,0.0,246.44,61.55,379.5,1780.0,95.26,0.0,0.0,0.0,0.0,5.5,62.61,133.95,90.18,424.0,0.0,60.41,0.0,0.0,6.5,493.71,360.48,0.0,0.0,358.35,0.0,4.89,110.81,155.69,421.67,25.33,355.3,0.0,0.0,68.0,10.0,117.09,0.0,150.76,0.0,632.0,130.67,132.73,76.89,188.8,219.2,61.85,338.0,46.36,22.13,57.85,119.24,0.0,0.0,178.38,0.0,0.0,268.0,155.33,0.0,251.0,956.0,0.0,0.0,0.0,44.5,0.0,501.0,91.22,0.0,0.0,942.0,0.0,0.0,116.44,0.0,0.0,268.0,69.87,0.0,0.0,481.0,500.0,0.0,332.0,0.0,0.0,930.0,0.0,99.14,153.82,0.0,0.0,421.09,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.89,0.0,0.0,0.0,0.0,0.0,0.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1208.0,248.0,89.57,0.0,0.0,313.33,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,101.85,0.0,0.0,0.0,260.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,120.1,0.0,0.0,617.11,0.0,0.0,0.0,0.0,800.0,93.22,0.0,0.0,48.52,0.0,0.0,76.96,0.0,88.89,0.0,78.74,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,110.18,648.0,0.0,217.6,144.36,0.0,0.0,1596.0,0.0,380.0,125.78,0.0,0.0,87.71,0.0,0.0,0.0,120.94,0.0,0.0,122.0,0.0,0.0,0.0,0.0,346.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.23,0.0,0.0,70.62,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,145.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,4.62,0.0,0.0,92.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2073.5,0.0,0.0,0.0,0.0,988.0,0.0,1888.0,0.0,1204.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,5.33,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.29,0.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6316.0,0.0,0.0,0.0,0.0,0.0,129.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.42,0.0,0.0,0.0,0.0,3723.2,0.0,0.0,0.0,0.0,622.0,1892.8,0.0,2912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
