w/s,vclient01,vclient02,vclient03,vclient04,vclient05,vclient06,vclient07,vclient08,vclient09,vclient10,vclient100,vclient101,vclient102,vclient103,vclient104,vclient105,vclient106,vclient107,vclient108,vclient109,vclient11,vclient110,vclient111,vclient112,vclient113,vclient114,vclient115,vclient116,vclient117,vclient118,vclient119,vclient12,vclient120,vclient121,vclient122,vclient123,vclient124,vclient125,vclient126,vclient127,vclient128,vclient129,vclient13,vclient130,vclient131,vclient132,vclient133,vclient134,vclient135,vclient136,vclient137,vclient138,vclient139,vclient14,vclient140,vclient15,vclient16,vclient17,vclient18,vclient19,vclient20,vclient21,vclient22,vclient23,vclient24,vclient25,vclient26,vclient27,vclient28,vclient29,vclient30,vclient31,vclient32,vclient33,vclient34,vclient35,vclient36,vclient37,vclient38,vclient39,vclient40,vclient41,vclient42,vclient43,vclient44,vclient45,vclient46,vclient47,vclient48,vclient49,vclient50,vclient51,vclient52,vclient53,vclient54,vclient55,vclient56,vclient57,vclient58,vclient59,vclient60,vclient61,vclient62,vclient63,vclient64,vclient65,vclient66,vclient67,vclient68,vclient69,vclient70,vclient71,vclient72,vclient73,vclient74,vclient75,vclient76,vclient77,vclient78,vclient79,vclient80,vclient81,vclient82,vclient83,vclient84,vclient85,vclient86,vclient87,vclient88,vclient89,vclient90,vclient91,vclient92,vclient93,vclient94,vclient95,vclient96,vclient97,vclient98,vclient99
0,49.5,43.43,25.0,36.0,41.58,28.0,33.0,76.47,45.54,50.5,33.66,38.38,16.0,0.0,40.4,28.57,23.76,44.62,38.46,41.75,37.37,26.87,52.48,29.7,32.81,14.0,7.92,33.85,51.56,38.0,31.46,43.88,54.69,24.49,43.08,8.08,40.0,40.59,41.58,25.51,56.0,16.16,35.64,50.0,41.18,50.0,52.53,18.81,40.0,43.56,18.18,19.0,9.09,30.3,51.43,30.0,39.0,31.68,41.0,23.0,39.8,51.49,54.08,63.0,58.16,48.48,44.0,52.43,33.66,63.37,17.0,23.0,57.43,43.43,28.28,44.55,43.43,46.53,42.57,38.38,43.43,36.36,38.0,29.41,33.66,38.78,59.6,23.23,38.0,38.38,18.18,15.0,32.0,35.71,37.76,21.0,38.78,20.2,30.0,50.51,51.52,34.34,41.41,33.33,39.0,44.9,57.0,26.73,54.55,36.36,36.63,22.77,46.07,25.0,42.05,17.48,26.73,50.0,27.27,56.98,48.0,21.21,27.0,39.39,25.74,33.0,43.0,22.22,8.0,30.0,33.67,63.08,27.38,43.01,23.66,25.81,15.0,44.0,30.3,25.51
1,41.58,16.0,51.96,42.0,44.55,28.43,39.6,35.0,37.37,46.46,29.7,21.0,16.16,17.65,40.4,11.11,43.96,43.0,45.24,25.0,33.33,35.64,50.0,43.0,33.0,4.04,13.13,11.11,22.77,12.24,41.89,23.76,30.0,44.44,0.0,0.0,0.0,20.0,38.14,46.53,63.92,16.83,42.0,34.31,9.9,22.45,39.6,53.12,52.81,0.0,40.59,10.2,16.16,39.6,23.0,50.0,15.0,23.23,39.39,21.78,21.21,47.47,22.0,43.56,33.0,57.58,34.0,39.6,42.42,37.76,30.0,26.0,31.31,35.64,26.73,41.58,39.8,27.55,38.61,22.77,38.78,33.0,33.66,27.55,59.6,27.72,46.0,27.72,14.14,35.0,53.0,22.22,20.2,34.0,11.0,3.03,36.0,14.0,37.37,30.3,43.43,26.73,31.0,25.74,46.0,38.0,37.37,10.0,41.41,51.0,28.0,15.0,27.06,36.36,25.25,11.11,44.55,34.65,25.25,41.41,43.0,24.0,15.15,48.0,25.0,2.94,7.0,13.0,0.0,16.16,30.69,44.0,43.0,35.35,21.0,31.68,40.4,66.67,24.24,48.51
2,32.0,21.78,54.55,32.35,32.32,32.32,26.26,31.31,36.0,45.45,22.22,24.24,24.24,12.24,22.0,28.0,27.0,11.88,38.61,31.31,47.47,25.25,38.0,28.28,18.18,36.63,21.0,5.94,22.22,17.82,23.23,32.32,44.44,16.0,0.0,20.0,0.0,38.38,43.88,24.0,33.33,20.41,27.27,11.76,29.0,32.0,62.63,20.41,38.46,22.22,6.25,34.0,7.0,22.22,7.0,38.38,22.22,26.26,14.0,17.17,28.71,29.0,39.0,33.33,33.0,45.0,31.31,35.29,44.44,54.0,20.2,30.3,27.0,47.52,28.0,31.31,49.02,32.0,23.3,36.0,39.0,12.24,23.23,36.63,35.64,36.73,30.0,20.0,57.43,22.22,30.69,49.49,31.0,30.0,29.0,39.6,31.0,43.88,16.0,46.0,28.0,28.28,9.0,23.0,40.0,41.41,21.21,32.32,25.49,13.13,18.18,31.31,37.62,39.39,26.0,28.28,34.69,7.0,29.7,42.57,34.65,32.67,32.0,22.22,31.31,37.76,35.0,22.0,14.0,37.37,14.0,43.56,24.49,8.0,59.6,23.76,36.0,19.8,23.23,23.0
3,35.35,19.0,54.55,24.24,20.79,28.43,21.21,31.31,45.92,49.5,34.34,36.36,15.31,48.0,39.8,17.0,48.0,21.78,35.71,17.82,30.69,27.72,40.0,45.45,17.65,16.16,47.0,45.45,42.42,36.36,29.29,20.0,7.07,10.1,40.0,26.0,8.08,52.53,49.0,29.0,20.0,36.23,16.0,59.6,55.56,13.0,36.36,38.38,25.0,13.0,42.0,35.56,45.65,12.75,3.03,13.86,7.0,24.0,8.91,12.0,33.0,35.35,49.0,23.76,50.0,59.6,40.0,34.65,38.61,31.31,31.0,25.74,35.35,39.0,12.12,31.68,35.71,21.0,29.0,60.0,46.46,39.39,29.0,17.17,42.0,48.51,19.19,39.0,28.28,42.0,31.63,56.57,13.0,14.0,19.19,16.0,30.0,57.0,34.34,20.79,33.66,36.36,17.82,21.0,36.73,24.24,50.0,25.25,38.0,31.0,40.59,30.3,27.45,8.08,11.76,11.0,18.45,14.14,27.0,47.47,29.0,21.43,18.0,14.0,34.0,34.65,22.22,10.0,6.06,36.0,35.71,51.52,34.65,29.0,31.31,37.0,44.44,25.74,34.0,46.46
4,55.45,16.0,31.37,34.34,24.24,21.0,26.26,31.31,46.0,31.0,33.0,58.16,34.65,65.0,18.18,56.73,28.28,27.27,50.0,9.0,34.0,12.87,14.14,19.19,10.0,8.91,30.3,37.0,15.15,31.31,19.8,7.07,9.9,22.22,14.0,9.09,12.12,47.0,42.86,32.0,30.0,27.0,10.89,31.31,33.0,27.27,58.42,30.61,9.0,16.16,29.0,33.33,56.52,30.0,32.0,32.32,34.65,26.0,14.0,16.16,37.0,36.63,38.0,22.77,18.18,44.0,27.0,67.33,28.28,37.0,24.75,35.35,27.27,27.0,33.66,32.32,67.68,39.0,40.4,23.23,31.37,23.23,37.37,24.75,34.0,45.92,35.0,31.68,22.0,33.0,36.36,29.29,32.32,46.53,14.0,8.0,31.68,29.7,53.0,40.82,27.27,42.42,43.88,27.0,27.27,22.0,36.73,37.62,13.0,30.3,38.78,24.0,29.0,14.85,15.15,23.76,31.31,15.0,37.62,29.29,47.47,6.67,18.0,35.35,35.0,26.19,32.65,10.0,3.0,36.0,35.0,44.44,49.49,11.0,26.73,30.3,38.38,36.36,25.0,18.0
5,58.42,57.84,44.12,30.0,33.0,30.69,10.89,37.62,39.6,30.3,40.4,40.0,0.0,12.5,15.15,42.86,30.3,28.28,34.65,21.78,32.0,29.59,32.04,58.18,56.57,19.39,31.31,38.38,11.11,17.0,16.16,30.0,33.67,13.86,5.0,22.73,4.0,15.84,31.0,23.23,15.31,0.0,21.43,47.0,11.0,32.35,22.45,33.66,10.0,19.0,45.54,3.03,42.42,30.69,36.63,23.0,4.04,18.18,19.0,30.0,32.32,35.64,24.0,18.0,29.0,15.0,31.31,61.0,38.0,36.0,41.0,33.33,16.0,28.28,12.12,18.18,24.24,16.0,27.0,52.48,38.0,33.66,32.0,52.53,28.57,36.0,37.0,43.0,21.0,37.37,35.0,38.38,20.2,33.0,18.0,22.0,37.37,42.0,52.53,21.78,45.1,31.0,22.77,40.4,21.0,31.0,39.0,20.2,35.0,33.33,28.0,58.24,16.0,20.41,29.13,21.0,40.24,22.73,56.82,25.0,13.86,2.38,15.12,36.0,65.66,2.82,17.24,20.69,16.48,19.57,44.09,28.0,40.59,64.0,28.28,35.0,37.25,53.54,31.31,33.66
6,15.84,24.24,40.0,17.0,44.12,18.18,18.0,27.72,74.26,29.0,0.0,38.1,0.0,66.0,0.0,27.12,39.0,33.66,37.0,26.26,33.0,12.75,10.89,77.22,21.78,7.69,63.27,37.5,51.85,41.82,21.0,31.68,27.96,40.4,31.34,7.0,8.89,23.08,45.45,28.43,64.0,0.0,24.75,18.0,43.9,41.18,20.79,23.23,36.36,22.0,36.08,0.0,14.29,41.41,42.22,27.0,48.0,41.0,18.0,20.0,15.15,37.37,32.0,40.4,19.39,34.34,33.0,31.37,47.0,52.0,23.0,27.0,34.0,25.0,14.0,23.0,46.0,52.48,6.0,51.02,36.0,18.81,17.0,20.0,6.93,22.22,16.0,42.42,12.12,23.76,45.45,22.55,37.62,13.86,6.06,16.0,29.0,10.0,4.0,0.0,9.09,0.0,0.0,50.0,22.0,38.38,5.05,13.27,35.0,18.0,11.11,6.52,15.0,32.67,50.0,23.29,2.04,13.33,75.0,11.11,26.0,13.86,7.06,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,28.0,32.35,12.87,28.0,0.0,34.31,20.0,31.82
7,53.47,16.83,35.35,5.1,38.78,11.65,17.35,16.16,22.0,6.93,23.76,8.0,0.0,0.0,0.0,0.0,38.89,38.89,63.46,56.25,27.0,18.03,9.09,6.25,12.86,16.22,10.45,25.0,35.29,81.25,58.46,33.33,20.59,4.44,11.88,5.0,13.0,6.0,6.82,18.37,11.0,0.0,26.53,37.37,32.99,31.46,53.54,39.29,24.51,39.13,41.0,0.0,0.0,28.0,66.67,18.18,4.0,30.0,3.06,11.88,25.0,35.0,45.45,43.43,47.0,22.22,72.28,42.0,44.55,64.0,35.35,24.0,24.0,26.0,13.73,19.39,6.93,65.0,0.0,21.21,57.58,22.0,0.0,15.0,17.0,38.0,7.07,0.0,0.0,0.0,0.0,3.03,0.0,5.0,0.0,5.05,9.0,8.0,0.0,0.0,5.05,5.05,0.0,34.0,0.0,7.07,0.0,0.0,18.18,0.0,14.29,0.0,36.0,60.87,35.96,0.0,0.0,3.0,2.02,8.57,21.05,0.0,0.0,58.54,28.57,0.0,0.0,0.0,16.16,0.0,0.0,10.29,35.48,10.1,0.0,83.78,0.0,0.0,6.06,3.03
8,31.68,40.2,38.61,0.0,0.0,6.0,7.77,4.04,15.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,18.0,65.96,9.09,1.0,51.92,0.0,0.0,0.0,0.0,7.92,29.49,41.41,23.4,1.98,0.0,29.59,0.0,0.0,14.29,25.93,49.02,0.0,0.0,51.52,0.0,18.75,71.21,23.64,22.64,152.73,46.94,0.0,0.0,5.05,7.92,11.0,0.0,59.18,0.0,2.0,17.65,22.0,8.91,5.05,14.71,26.26,2.02,22.22,15.0,12.87,21.21,0.0,0.0,37.76,0.0,0.0,4.04,6.0,0.0,4.0,1.0,0.0,0.0,0.0,24.0,0.0,3.96,41.84,0.0,0.0,3.96,0.0,0.0,18.18,0.0,0.0,7.0,14.85,0.0,0.0,4.0,1.98,0.0,2.97,0.0,0.0,2.02,0.0,28.0,11.11,0.0,0.0,11.58,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.96,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.01,4.04,22.77,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,18.37,0.0,0.0,0.0,0.0,2.25,41.82,0.0,0.0,69.23,0.0,0.0,45.45,0.0,15.79,0.0,21.35,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,22.0,1.0,0.0,5.0,11.11,0.0,0.0,1.0,0.0,5.05,8.91,0.0,0.0,14.0,0.0,0.0,0.0,17.17,0.0,0.0,14.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,29.29,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,13.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.87,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0,0.0,3.03,0.0,2.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
