start_time,Messenger_pipe read message,Messenger_message_destructed
9865,0.001,0.142
13191,0.001,0.236
26324,0.004,0.231
27427,0.001,0.088
29968,0.002,0.224
70859,0.002,0.158
74182,0.005,0.185
105350,50.990,51.083
107765,0.001,0.233
108072,0.004,0.175
109334,319.823,320.073
111460,0.002,0.253
114787,0.002,0.222
117676,0.002,0.228
118102,0.002,0.253
119238,0.002,0.234
120188,762.009,762.242
121426,256.552,256.707
122441,0.002,0.166
123512,0.002,0.144
124737,150.352,150.515
125750,0.004,0.261
126928,0.004,0.192
127997,25.890,25.997
128872,0.001,0.229
131348,0.003,0.167
135016,0.002,0.223
135300,478.533,478.769
148592,288.393,288.627
149102,0.001,0.107
164546,0.002,0.220
183964,0.002,0.159
