start_time,Messenger_pipe read message,Messenger_message_destructed
9865,0.001,0.047
13191,0.003,0.213
13192,0.002,0.123
26324,0.002,0.066
26325,0.003,0.159
27427,0.002,0.123
27428,0.003,0.052
29969,0.001,0.147
70860,0.002,0.089
74183,0.003,0.106
105350,50.994,51.038
105351,51.090,51.130
107766,0.001,0.057
108073,0.001,0.097
109132,0.001,13.983
109335,320.081,320.256
111461,0.001,0.184
112251,0.002,1589.691
114762,0.001,368.562
114788,0.002,0.111
117677,0.001,0.117
118103,0.002,0.214
119238,0.001,0.165
119239,0.001,0.085
120188,762.185,762.483
120189,762.189,762.457
121427,256.636,256.667
122442,0.002,0.149
123512,0.002,0.046
123513,0.001,0.097
124737,150.392,150.470
125751,0.001,0.082
126929,0.003,0.127
127997,25.730,25.762
128872,0.002,0.137
128873,0.002,0.212
131348,0.003,0.131
135017,0.004,0.069
135301,478.727,478.853
148593,288.118,288.218
149102,0.001,0.020
164547,0.002,0.094
183965,0.001,0.095
