start_time,Messenger_pipe read message,Messenger_message_destructed
9865,0.002,0.049
13191,0.005,0.237
13192,0.002,0.126
26324,0.002,0.169
26325,0.001,0.170
27428,0.003,0.063
29969,0.002,0.133
70860,0.002,0.097
74183,0.003,0.101
105351,51.093,51.132
107766,0.002,0.051
108073,0.001,0.094
109132,0.004,13.983
109335,320.074,320.250
110284,0.007,1965.208
111461,0.002,0.186
111782,0.005,466.637
112251,0.002,1589.676
112460,0.005,1381.310
112522,0.004,1318.694
112533,0.004,1307.732
112882,0.005,958.884
113584,0.005,258.446
114080,0.002,0.105
114082,0.006,0.117
114762,0.001,368.538
114788,0.002,0.142
114902,0.006,229.304
117677,0.001,0.126
118103,0.002,0.205
119238,0.002,0.158
119239,0.009,0.110
120188,762.209,762.499
120189,762.181,762.452
121427,256.628,256.668
122442,0.002,0.150
123512,0.002,0.143
123513,0.003,0.104
124737,150.387,150.492
125751,0.001,0.088
126929,0.004,0.138
127997,25.734,25.758
128873,0.002,0.209
131348,0.002,0.146
135017,0.002,0.089
135301,478.732,478.853
148593,288.122,288.227
149102,0.002,0.024
164547,0.004,0.105
183965,0.002,0.098
