start_time,Messenger_pipe read message,Messenger_message_destructed
114318,0.002,71362.561
114543,0.004,0.135
114551,0.020,0.178
114668,0.004,0.103
114669,0.002,0.083
114785,0.004,71611.702
114902,0.002,71071.686
115019,0.005,70375.854
115130,0.003,2.056
115136,0.004,0.185
115253,0.003,0.178
115370,0.004,0.256
115486,0.004,0.291
115603,0.004,0.177
115720,0.005,0.194
115837,0.004,0.195
115954,0.005,0.180
116071,0.005,0.232
116188,0.004,0.237
116305,0.004,0.194
116480,0.005,0.195
116597,0.003,0.266
116706,0.005,0.236
116798,0.005,0.266
116890,0.005,0.161
117007,0.003,0.190
117008,0.005,0.194
117215,0.004,0.200
117441,0.004,0.392
117658,0.004,0.121
117667,0.005,0.248
117899,0.006,0.239
118034,0.003,0.240
118235,0.008,0.226
118241,0.002,0.289
118249,0.005,0.182
118460,0.005,0.206
118701,0.005,0.222
119068,0.008,0.219
119193,0.006,0.183
119335,0.006,0.211
119627,0.005,0.221
119756,0.003,1.315
119758,0.004,0.447
119759,0.004,0.352
119911,0.005,0.259
120237,0.003,0.178
120571,0.005,0.214
120863,0.003,0.559
121147,0.006,0.242
121406,0.004,0.149
121706,0.012,0.278
122424,0.004,0.155
122967,0.004,0.260
123285,0.004,0.242
125397,0.005,0.432
125398,0.004,0.590
125399,0.004,0.556
125400,0.002,0.847
125401,0.010,0.531
125402,0.004,0.243
125403,0.018,1.113
125404,0.003,1.089
125405,0.005,0.898
